DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;MES;DPTO;fex_c_2011
4391314;1;2;1;1;1;1;2;1;3;3; ; ; ; ;320000;2;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;08;05;1089,26074394109
4391315;1;5;2;1;1;1;1;1;3;1; ; ;50000000;500000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2; ;4;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;05;08;05;1174,54448459099
4391316;1;4;2;1;1;1;1;1;3;1; ; ;98;350000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;2;2;1;3;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;08;05;1250,86883639433
4391317;1;5;3;1;1;1;1;1;3;2; ;650000;100000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;4;5;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;08;05;1135,11396115153
4391318;1;5;4;1;1;1;1;1;3;2; ;685000;120000000;700000; ;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;2;1;3;5;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;08;05;1280,75243765672
4391319;1;4;3;1;1;1;1;1;3;3; ; ; ; ;740000;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;08;05;1195,46869700682
4391320;1;3;2;1;1;1;1;1;4;3; ; ; ; ;180000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;3;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1320,39430457738
4391321;1;3;2;1;1;1;1;1;4;3; ; ; ; ;230000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1154,84822042336
4391322;1;4;3;1;1;1;1;1;3;1; ; ;160000000;1000000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;08;05;1065,29223762186
4391323;1;5;2;1;1;1;1;1;3;3; ; ; ; ;715000;1;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;2;1;1;2;2;1;3;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;08;05;1114,87210305189
4391324;1;3;1;1;1;1;1;1;3;3; ; ; ; ;400000;2;1;2;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;08;05;968,051185089091
4391325;1;2;2;1;1;1;1;1;4;3; ; ; ; ;240000;2;1;2;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;1;5;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1075,44157961243
4391326;1;5;3;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;3;4;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;08;05;1048,64026735763
4391327;1;1;1;1;1;1;1;1;1;3; ; ; ; ;200000;2;1;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;5;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1261,73852780527
4391328;1;5;1;1;1;1;1;1;3;3; ; ; ; ;898875;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;08;05;1209,28786133549
4391329;1;2;2;1;1;1;1;1;4;1; ; ;30000000;200000; ;2;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;08;05;914,247672112686
4391331;1;3;2;1;1;1;1;3;3;3; ; ; ; ;250000;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;1;2;2;1;2;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;08;05;1055,19149023651
4391332;1;5;2;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;1;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;08;05;859,770036096367
4391333;1;4;2;1;1;1;1;1;1;1; ; ;98;98; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;05;08;05;1029,58013112571
4391334;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;2;1;2;1;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;5;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1035,50345734515
4391335;1;4;3;1;1;1;1;1;3;2; ;1000000;180000000;900000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;2;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;08;05;1135,78808419145
4391336;1;2;2;1;1;1;1;1;4;1; ; ;40000000;300000; ;2;1;1;2;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;1;1;2;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1157,21310333857
4391336;2;3;2;1;1;1;1;1;4;1; ; ;20000000;200000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;1;2;2;1;3;3;2; ;2;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1157,21310333857
4391336;3;3;2;1;1;1;1;1;4;2; ;235000;30000000;200000; ;2;1;1;1;2;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;4;2; ;3;2;1;4;1;1;2;1;1;2;1;1;01;05;08;05;1157,21310333857
4391337;1;3;2;1;1;1;2;1;4;1; ; ;6000000;100000; ;2;1;2;1;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;2;1;1;2;1;1;2;1;2;01;05;08;05;1381,04529577929
4391338;1;5;3;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;1;3;3;1;1;1;2;1;4;1;3;1;1;1;3;1;1;01;05;08;05;1320,39430457738
4391339;1;3;1;3;1;1;1;1;4;1; ; ;50000000;300000; ;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;2;1;1;2;2;1;3;1;1;01;05;08;05;1034,27478950708
