DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4391425;1;4;1;70;1;24;24;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;45;92;17;1;2;1730;08;05;1195,46869700682;05
4391428;1;3;1;70;1;48;48;1; ;2;96;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;19;09;63;1;2;6320;08;05;1938,46725309339;05
4391434;1;4;1;70;1;4;48;1; ;2;52;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;54;95;1;1;9500;08;05;1114,87210305189;05
4391448;1;3;1;70;1;24;48;1; ;2;20;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;53;45;52;1;2;5249;08;05;1166,13140926631;05
4391456;1;1;1;70;1;28;48;3; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;54;55;15;1;2;1589;08;05;1023,71126256302;05
4391462;1;2;1;70;1;4;48;1; ;2;8;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;79;54;95;1;1;9500;08;05;1045,34663486884;05
4391462;1;3;1;70;1;8;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;97;97;17;1;1;1741;08;05;1045,34663486884;05
4391472;1;2;1;70;1;2;24;4; ;2;34;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;460000;2; ;54;54;74;1;1;7493;08;05;1195,67252880162;05
4391475;1;1;1;70;1;144;48;1; ;2;144;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;95;95;45;1;2;4521;08;05;1287,33273684204;05
4391475;1;3;1;70;1;32;48;2; ;2;32;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;13;53;55;1;2;5529;08;05;1287,33273684204;05
4391481;1;5;1;70;1;3;48;1; ;2;4;1; ;2;2;9;POR COBERTURA; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;39;32;70;1;1;7020;08;05;686,431261590713;05
4391490;1;1;1;70;1;15;24;1; ;2;400;1; ;5;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1200000;3; ;39;33;63;1;2;6340;08;05;1185,31935501625;05
4391492;1;3;1;70;1;8;48;4; ;2;32;2; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;3000000;1;2;18;13;75;1;1;7513;08;05;1100,32435802658;05
4391498;1;2;1;70;1;2;48;1; ;2;5;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;1;800000;737717;2; ;45;55;85;1;1;8511;08;05;1260,51057955708;05
4391500;1;2;1;70;1;1;21;4; ;2;6;5; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;79;79;18;1;1;1810;08;05;1222,20567169373;05
4391515;1;3;1;70;1;52;48;1; ;2;52;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;200000;2000000;2; ;06;06;85;1;2;8513;08;05;1120,2699607796;05
4391517;1;1;1;70;1;2;48;1; ;2;2;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;1;300000;1200000;2; ;95;95;45;1;1;4530;08;05;2690,16296494601;05
4391524;1;5;1;70;1;36;48;1; ;2;36;4; ;1;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;1000000;1;1;09;98;60;1;2;6031;08;05;1052,64728347453;05
4391525;1;1;1;70;1;24;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;2; ;95;95;45;1;2;4521;08;05;1088,07830248349;05
4391555;1;3;1;70;1;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;748000; ; ;45; ; ;1;1; ;08;08;575,396897187496;08
4391558;1;3;1;70;1;32;48;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;59;59;85;1;2;8511;08;08;504,932690833463;08
4391561;1;3;1;70;1;8;40;1; ;2;2;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;300000;1000000;2; ;38;39;92;1;1;9241;08;08;601,244908193656;08
4391571;1;4;1;70;1;150;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;3000000; ; ;02; ; ;1;2; ;08;08;1326,41225784013;08
4391583;1;2;1;70;1;2;48;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;54;95;1;1;9500;08;08;725,183154717661;08
