DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011;AREA
4391296;1;1;1;80;1;1;4;6; ;2; ; ;9; ;2; ;2; ; ; ;150000;2;1;08;63;277,115807238353; 
4391297;1;2;1;80;1;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ;300000;2;1;08;63;277,115807238353; 
4391299;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;200000;2;1;08;63;277,115807238353; 
4391301;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;08;63;490,819284368182; 
4391302;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;24;200000;2;1;08;63;277,115807238353; 
4391304;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;500000;2;1;08;63;277,115807238353; 
4391307;1;1;1;80;1;1;1;8; ;2; ; ;1; ;3; ;2; ;2; ;737700;3;1;08;63;733,459397493815; 
4391309;1;1;1;80;1;1;1;3; ;2; ; ;9; ;3; ;2; ; ; ;98;3;1;08;63;277,115807238353; 
4391309;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08;63;277,115807238353; 
4391311;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;737700;3;1;08;63;277,115807238353; 
4391311;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737700;2;1;08;63;277,115807238353; 
4391311;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737700;2;1;08;63;277,115807238353; 
4391312;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;63;490,819284368182; 
4391314;1;3;1;80;1;1;1;6; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1089,26074394109;05
4391315;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1174,54448459099;05
4391316;1;1;1;80;1;1;2;4; ;2; ; ;4; ;2; ;2; ;1;20;737000;2;1;08;05;1250,86883639433;05
4391317;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;08;05;1135,11396115153;05
4391317;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1135,11396115153;05
4391317;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1135,11396115153;05
4391318;1;3;1;80;1;2; ; ; ; ;1;2;2; ;2; ;2; ;2; ;600000;2;1;08;05;1280,75243765672;05
4391319;1;2;1;80;1;1;1;8; ;2; ; ;9; ;2; ;2; ;1;24;737717;2;1;08;05;1195,46869700682;05
4391319;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1195,46869700682;05
4391322;1;1;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ;1;48;737717;3;1;08;05;1065,29223762186;05
4391322;1;2;1;80;1;1;4;7; ;1; ;4;4; ;2; ;2; ;1;24;737717;2;1;08;05;1065,29223762186;05
4391325;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737700;2;1;08;05;1075,44157961243;05
4391325;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737700; ;1;08;05;1075,44157961243;05
4391326;1;1;1;80;1;1;1;3; ;2; ; ;12;EMBARAZO;2; ;2; ; ; ;737717;2;1;08;05;1048,64026735763;05
4391329;1;1;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;737350;2;1;08;05;914,247672112686;05
4391332;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;859,770036096367;05
4391332;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;08;05;859,770036096367;05
4391333;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;1029,58013112571;05
4391334;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1035,50345734515;05
4391335;1;3;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;1135,78808419145;05
4391336;2;2;2;80;1;1;4;3; ;2; ; ;7; ;2; ;2; ; ; ;737350;2;1;08;05;1157,21310333857;05
4391336;3;3;3;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737350; ;1;08;05;1157,21310333857;05
4391340;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1391,13853147824;05
4391340;1;6;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1391,13853147824;05
4391341;1;3;1;80;1;1;1;8; ;1; ;1;9; ;2; ;2; ; ; ;737717;2;1;08;05;1101,05293872322;05
4391342;1;1;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ;98;3;1;08;05;1250,86883639433;05
4391342;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1250,86883639433;05
4391343;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1124,96461916096;05
4391344;1;2;1;80;1;1;1;7; ;2; ; ;1; ;2; ;2; ; ; ;737717;2;1;08;05;1195,46869700682;05
4391344;1;4;1;80;1;1;1;2; ;1; ;1;3; ;2; ;2; ;1;48;737717;2;1;08;05;1195,46869700682;05
4391345;1;2;1;80;1;2; ; ; ; ;1;1;2; ;2; ;2; ;1;40;737000;2;1;08;05;1174,54448459099;05
4391345;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1174,54448459099;05
4391347;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1108,99500321292;05
4391349;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1286,83264970062;05
4391349;1;2;1;80;1;1;3;6; ;2; ; ;8; ;2; ;2; ;1;48;737717;2;1;08;05;1286,83264970062;05
4391350;1;5;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;1132,01592918127;05
