DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4391314;1;1;1;10;1;2;6;1978;39;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;08;05;1089,26074394109
4391314;1;2;1;10;2;1;5;1974;43;2;2;2; ;2; ;1;1;1; ; ;1;1;29509;2;1;2; ;5;11;2; ;05;11;08;05;1089,26074394109
4391314;1;3;1;10;3;2;10;2000;16;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;05;6;08;05;1089,26074394109
4391315;1;1;1;10;1;2;3;1987;30;1;2;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ; ;05;8;08;05;1174,54448459099
4391315;1;2;1;10;2;1;2;1981;36;2;2;2; ;2; ;1;1;2;1;3; ; ; ;2;1;2; ;5;11;2; ;05;11;08;05;1174,54448459099
4391315;1;3;1;10;3;1;4;2005;12;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;05;6;08;05;1174,54448459099
4391315;1;4;1;10;1;1;11;2007;9;3; ;3; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;05;3;08;05;1174,54448459099
4391316;1;1;1;10;1;2;7;1954;63;1;2;3; ;3; ;1;2;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;08;05;1250,86883639433
4391316;1;2;1;10;2;1;7;1948;69;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;08;05;1250,86883639433
4391316;1;3;1;10;3;1;5;1985;32;3;6;2; ;1;1; ; ;1; ; ;1;1;37000;2;1;2; ;5;11;2; ;05;11;08;05;1250,86883639433
4391317;1;1;1;10;1;1;7;1968;49;1;3;3; ;2; ;1;2;1; ; ;1;1;80000;2;1;2; ;6;5;4; ;05;16;08;05;1135,11396115153
4391317;1;2;1;10;2;2;4;1978;39;2;3;2; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;4;7; ; ;05;7;08;05;1135,11396115153
4391317;1;3;1;10;3;1;5;2001;16;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;9; ; ;05;9;08;05;1135,11396115153
4391317;1;4;1;10;4;2;3;2004;13;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;6; ; ;05;6;08;05;1135,11396115153
4391317;1;5;1;10;5;2;1;2009;8;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;05;2;08;05;1135,11396115153
4391318;1;1;1;10;1;1;9;1972;44;1;3;2; ;2; ;1;2;1; ; ;1;1;92000;2;1;2; ;6;2;3; ;05;13;08;05;1280,75243765672
4391318;1;2;1;10;2;2;11;1974;42;2;3;3; ;2; ;1;1;1; ; ;1;1;68000;2;1;1;1;6;7;5; ;05;18;08;05;1280,75243765672
4391318;1;3;1;10;3;1;4;1994;23;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;6;1;2;2;05;12;08;05;1280,75243765672
4391318;1;4;1;10;4;2;1;2007;10;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;3;4; ; ;05;4;08;05;1280,75243765672
4391318;1;5;1;10;2;1;12;2007;9;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;3;3; ; ;05;3;08;05;1280,75243765672
4391319;1;1;1;10;1;1;7;1969;48;1;3;3; ;3; ;1;2;1; ; ;1;3;92215;2;1;2; ;4;7; ; ;05;7;08;05;1195,46869700682
4391319;1;2;1;10;2;2;2;1978;39;2;3;3; ;2; ;1;1;1; ; ;1;5; ;2;1;2; ;6;2;3; ;05;13;08;05;1195,46869700682
4391319;1;3;1;10;2;2;7;2004;13;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;0; ; ;05;5;08;05;1195,46869700682
4391319;1;4;1;10;2;2;12;2010;6;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2;2;1;1;3;0; ; ;05;0;08;05;1195,46869700682
4391320;1;1;1;10;1;2;7;1963;54;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;08;05;1320,39430457738
4391320;1;2;1;10;1;1;9;1954;62;2;2;2; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;08;05;1320,39430457738
4391320;1;3;1;10;3;1;5;2006;11;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;05;4;08;05;1320,39430457738
4391321;1;1;1;10;1;2;9;1984;32;1;2;2; ;2; ;1;2;1; ; ;2;5; ;2;1;2; ;5;11;2; ;05;11;08;05;1154,84822042336
4391321;1;2;1;10;2;1;11;1992;24;2;2;2; ;2; ;1;1;1; ; ;2;1;60000;2;1;2; ;6;1;3; ;05;12;08;05;1154,84822042336
4391321;1;3;1;10;1;2;7;2014;3;3; ;1;2;1;1; ; ;1; ; ;2;5; ;2;2;2; ;1;0; ; ;05;0;08;05;1154,84822042336
