DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;DPTO;fex_c_2011
4396236;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;2832,11315619731
4396237;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;76;4020,23176147425
4396238;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;99;2;1;76;1891,5195608033
4396238;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1891,5195608033
4396241;1;2;1;80;2;1;3;7; ;2; ; ;9; ;2; ;2; ; ; ;500000;2;1;76;3081,8502142125
4396241;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;3081,8502142125
4396243;1;2;1;80;2;1;4;3; ;2; ; ;1; ;2; ;2; ;1;40;400000;2;1;76;1938,67807427797
4396244;1;2;1;80;2;1;1;8; ;2; ; ;8; ;2; ;2; ; ; ;98;2;1;76;1938,67807427797
4396251;1;2;1;80;2;1;3;2; ;2; ; ;2; ;2; ;2; ;2; ;98;2;1;76;3478,58273030416
4396254;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;76;2564,72413852089
4397390;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ;440000;2;1;63;970,701816172789
4397391;1;2;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;50;400000;2;1;63;770,387739166979
4397392;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737700;2;1;63;865,093192200781
4397394;1;2;1;80;2;1;1;8; ;2; ; ;12;ESPERAR COSECHA PARA ALIMENTAR TRABAJAD;2; ;2; ; ; ;730000;2;1;63;865,093192200781
4397401;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;200000; ;1;63;1201,86287891142
4397402;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;150000;2;1;63;1513,69321952712
4397402;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;1513,69321952712
4397404;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;756,821782715759
4399624;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;63;1402,17695591723
4399626;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;692,388545386315
4399627;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;300000;2;1;63;1538,63256562206
4399627;1;3;1;80;2;1;1;8; ;2; ; ;2; ; ; ;2; ; ; ;98; ;1;63;1538,63256562206
4399627;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1538,63256562206
4399631;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;1246,75333838437
4399631;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1246,75333838437
4399633;1;2;1;80;2;1;2;7; ;2; ; ;1; ;2; ;2; ;2; ;98;2;1;63;1018,25506115875
4399633;1;3;1;80;2;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;63;1018,25506115875
4399634;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1513,69321952712
4399634;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737700;2;1;63;1513,69321952712
4399635;1;2;1;80;2;1;1;7; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;63;1555,99998006608
4399638;1;4;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;63;1277,6867092796
4399639;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;617,968556731058
4399640;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;1863,69982218117
4399640;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1863,69982218117
4399641;1;1;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;24;98;2;1;63;1364,39650719098
4399641;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;2; ;98; ;1;63;1364,39650719098
4399642;1;3;1;80;2;1;1;4; ;2; ; ;4; ;2; ;1;450000;2; ;737700;2;1;63;2471,87422692423
