DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4395356;1;1;1;10;1;2;7;1967;50;1;5;3; ;3; ; ; ;1; ; ;1;2;180740;2;1;2; ;3;5; ; ;2;5;08;76;1250,42620425595
4395356;1;2;1;10;2;1;7;1992;25;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;76;1250,42620425595
4395356;1;3;1;10;4;2;6;2002;15;3;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;08;76;1250,42620425595
4395356;1;4;1;10;4;2;3;1997;20;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;76;1250,42620425595
4395356;1;5;1;10;4;1;10;2015;1;5; ;2; ;1;4; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;08;76;1250,42620425595
4395357;1;1;1;10;1;1;6;1968;49;1;2;3; ;3; ;1;2;1; ; ;1;1;29508;2;1;2; ;5;11;2; ;2;11;08;76;856,414201595473
4395357;1;2;1;10;2;2;9;1978;38;2;2;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;08;76;856,414201595473
4395358;1;1;1;10;1;1;9;1976;40;1;3;2; ;2; ;1;2;1; ; ;1;1;86160;2;1;2; ;6;3;3; ;2;14;08;76;1305,32329958908
4395358;1;2;1;10;2;2;10;1979;37;2;3;3; ;1;6;1;1;1; ; ;1;5; ;2;1;1;1;4;8; ; ;2;8;08;76;1305,32329958908
4395358;1;3;1;10;3;1;1;1996;21;3;6;1;1;1;2; ; ;1; ; ;1;4; ;2;1;2; ;6;1;2;2;2;12;08;76;1305,32329958908
4395358;1;4;1;10;2;2;12;2002;14;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;8; ; ;2;8;08;76;1305,32329958908
4395358;1;5;1;10;2;1;3;2013;4;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2;2;2; ;1;0; ; ;2;0;08;76;1305,32329958908
4395358;1;6;1;10;6;2;5;1937;80;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;76;1305,32329958908
4395359;1;1;1;10;1;2;6;1975;42;1;4;3; ;2; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;08;76;820,334494202207
