DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4391314;1;3;1;80;05;1;1;6; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1089,26074394109
4391315;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1174,54448459099
4391316;1;1;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ;1;20;737000;2;1;08;05;1250,86883639433
4391317;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;08;05;1135,11396115153
4391317;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1135,11396115153
4391317;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1135,11396115153
4391318;1;3;1;80;05;2; ; ; ; ;1;2;2; ;2; ;2; ;2; ;600000;2;1;08;05;1280,75243765672
4391319;1;2;1;80;05;1;1;8; ;2; ; ;9; ;2; ;2; ;1;24;737717;2;1;08;05;1195,46869700682
4391319;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1195,46869700682
4391322;1;1;1;80;05;1;4;5; ;2; ; ;8; ;3; ;2; ;1;48;737717;3;1;08;05;1065,29223762186
4391322;1;2;1;80;05;1;4;7; ;1; ;4;4; ;2; ;2; ;1;24;737717;2;1;08;05;1065,29223762186
4391325;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737700;2;1;08;05;1075,44157961243
4391325;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737700; ;1;08;05;1075,44157961243
4391326;1;1;1;80;05;1;1;3; ;2; ; ;12;EMBARAZO;2; ;2; ; ; ;737717;2;1;08;05;1048,64026735763
4391329;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;737350;2;1;08;05;914,247672112686
4391332;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;859,770036096367
4391332;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;08;05;859,770036096367
4391333;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;1029,58013112571
4391334;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1035,50345734515
4391335;1;3;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;1135,78808419145
4391336;2;2;2;80;05;1;4;3; ;2; ; ;7; ;2; ;2; ; ; ;737350;2;1;08;05;1157,21310333857
4391336;3;3;3;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737350; ;1;08;05;1157,21310333857
4391340;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1391,13853147824
4391340;1;6;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1391,13853147824
4391341;1;3;1;80;05;1;1;8; ;1; ;1;9; ;2; ;2; ; ; ;737717;2;1;08;05;1101,05293872322
4391342;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ;98;3;1;08;05;1250,86883639433
4391342;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1250,86883639433
4391343;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1124,96461916096
