DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2819119,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,20,,18,,,,,,,1,11,63,63,154.517.539.488.466
2819119,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,1,11,63,63,154.517.539.488.466
2819120,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,30,,,,,,,,,1,11,63,63,119.119.481.969.901
2819121,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,140.822.860.486.449
2819121,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,30,,25,,,,,,,1,11,63,63,140.822.860.486.449
2819122,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,20,,,,,,,,,1,11,63,63,10.642.561.289.553
2819122,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,63,63,10.642.561.289.553
2819122,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,30,,25,,,,,,,1,11,63,63,10.642.561.289.553
2819123,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,63,63,166.844.278.721.911
2819124,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,128.849.892.516.779
2819124,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,128.849.892.516.779
2819124,1,3,1,90,,2,1,2,2,1,2,2,2,2,2,,30,,,28,,,,,,1,11,63,63,128.849.892.516.779
2819124,1,4,1,90,,2,1,2,2,1,2,2,2,2,2,,18,,,12,,,,,,1,11,63,63,128.849.892.516.779
2819125,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,129.812.330.775.162
2819125,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,14,,20,,,,,,,1,11,63,63,129.812.330.775.162
2819125,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,20,,12,,,,,,,1,11,63,63,129.812.330.775.162
2819126,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,100.982.113.963.413
