Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3012377;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;435,754809609238
3012378;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;63;447,240025517147
3012380;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;536,747213042511
3012380;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;536,747213042511
3012380;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;536,747213042511
3012381;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;680,422658373315
3012382;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;745,189918731856
3012382;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;745,189918731856
3012382;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;745,189918731856
3012383;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;483,799500917372
3012383;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;483,799500917372
3012390;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;322,367127593081
3012393;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;08;63;458,925417580449
3012395;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;855,400011485374
3012395;2;1;2;80;2;1;3;9;LA EDAD;2; ;2; ; ; ; ;8;2;1;08;63;855,400011485374
3012395;2;2;2;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;08;63;855,400011485374
3012396;1;2;1;80;2;1;1;9;CAMBIO DE DOMICILIO;2; ;2; ; ; ; ;1;2;1;08;63;588,298243175995
3012396;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;588,298243175995
3012399;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;539,057046031599
3012401;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;393,379162394576
