DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2594872;1;3;1;1;1;1;1;1;4;3;;;;;100000;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;;1;1;1;1;4;1;2;1;1;1;1;3;1;1;1;1;63;1;63;116.757.971.448.946
2594873;1;3;1;1;1;1;1;6;;4;;;;250000;;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;1;2;2;;1;1;2;1;4;1;2;1;1;1;1;3;1;1;1;1;63;1;63;149.862.330.905.635
2594874;1;4;1;1;1;1;1;1;3;1;;;25000000;150000;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;;2;2;;2;1;2;1;4;1;1;1;1;1;1;3;1;1;1;1;63;1;63;132.775.439.057.756
2594875;1;3;1;1;1;1;1;1;3;4;;;;250000;;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2;;3;1;1;1;4;1;1;1;1;1;1;3;1;1;1;1;63;1;63;124.507.918.550.604
2594876;1;3;1;1;1;1;1;1;4;1;;;30000000;200000;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2;;1;1;2;1;4;1;2;1;1;1;1;3;1;1;1;1;63;1;63;115.167.652.400.526
2594877;1;4;3;1;1;1;1;1;3;3;;;;;150000;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;4;2;2;;4;1;2;1;4;1;1;1;1;1;3;3;1;1;1;1;63;1;63;140.239.937.062.452
2594878;1;5;2;1;1;1;1;1;3;4;;;;200000;;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2;;3;1;1;1;4;1;1;1;1;1;3;3;1;1;1;1;63;1;63;11.588.133.404.486
2594879;1;3;2;1;1;1;1;1;3;3;;;;;160000;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2;;4;1;2;1;4;1;1;1;1;1;3;3;1;1;1;1;63;1;63;142.382.463.198.186
2594880;1;4;3;1;1;1;1;1;3;1;;;35000000;300000;;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;3;2;2;;4;1;1;1;4;1;1;1;1;1;3;3;1;1;1;1;63;1;63;117.668.050.171.242
2594881;1;3;2;1;1;1;1;1;3;3;;;;;150000;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2;;7;1;2;1;4;1;1;1;1;1;3;3;1;1;1;1;63;1;63;152.160.724.282.176
