DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;AREA;MES;DPTO;fex_c_2011
2594957;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;232.353.926.540.932
2594957;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;232.353.926.540.932
2594958;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;242.264.109.169.447
2594958;1;2;1;95;1;;2;1;;2000000;;2;2;;;;;;;;;;;;;73;1;73;242.264.109.169.447
2594959;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;288.855.728.543.891
2594961;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;203.955.009.799.341
2594961;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;203.955.009.799.341
2594961;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;203.955.009.799.341
2594962;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;203.126.257.716.881
2594963;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;212.504.276.720.099
2594964;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;223.744.203.308.085
2594964;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;223.744.203.308.085
2594964;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;223.744.203.308.085
2594965;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;296.075.421.331.634
2594965;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;296.075.421.331.634
2594965;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;296.075.421.331.634
2594965;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;296.075.421.331.634
2594967;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;260.988.975.427.597
2594967;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;73;1;73;260.988.975.427.597
2594968;1;1;1;95;2;;;;;;;;1;1;2;;;;900000;2400000;2;1;2;;2;73;1;73;138.014.732.481.075
2594968;1;2;1;95;2;;;;;;;;1;2;2;;;;;2400000;2;1;2;;2;73;1;73;138.014.732.481.075
