DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;AREA;fex_c_2011
2594872;1;1;1;80;1;1;1;8;;2;;2;;;;;9;2;1;1;63;63;116.757.971.448.946
2594874;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;132.775.439.057.756
2594875;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;124.507.918.550.604
2594875;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;124.507.918.550.604
2594876;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;115.167.652.400.526
2594877;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;140.239.937.062.452
2594878;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;11.588.133.404.486
2594879;1;2;1;80;1;1;3;3;;2;;2;;;;;9;2;1;1;63;63;142.382.463.198.186
2594880;1;2;1;80;1;1;3;9;TRASLADO DE CIUDAD;2;;2;;;;;9;2;1;1;63;63;117.668.050.171.242
2594880;1;4;1;80;1;1;3;9;TRASLADO DE CIUDAD;2;;2;;;;;8;2;1;1;63;63;117.668.050.171.242
2594881;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;152.160.724.282.176
2594881;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;152.160.724.282.176
2594881;1;5;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;152.160.724.282.176
2594881;1;6;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;152.160.724.282.176
2594882;1;1;1;80;1;1;4;5;;3;;2;;;;;10;2;1;1;63;63;841.486.162.298.383
2594882;1;2;1;80;1;1;3;3;;2;;2;;;;;9;2;1;1;63;63;841.486.162.298.383
2594882;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;841.486.162.298.383
2594883;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;144.937.279.306.079
2594884;1;2;1;80;1;1;1;8;;2;;1;200000;;;;2;2;1;1;63;63;13.786.196.521.433
2594885;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;126.650.444.686.339
2594885;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;126.650.444.686.339
2594886;1;3;1;80;1;1;2;4;;2;;2;;;;;4;2;1;1;63;63;775.762.362.781.914
2594886;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;775.762.362.781.914
2594888;1;2;1;80;1;1;4;4;;2;;2;;;;;4;2;1;1;63;63;132.775.439.057.756
2594889;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;105.471.287.401.974
2594890;1;2;1;80;1;1;3;3;;2;;2;;;;;9;2;1;1;63;63;140.239.937.062.452
2594892;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;166.041.273.071.464
2594894;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;128.004.125.658.759
2594894;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;128.004.125.658.759
2594895;1;1;1;80;1;1;4;4;;2;;2;;;;;4;2;1;1;63;63;131.346.594.566.355
2594896;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;11.988.176.294.979
2594897;1;2;1;80;1;1;2;7;;2;;2;;;;;9;2;1;1;63;63;142.382.463.198.186
2594898;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;142.115.705.207.834
2594898;1;4;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;142.115.705.207.834
2594900;1;2;1;80;1;1;2;8;;2;;2;;;;;9;2;1;1;63;63;176.612.794.271.368
2594900;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;176.612.794.271.368
2594905;1;1;1;80;1;1;2;4;;2;;2;;;;;4;2;1;1;63;63;136.968.654.797.669
2594905;1;2;1;80;1;1;2;3;;2;;2;;;;;9;2;1;1;63;63;136.968.654.797.669
2594906;1;3;1;80;1;1;1;2;;2;;2;;;;;2;2;1;1;63;63;151.949.246.340.582
2594907;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;113.720.653.693.816
2594908;1;1;1;80;1;1;2;3;;2;;2;;;;;9;2;1;1;63;63;119.573.938.230.978
2594908;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;119.573.938.230.978
2594908;1;4;1;80;1;1;4;4;;2;;2;;;;;8;2;1;1;63;63;119.573.938.230.978
2594909;1;2;1;80;1;1;1;2;;2;;2;;;;;2;2;1;1;63;63;128.004.125.658.759
2594909;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;128.004.125.658.759
2594911;1;2;1;80;1;1;2;8;;2;;2;;;;;8;2;1;1;63;63;132.775.439.057.756
2594914;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;122.917.599.502.185
2594914;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;122.917.599.502.185
2594917;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;144.937.279.306.079
2594918;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;162.806.216.637.449
2594918;1;3;1;80;1;1;2;8;;2;;2;;;;;2;2;1;1;63;63;162.806.216.637.449
2594919;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;103.167.286.709.221
2594920;1;1;1;80;1;1;2;7;;3;;2;;;2;;1;1;1;1;63;63;893.091.135.417.816
2594920;1;2;1;80;1;1;4;9;CAMBIO DE CIUDAD;2;;2;;;;;9;2;1;1;63;63;893.091.135.417.816
2594920;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;893.091.135.417.816
2594921;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;643.791.685.701.254
2594921;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;643.791.685.701.254
2594921;1;6;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;643.791.685.701.254
2594921;1;7;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;643.791.685.701.254
2594922;1;1;1;80;1;1;1;1;;2;;2;;;;;8;2;1;1;63;63;152.231.910.924.989
2594922;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;152.231.910.924.989
2594922;1;6;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;152.231.910.924.989
2594923;1;1;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;101.576.967.660.802
2594923;1;2;1;80;1;1;4;3;;2;;2;;;;;9;2;1;1;63;63;101.576.967.660.802
2594924;1;2;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;144.937.279.306.079
2594925;1;1;1;80;1;1;3;7;;3;;2;;;;;11;2;1;1;63;63;115.167.652.400.526
2594926;1;3;1;80;1;2;;;;2;;2;;2;;.;;;1;1;63;63;135.079.439.750.508
2594927;1;2;1;80;1;1;2;4;;2;;2;;;;;8;2;1;1;63;63;135.573.251.624.479
