DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2594883;1;1;1;70;1;2;50;4;;2;2;4;;1;1;;;;;;;;;;1;;1;750000;2;95;95;45;1;1;4530;1;63;63;144.937.279.306.079
2594886;1;2;1;70;1;12;24;4;;2;160;4;;1;2;;;;;;;;;;1;;2;;2;55;77;15;1;1;1551;1;63;63;775.762.362.781.914
2594889;1;2;1;70;1;12;48;1;;2;16;1;;9;4;;;;;;;;;;1;;2;;2;39;39;55;1;1;5511;1;63;63;105.471.287.401.974
2594907;1;6;1;70;1;52;48;1;;2;52;1;;4;1;;;;;;;;;;1;;2;;2;45;59;92;1;2;9242;1;63;63;113.720.653.693.816
2594911;1;1;1;70;1;2;48;4;;2;2;4;;1;1;;;;;;;;;;1;;1;250000;2;93;93;45;1;1;4552;1;63;63;132.775.439.057.756
2594921;1;5;1;70;1;1;60;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;1;63;63;643.791.685.701.254
2594922;1;4;1;70;1;24;84;1;;2;24;4;;1;1;;;;;;;;;;1;;2;;2;45;79;18;1;2;1810;1;63;63;152.231.910.924.989
2594922;1;5;1;70;1;1;42;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;1;63;63;152.231.910.924.989
2594927;1;4;1;70;1;8;50;4;;2;8;4;;1;6;;;;;;;;;;1;;2;;2;45;45;52;1;1;5262;1;63;63;135.573.251.624.479
2594933;1;2;1;70;1;12;48;1;;2;18;1;;2;4;;;;;;;;;;1;;2;;2;33;45;52;1;1;5261;1;63;63;129.668.415.862.548
2594936;1;1;1;70;1;28;48;1;;2;28;1;;9;1;;;;;;;;;;1;;2;;2;45;70;18;1;2;1810;1;63;63;133.164.622.970.703
2594938;1;2;1;70;1;64;50;1;;2;82;1;;2;8;;;;;;;;;;1;;2;;2;45;45;52;1;2;5211;1;63;63;848.792.597.258.694
2594946;1;2;1;70;1;12;40;4;;2;12;4;;1;1;;;;;;;;;;1;;2;;2;55;53;55;1;1;5521;1;63;63;159.915.086.336.435
2594949;1;3;1;70;1;24;48;1;;2;24;1;;4;1;;;;;;;;;;1;;2;;2;45;45;52;1;2;5244;1;41;41;1.567.894.741.294
2594949;1;5;1;70;1;4;48;1;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;45;55;74;1;1;7493;1;41;41;1.567.894.741.294
2594961;1;2;1;70;1;1;48;1;;2;2;4;;9;1;;;1;;;;;;;;;1;160000;2;13;13;80;1;1;8050;1;73;73;203.955.009.799.341
2594962;1;1;1;70;1;2;60;4;;2;14;1;;6;8;;;;;;;;;;1;;2;;2;59;79;52;1;1;5271;1;73;73;203.126.257.716.881
2594965;1;3;1;70;1;2;48;1;;2;2;1;;4;4;;;;;;;;;;1;;2;;2;39;45;52;1;1;5234;1;73;73;296.075.421.331.634
2594980;1;1;1;70;1;13;60;1;;2;13;1;;3;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;1;66;66;238.073.200.040.215
2594981;1;1;1;70;1;52;24;1;;2;52;1;;3;1;;;;;;;;;;1;;2;;2;45;45;52;1;2;5233;1;66;66;235.600.266.235.053
2594983;1;2;1;70;1;52;48;1;;2;26;4;;9;4;;;;;;;;;;1;;2;;2;13;13;80;1;2;8043;1;66;66;257.093.092.997.104
2594983;1;3;1;70;1;52;48;1;;2;52;1;;3;4;;;;;;;;;;1;;2;;2;34;45;52;1;2;5233;1;66;66;257.093.092.997.104
2594986;1;1;1;70;1;2;50;5;;2;3;1;;2;1;;;;;;;;;;1;;1;800000;2;95;95;45;1;1;4521;1;66;66;163.461.278.745.804
2594986;1;3;1;70;1;12;50;1;;2;13;1;;2;1;;;;;;;;;;1;;1;150000;2;95;97;60;1;1;6042;1;66;66;163.461.278.745.804
2594986;1;4;1;70;1;2;60;1;;2;24;1;;3;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5233;1;66;66;163.461.278.745.804
2594988;1;3;1;70;1;10;48;1;;2;20;1;;3;4;;;;;;;;;;1;;2;;2;45;45;52;1;1;5233;1;66;66;289.482.565.115.404
2594991;1;6;1;70;1;1;60;3;;2;2;3;;1;1;;;;;;;;;;1;;1;280000;2;54;54;95;1;1;9500;1;66;66;223.438.795.797.584
2594993;1;4;1;70;1;8;50;1;;2;650;1;;3;1;;;;;;;;;;1;;2;;2;55;32;91;1;1;9191;1;66;66;144.781.270.711.584
2595000;1;1;1;70;1;3;48;1;;2;3;1;;2;1;;;;;;;;1;;;;1;800000;2;95;95;45;1;1;4521;1;66;66;317.855.270.817.965
2595000;1;3;1;70;1;32;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;1;66;66;317.855.270.817.965
2595000;1;6;1;70;1;3;40;1;;2;3;1;;2;1;;;;;;;;;;1;;1;500000;2;95;95;45;1;1;4521;1;66;66;317.855.270.817.965
2595003;1;2;1;70;1;1;48;1;;2;1;6;;2;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5211;1;66;66;256.055.216.443.788
2595003;1;3;1;70;1;4;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;37;;;1;1;;1;66;66;256.055.216.443.788
2595004;1;1;1;70;1;4;48;1;;2;4;4;;1;1;;;;;;;;;;1;;1;500000;2;95;71;13;1;1;1320;1;66;66;208.432.957.465.084
2595006;1;2;1;70;1;2;48;1;;2;2;1;;9;8;;;;;;;;;;1;;1;750000;2;44;44;64;1;1;6421;1;63;63;137.181.724.888.208
2595006;1;3;1;70;1;24;48;1;;2;24;1;;4;8;;;;;;;;;;1;;2;;2;45;97;52;1;2;5233;1;63;63;137.181.724.888.208
2595007;1;3;1;70;1;1;50;4;;2;1;4;;1;8;;;;;;;;;;1;;1;500000;2;95;95;45;1;1;4530;1;63;63;124.968.289.106.364
2595008;1;1;1;70;1;48;40;1;;2;28;4;;1;1;;;;;;;;;;1;;2;;2;53;53;55;1;2;5522;1;63;63;106.006.821.476.714
2595015;1;2;1;70;1;2;48;1;;2;53;3;;1;1;;;;;;;;;;1;;2;;2;53;54;95;1;1;9500;1;17;17;220.941.712.607.915
2595027;1;4;1;70;1;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;1;17;17;181.145.962.129.262
2595033;1;1;1;70;1;52;48;1;;2;250;1;;2;2;;;;;;;;;;1;;2;;2;16;16;74;1;2;7494;1;17;17;116.388.019.633.493
2595033;1;3;1;70;1;8;48;1;;2;3;1;;5;1;;;1;;;;;;;;;1;2500000;2;19;19;80;1;1;8042;1;17;17;116.388.019.633.493
2595041;1;1;1;70;1;28;48;2;;2;28;1;;6;2;;;;;;;;;;1;;2;;2;59;59;85;1;2;8511;1;17;17;191.341.548.756.553
2595043;1;3;1;70;1;16;50;1;;2;16;1;;9;2;;;;;;;;;;1;;2;;2;32;32;65;1;2;6512;1;17;17;262.743.043.165.981
2595043;1;5;1;70;1;15;50;1;;2;8;1;;3;7;;;;;;;;;;1;;1;50000;2;45;45;52;1;2;5233;1;17;17;262.743.043.165.981
2595048;1;2;1;70;1;42;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;11;;;1;2;;1;63;63;106.900.131.893.375
2595055;1;1;1;70;1;2;48;2;;2;2;2;;9;1;;;1;;;;;;;;;1;900000;2;13;13;80;1;1;8060;1;63;63;14.636.612.379.748
2595056;1;2;1;70;1;64;48;1;;2;8;1;;9;2;;;;;;;;;;1;;2;;2;45;45;52;1;2;5237;1;63;63;154.116.070.899.139
2595058;1;1;1;70;1;3;48;4;;2;3;4;;1;1;;;;;;;;;;1;;1;300000;2;93;93;45;1;1;4552;1;63;63;133.178.606.763.783
2595058;1;2;1;70;1;36;48;1;;2;42;1;;2;1;;;;;;;;;;1;;2;;2;53;77;55;1;2;5529;1;63;63;133.178.606.763.783
2595064;1;1;1;70;1;26;48;4;;2;28;3;;1;1;;;;;;;;;;1;;2;;2;55;54;95;1;2;9500;1;63;63;115.167.652.400.526
2595067;1;1;1;70;1;18;48;3;;2;36;4;;1;8;;;;;;;;;;1;;2;;2;55;41;52;1;2;5233;1;63;63;143.469.386.180.254
2595067;2;1;2;70;1;64;40;1;;2;64;1;;9;1;;;;;;;;;;1;;2;;2;45;55;80;1;2;8050;1;63;63;143.469.386.180.254
2595068;1;1;1;70;1;2;48;1;;2;2;1;;2;1;;;;;;;;;;1;;1;500000;2;53;53;55;1;1;5529;1;63;63;140.239.937.062.452
2595072;1;1;1;70;1;24;48;1;;2;24;1;;2;1;;;;;;;;;;1;;2;;2;58;58;70;1;2;7020;1;15;15;846.581.553.762.577
2595072;1;4;1;70;1;24;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;9;;;1;2;;1;15;15;846.581.553.762.577
2595080;1;1;1;70;1;14;48;1;;2;12;1;;6;1;;;;;;;;;;1;;2;;2;32;32;93;1;2;9303;1;15;15;747.672.255.482.198
2595081;1;2;1;70;1;96;48;2;;2;126;2;;9;1;;;;;;;;;;1;;2;;2;2;2;45;1;2;4530;1;15;15;669.176.135.817.169
2595083;1;1;1;70;1;9;48;2;;2;9;2;;9;2;;;;;;;;;;1;;2;;2;13;13;80;1;1;8041;1;15;15;685.610.492.794.441
2595099;1;2;1;70;1;220;40;1;;2;220;4;;1;2;;;;;;;;;;1;;2;;2;99;54;74;1;2;7493;1;19;19;103.920.881.575.348
2595100;1;1;1;70;1;4;40;4;;2;4;4;;1;1;;;;;;;;;;1;;1;98;2;54;54;74;1;1;7493;1;19;19;964.988.006.834.346
2595100;1;2;1;70;1;20;48;1;;2;2;1;;2;1;;;;;;;;;;1;;1;280000;2;59;45;52;1;2;5234;1;19;19;964.988.006.834.346
2595116;1;1;1;70;1;1;48;4;;2;25;2;;9;1;;;;;;;;;;1;;2;;2;45;58;75;1;1;7524;1;68;68;559.058.836.545.711
2595117;1;3;1;70;1;25;48;4;;2;84;1;;2;1;;;;;1;;;;;;;2;;2;57;57;93;1;2;9302;1;68;68;488.447.098.335.843
2595128;1;3;1;70;1;24;50;3;;2;26;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;2;9500;1;54;54;218.069.809.611.829
2595129;1;1;1;70;1;2;50;1;;2;2;1;;4;1;;;;;;;;;;1;;1;600000;2;95;95;45;1;1;4521;1;54;54;355.623.777.469.093
2595129;1;3;1;70;1;2;30;4;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;1;54;54;355.623.777.469.093
2595129;1;4;1;70;1;2;50;1;;2;2;9;TRABAJABA PARA UN ASALARIADO;2;1;;;;;;;;;;1;;1;480000;2;95;80;19;1;1;1929;1;54;54;355.623.777.469.093
2595133;1;4;1;70;1;2;60;1;;2;8;1;;4;4;;;;;;;;;;1;;2;;2;80;80;19;1;1;1924;1;54;54;445.222.234.524.791
2595162;1;3;1;70;1;8;60;1;;2;10;1;;9;1;;;;;;;;;;1;;2;;2;3;3;64;1;1;6421;1;20;20;129.118.513.824.907
2595171;1;2;1;70;1;48;48;1;;2;48;1;;5;1;;;;;;;;;;1;;2;;2;44;44;75;1;2;7530;1;20;20;114.904.813.961.747
2595172;1;1;1;70;1;1;48;4;;2;1;4;;1;8;;;;;;;;;;1;;1;300000;2;95;41;52;1;1;5225;1;20;20;130.690.505.764.671
2595174;1;1;1;70;1;52;48;4;;2;52;5;;5;1;;;;;;;;;;1;;2;;2;2;2;45;1;2;4530;1;52;52;605.801.244.811.149
2595186;1;1;1;70;1;13;48;4;;2;13;4;;9;2;;;;;;;;;;1;;1;3000000;2;5;5;75;1;1;7514;1;52;52;408.633.019.596.523
2595186;1;2;1;70;1;52;45;1;;2;52;1;;7;1;;;;;;;;;;1;;2;;2;8;8;72;1;2;7220;1;52;52;408.633.019.596.523
2595188;1;1;1;70;1;4;40;4;;2;4;4;;9;2;;;;;;;;;;1;;1;500000;2;12;12;75;1;1;7523;1;52;52;143.455.431.439.564
