DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2594958;1;1;1;80;73;1;1;4;;1;2;2;;;;;4;2;1;1;73;242.264.109.169.447
2594958;1;2;1;80;73;1;1;3;;3;;2;;;;;9;2;1;1;73;242.264.109.169.447
2594961;1;5;1;80;73;1;4;3;;2;;2;;;;;9;2;1;1;73;203.955.009.799.341
2594964;1;3;1;80;73;2;;;;2;;2;;2;;.;;;1;1;73;223.744.203.308.085
2594967;1;1;1;80;73;2;;;;2;;2;;2;;.;;;1;1;73;260.988.975.427.597
2594967;1;2;1;80;73;2;;;;2;;2;;2;;.;;;1;1;73;260.988.975.427.597
2594968;1;1;1;80;73;1;4;7;;2;;2;;;;;8;2;1;1;73;138.014.732.481.075
2594968;1;2;1;80;73;1;3;3;;2;;2;;;;;9;2;1;1;73;138.014.732.481.075
2594971;1;1;1;80;73;2;;;;2;;2;;2;;.;;;1;1;73;212.504.276.720.099
2594972;1;2;1;80;73;1;4;8;;2;;2;;;;;9;2;1;1;73;206.580.167.266.269
2594974;1;2;1;80;73;1;2;2;;2;;2;;;;;2;2;1;1;73;208.484.042.919.855
2594976;1;1;1;80;73;1;4;4;;2;;2;;;;;4;2;1;1;73;246.526.395.373.541
2594976;1;2;1;80;73;2;;;;2;;2;;2;;.;;;1;1;73;246.526.395.373.541
2594976;1;3;1;80;73;2;;;;2;;2;;2;;.;;;1;1;73;246.526.395.373.541
2594977;1;1;1;80;73;1;4;4;;2;;2;;;;;4;2;1;1;73;212.504.276.720.099
2594978;1;1;1;80;66;1;3;3;;2;;2;;;;;9;2;1;1;66;217.550.126.237.521
2594979;1;2;1;80;66;1;4;8;;2;;2;;;;;1;2;1;1;66;219.351.580.512.092
2594982;1;1;1;80;66;1;4;5;;3;;2;;;;;10;2;1;1;66;224.981.752.377.051
2594982;1;2;1;80;66;1;4;3;;2;;2;;;;;9;2;1;1;66;224.981.752.377.051
2594982;1;3;1;80;66;1;3;3;;2;;2;;;;;9;2;1;1;66;224.981.752.377.051
2594983;1;1;1;80;66;1;2;5;;3;;2;;;;;10;2;1;1;66;257.093.092.997.104
2594983;1;5;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;257.093.092.997.104
2594983;1;6;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;257.093.092.997.104
2594984;1;1;1;80;66;1;4;4;;2;;2;;;;;4;2;1;1;66;238.073.200.040.215
2594984;1;2;1;80;66;1;4;7;;2;;2;;;;;9;2;1;1;66;238.073.200.040.215
2594986;1;2;1;80;66;1;3;4;;2;;2;;;2;;4;1;1;1;66;163.461.278.745.804
2594987;1;1;1;80;66;1;4;5;;3;;2;;;;;10;2;1;1;66;269.953.431.096.331
2594988;1;1;1;80;66;1;4;5;;3;;2;;;;;8;2;1;1;66;289.482.565.115.404
2594988;1;2;1;80;66;1;4;8;;2;;2;;;;;8;2;1;1;66;289.482.565.115.404
2594988;1;4;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;289.482.565.115.404
2594988;1;5;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;289.482.565.115.404
2594990;1;1;1;80;66;1;4;5;;3;;2;;;;;10;2;1;1;66;192.801.412.131.929
2594990;1;2;1;80;66;1;4;3;;2;;2;;;;;9;2;1;1;66;192.801.412.131.929
2594991;1;1;1;80;66;1;4;4;;2;;2;;;;;4;2;1;1;66;223.438.795.797.584
2594991;1;2;1;80;66;1;4;4;;2;;2;;;;;4;2;1;1;66;223.438.795.797.584
2594991;1;3;1;80;66;1;4;3;;2;;2;;;;;4;2;1;1;66;223.438.795.797.584
2594992;1;2;1;80;66;1;3;6;;2;;2;;;;;9;2;1;1;66;252.268.110.347.303
2594993;1;1;1;80;66;1;4;4;;2;;2;;;;;8;2;1;1;66;144.781.270.711.584
2594993;1;2;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;144.781.270.711.584
2594994;1;3;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;209.260.124.371.001
2594995;1;2;1;80;66;2;;;;2;;2;;1;3;;9;;1;1;66;220.178.747.418.009
2594995;1;3;1;80;66;1;1;2;;2;;1;600000;;;;2;2;1;1;66;220.178.747.418.009
2594996;1;2;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;246.938.047.671.351
2594996;1;4;1;80;66;1;4;4;;2;;2;;;;;4;2;1;1;66;246.938.047.671.351
2594997;1;1;1;80;66;1;4;5;;3;;2;;;;;10;2;1;1;66;229.694.674.663.197
2595000;1;2;1;80;66;1;4;3;;2;;2;;;;;4;2;1;1;66;317.855.270.817.965
2595000;1;7;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;317.855.270.817.965
2595000;1;8;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;317.855.270.817.965
2595001;1;2;1;80;66;1;3;3;;2;;2;;;;;9;2;1;1;66;296.063.210.898.017
2595003;1;4;1;80;66;2;;;;2;;2;;2;;.;;;1;1;66;256.055.216.443.788
2595016;1;2;1;80;17;1;2;6;;2;;2;;;;;9;2;1;1;17;213.283.044.064.175
2595017;1;5;1;80;17;1;2;8;;2;;2;;;;;2;2;1;1;17;194.754.662.465.142
2595019;1;2;1;80;17;2;;;;2;;2;;2;;.;;;1;1;17;151.318.221.976.055
