PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P3038;P3039
20221040;10;2022;7215433;1;1;1;18;05;1;2638.4400578;05;2;1
20221040;10;2022;7215433;1;2;1;18;05;1;2638.4400578;05;1;2
20221040;10;2022;7215434;1;1;1;18;05;1;3347.1949374;05;1;2
20221040;10;2022;7215434;1;2;1;18;05;1;3347.1949374;05;2;1
20221040;10;2022;7215434;1;4;1;18;05;1;3347.1949374;05;2;1
20221040;10;2022;7215434;1;5;1;18;05;1;3347.1949374;05;1;2
20221040;10;2022;7215435;1;1;1;18;05;1;2072.0523165;05;1;2
20221040;10;2022;7215436;1;1;1;18;05;1;1471.3652835;05;2;1
20221040;10;2022;7215437;1;1;1;18;05;1;1454.6533742;05;1;2
20221040;10;2022;7215437;1;2;1;18;05;1;1454.6533742;05;1;2
20221040;10;2022;7215437;2;1;2;18;05;1;1454.6533742;05;1;2
20221040;10;2022;7215438;1;1;1;18;05;1;2713.6602573;05;1;1
20221040;10;2022;7215439;1;1;1;18;05;1;1601.8544601;05;1;2
20221040;10;2022;7215439;1;2;1;18;05;1;1601.8544601;05;1;2
20221040;10;2022;7215440;1;1;1;18;05;1;2313.3768344;05;1;2
20221040;10;2022;7215440;1;2;1;18;05;1;2313.3768344;05;2;1
20221040;10;2022;7215441;1;1;1;18;05;1;2493.8989232;05;2;1
20221040;10;2022;7215442;1;1;1;18;05;1;3893.4318082;05;1;2
20221040;10;2022;7215442;1;2;1;18;05;1;3893.4318082;05;2;1
20221040;10;2022;7215443;1;1;1;18;05;1;3272.854073;05;2;1
20221040;10;2022;7215444;1;1;1;18;05;1;2313.3768344;05;2;1
20221040;10;2022;7215444;1;2;1;18;05;1;2313.3768344;05;1;2
20221040;10;2022;7215445;1;1;1;18;05;1;943.90447357;05;1;2
20221040;10;2022;7215446;1;1;1;18;05;1;868.71469501;05;1;2
20221040;10;2022;7215446;1;2;1;18;05;1;868.71469501;05;2;1
20221040;10;2022;7215447;1;1;1;18;05;1;883.23378906;05;1;2
20221040;10;2022;7215449;1;1;1;18;08;1;1294.4558545;08;2;1
20221040;10;2022;7215449;1;2;1;18;08;1;1294.4558545;08;1;2
20221040;10;2022;7215450;1;1;1;18;13;1;376.59562953;13;2;1
20221040;10;2022;7215450;1;2;1;18;13;1;376.59562953;13;1;2
20221040;10;2022;7215451;1;1;1;18;13;1;347.54108495;13;2;1
20221040;10;2022;7215451;1;2;1;18;13;1;347.54108495;13;2;1
20221040;10;2022;7215451;1;3;1;18;13;1;347.54108495;13;1;2
20221040;10;2022;7215451;1;4;1;18;13;1;347.54108495;13;1;2
20221040;10;2022;7215452;1;1;1;18;13;1;158.68904369;13;2;1
20221040;10;2022;7215452;1;2;1;18;13;1;158.68904369;13;1;2
20221040;10;2022;7215452;1;3;1;18;13;1;158.68904369;13;2;1
20221040;10;2022;7215453;1;1;1;18;13;1;219.37889907;13;1;2
20221040;10;2022;7215453;1;2;1;18;13;1;219.37889907;13;2;1
20221040;10;2022;7215455;1;1;1;18;13;1;258.46208532;13;1;2
20221040;10;2022;7215455;1;2;1;18;13;1;258.46208532;13;2;1
20221040;10;2022;7215456;1;1;1;18;13;1;148.52345107;13;1;2
