Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
3572919;1;1;1;10;1;2;1;7;1973;41;1;1;1; ; ;1;6; ;2;1;2; ;5;11;2;17;11;10;17;132,750374409954
3572919;1;2;1;10;1;2;1;7;2000;14;3;6;1; ; ;1;5; ;2;1;1;1;4;6; ;17;6;10;17;132,750374409954
3572920;1;1;1;10;1;1;1;8;1968;46;1;3;1; ; ;1;1;56000;2;1;2; ;6;2;3;17;13;10;17;163,100749317277
3572920;1;2;1;10;2;2;1;11;1974;39;2;3;1; ; ;1;5; ;2;1;2; ;6;3;3;17;14;10;17;163,100749317277
3572920;1;3;1;10;3;2;1;11;1995;18;3;6;1; ; ;1;5; ;2;1;1;2;6;2;2;17;13;10;17;163,100749317277
3572920;1;4;1;10;2;1;1;1;2000;14;3;6;1; ; ;1;5; ;2;1;1;2;4;8; ;17;8;10;17;163,100749317277
3572921;1;1;1;10;1;2;1;5;1955;59;1;6;1; ; ;3; ; ;2;1;2; ;3;2; ;17;2;10;17;209,511104770337
3572921;1;2;1;10;2;1;1;1;1987;27;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;17;6;10;17;209,511104770337
3572921;1;3;1;10;1;1;1;1;1998;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;17;8;10;17;209,511104770337
3572922;1;1;1;10;1;1;1;4;1960;54;1;3;1; ; ;1;1;45120;2;1;2; ;5;11;2;17;11;10;17;166,012557585261
3572922;1;2;1;10;2;2;1;12;1960;53;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;10;17;166,012557585261
3572923;1;1;1;10;1;2;1;11;1979;34;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;17;11;10;17;213,043088177347
3572923;1;2;1;10;1;1;1;11;2001;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;17;6;10;17;213,043088177347
3572923;1;3;1;10;1;1;1;11;2012;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;17; ;10;17;213,043088177347
3572923;1;4;1;10;4;2;1;3;1942;72;5;4;1; ; ;3; ; ;2;1;2; ;3;5; ;17;5;10;17;213,043088177347
3572924;1;1;1;10;1;1;1;10;1984;29;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;17;5;10;17;197,15678756307
3572925;1;1;1;10;1;1;1;8;1962;52;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;17;5;10;17;223,57968554464
3572925;1;2;1;10;2;2;1;6;1972;42;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;17;0;10;17;223,57968554464
3572925;1;3;1;10;2;2;1;12;2003;10;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ;17;2;10;17;223,57968554464
3572926;1;1;1;10;1;1;1;3;1970;44;1;3;1; ; ;1;1;52000;2;1;2; ;6;3;3;17;14;10;17;179,925373035384
3572926;1;2;1;10;1;2;1;1;1962;52;2;3;1; ; ;1;5; ;2;1;2; ;3;2; ;17;2;10;17;179,925373035384
3572926;1;3;1;10;3;2;1;7;1981;33;3;4;1; ; ;1;1;44000;2;1;2; ;5;11;2;17;11;10;17;179,925373035384
3572926;1;4;1;10;3;1;1;8;2008;6;4; ;1; ; ;1;5; ;2;2;1;1;2;0; ;17;0;10;17;179,925373035384
3572928;1;1;1;10;1;1;1;3;1949;65;1;6;2;2; ; ; ; ;1;2;2; ;3;1; ;17;1;10;17;188,443164984315
3572928;1;2;1;10;1;1;1;5;1985;29;3;6;2;2; ; ; ; ;2;1;2; ;3;5; ;17;5;10;17;188,443164984315
3572929;1;1;1;10;1;2;1;5;1989;25;1;6;1; ; ;1;1;24640;2;1;2; ;6;2;3;17;13;10;17;155,631725542148
3572930;1;1;1;10;1;2;1;2;1954;60;1;3;1; ; ;1;1;48000;2;1;2; ;6;5;4;17;16;10;17;179,160729863014
3572931;1;1;1;10;1;1;1;12;1955;58;1;3;1; ; ;1;1;31200;2;1;2; ;4;7; ;17;7;10;17;191,208771370486
3572931;1;2;1;10;2;2;1;11;1957;56;2;3;1; ; ;1;2;96000;2;1;2; ;6;2;3;17;13;10;17;191,208771370486
3572931;1;3;1;10;3;1;1;6;1988;26;3;6;1; ; ;1;1;24640;2;1;2; ;6;2;3;17;13;10;17;191,208771370486
3572931;1;4;1;10;4;1;1;9;1989;25;3;6;1; ; ;1;1;24640;2;1;2; ;6;1;3;17;12;10;17;191,208771370486
3572932;1;1;1;10;1;2;1;11;1963;50;1;4;1; ; ;1;1;24640;2;1;2; ;5;11;2;17;11;10;17;166,012557585261
3572932;1;2;1;10;2;1;1;6;1987;27;3;6;1; ; ;1;3;100000;2;1;2; ;6;5;4;17;16;10;17;166,012557585261
3572934;1;1;1;10;1;2;1;4;1965;49;1;4;1; ; ;1;3;77000;2;1;2; ;5;11;2;17;11;10;17;155,631725542148
3572935;1;1;1;10;1;1;1;1;1964;50;1;4;1; ; ;1;3;77000;2;1;2; ;4;6; ;17;6;10;17;197,15678756307
3572936;1;1;1;10;1;2;1;10;1978;35;1;4;1; ; ;1;1;24640;2;1;2; ;5;11;2;17;11;10;17;132,750374409954
3572936;1;2;1;10;1;2;1;12;1999;14;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;17;8;10;17;132,750374409954
3572937;1;1;1;10;1;2;1;11;1981;32;1;4;1; ; ;1;1;18880;2;1;2; ;5;11;2;17;11;10;17;278,225441793668
3572937;1;2;1;10;1;1;1;6;1998;16;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;17;8;10;17;278,225441793668
3572937;1;3;1;10;1;1;1;1;2005;9;3; ;1; ; ;1;5; ;2;1;1;1;3;2; ;17;2;10;17;278,225441793668
3572937;1;4;1;10;1;2;1;7;2007;7;3; ;1; ; ;1;5; ;2;1;1;1;3;1; ;17;1;10;17;278,225441793668
3572957;1;1;1;10;1;2;1;12;1931;82;1;6;1; ; ;1;2;98;1;1;2; ;5;11;2;76;11;10;76;758,710421964254
3572957;1;2;1;10;2;2;1;12;1931;82;5;5;1; ; ;1;2;98;2;1;2; ;5;11;2;76;11;10;76;758,710421964254
3572958;1;1;1;10;1;1;1;4;1987;27;1;2;1; ; ;1;1;98;2;1;2; ;5;11;2;76;11;10;76;1011,55557937749
3572958;1;2;1;10;2;2;1;12;1995;18;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;76;11;10;76;1011,55557937749
3572959;1;1;1;10;1;1;1;3;1936;78;1;4;1; ; ;1;2;70000;2;1;2; ;3;4; ;76;4;10;76;1016,29670791732
3572960;1;1;1;10;1;1;1;9;1974;40;1;3;1; ; ;1;1;36000;2;1;2; ;5;11;2;76;11;10;76;1153,91279384716
3572960;1;2;1;10;2;2;1;4;1971;43;2;4;1; ; ;1;5; ;2;1;2; ;5;11;2;76;11;10;76;1153,91279384716
3572960;1;3;1;10;2;1;1;5;2010;4;3; ;1; ; ;1;5; ;2;2;1;1;2;0; ;76;0;10;76;1153,91279384716
3572961;1;1;1;10;1;1;1;4;1956;58;1;3;1; ; ;1;1;104000;2;1;2; ;6;5;4;76;16;10;76;946,293972679381
3572961;1;2;1;10;2;2;1;10;1953;60;2;3;1; ; ;1;2;156000;2;1;2; ;6;7;5;76;18;10;76;946,293972679381
3572961;1;3;1;10;3;1;1;6;1984;30;3;6;1; ; ;1;1;149920;2;1;2; ;6;5;4;76;16;10;76;946,293972679381
3572962;1;1;1;10;1;2;1;7;1947;67;1;5;1; ; ;1;2;300000;2;1;2; ;6;5;4;76;16;10;76;897,675891316721
3572963;1;1;1;10;1;2;1;1;1964;50;1;2;1; ; ;1;5; ;2;1;2; ;6;2;3;76;13;10;76;841,611564989025
3572963;1;2;1;10;2;1;1;10;1948;66;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;76;11;10;76;841,611564989025
3572964;1;1;1;10;1;2;1;2;1962;52;1;6;1; ; ;1;3;77000;2;1;2; ;5;11;2;76;11;10;76;861,956217740894
