Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3576550;1;1;1;10;1;1;1;1;1952;62;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;63;2611,32734316425
3576550;1;2;1;10;2;1;1;2;1949;65;5;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;10;63;2611,32734316425
3576551;1;1;1;10;1;1;1;6;1969;45;1;3;1; ; ;1;4; ;2;1;2; ;4;7; ;2;7;10;63;3457,57388610562
3576551;1;2;1;10;2;2;1;5;1973;41;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;10;63;3457,57388610562
3576551;1;3;1;10;3;1;1;8;1999;15;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;2;7;10;63;3457,57388610562
3576551;1;4;1;10;4;2;1;5;1995;19;3;6;9; ; ; ; ; ;1;1;1;1;4;8; ;2;8;10;63;3457,57388610562
3576551;1;5;1;10;4;1;1;2;2012;2;4; ;9; ; ; ; ; ;2; ; ; ; ; ; ;2; ;10;63;3457,57388610562
3576552;1;1;1;10;1;1;1;8;1951;63;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;10;63;2247,90654500134
3576552;1;2;1;10;2;2;1;8;1964;50;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;10;63;2247,90654500134
3576553;1;1;1;10;1;1;1;2;1981;33;1;2;2;1;36; ; ; ;2;1;2; ;4;6; ;2;6;10;63;4079,16102042097
3576553;1;2;1;10;2;2;1;11;1989;24;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;63;4079,16102042097
3576553;1;3;1;10;2;2;1;1;2010;4;3; ;1; ; ;3; ; ;2;2;1;1;1;0; ;2;0;10;63;4079,16102042097
3576554;1;1;1;10;1;1;1;12;1943;70;1;3;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;10;63;2993,59173107049
3576565;1;1;1;10;1;1;1;8;1973;41;1;2;1; ; ;1;4; ;2;1;2; ;1;0; ;2;0;10;63;3626,85019696724
3576565;1;2;1;10;2;2;1;6;1970;44;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;10;63;3626,85019696724
3576565;1;3;1;10;3;2;1;10;1993;21;3;6;1; ; ;1;5; ;2;1;1;1;6;1;3;2;12;10;63;3626,85019696724
3576565;1;4;1;10;4;2;1;7;2002;12;3;6;1; ; ;1;5; ;2;1;1;1;3;4; ;2;4;10;63;3626,85019696724
3576565;1;5;1;10;5;1;1;4;2004;10;3;6;1; ; ;1;5; ;2;1;1;1;3;4; ;2;4;10;63;3626,85019696724
3576566;1;1;1;10;1;1;1;3;1970;44;1;2;2;1;36; ; ; ;1;1;2; ;3;5; ;2;5;10;63;3246,43658574316
3576566;1;2;1;10;2;2;1;12;1983;30;2;2;2;1;36; ; ; ;2;1;2; ;3;2; ;2;2;10;63;3246,43658574316
3576566;1;3;1;10;3;1;1;9;1997;17;3;6;2;1;36; ; ; ;2;1;2; ;4;9; ;2;9;10;63;3246,43658574316
3576567;1;1;1;10;1;1;1;8;1971;43;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;10;63;3658,28661412265
3576567;1;2;1;10;2;2;1;11;1983;30;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;10;63;3658,28661412265
3576567;1;3;1;10;3;1;1;7;2002;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;10;63;3658,28661412265
3576567;1;4;1;10;4;2;1;10;2003;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;10;63;3658,28661412265
3576567;1;5;1;10;5;2;1;11;2005;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;10;63;3658,28661412265
3576567;1;6;1;10;6;1;1;10;2008;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;10;63;3658,28661412265
