Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3573404;1;5;1;70;73;144;30;1; ;2;24;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;19;55;1;2;5529;10;73;287,517064226509
3573408;1;3;1;70;73;24;48;1; ;2;96;1; ;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;39;87;50;1;2;5020;10;73;224,335246392483
3573409;1;3;1;70;73;4;48;1; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;1;4542;10;73;276,854003262166
3573588;1;2;1;70;54;8;48;1; ;2;8;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;10;54;405,632043739811
3573591;1;3;1;70;54;4;48;1; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;1;4522;10;54;426,023284948709
3573594;1;1;1;70;54;8;48;1; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;54;74;1;1;7493;10;54;362,426581505864
3573595;1;2;1;70;54;24;48;1; ;2;40;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;40;51;1;2;5141;10;54;314,881496567203
3573605;1;3;1;70;76;39;48;1; ;2;40;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;83;35;1;2;3591;10;76;988,668115963172
3573608;1;3;1;70;76;3;48;1; ;2;3;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;32;32;51;1;1;5139;10;76;742,821921042966
3573614;1;3;1;70;76;3;48;1; ;2;3;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;1;370000;2;55;55;51;1;1;5125;10;76;1035,60135954578
3573617;1;5;1;70;76;3;48;1; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;44;64;1;1;6421;10;76;1331,60885427771
