DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4206770;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;12;05;1072,17088974916
4206770;1;7;1;80;05;1;2;2; ;2; ; ;2; ;2; ;2; ;1;12;05;1072,17088974916
4206771;1;1;1;80;05;1;2;6; ;2; ; ;11; ;3; ;2; ;1;12;05;1070,60850340484
4206771;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;12;05;1070,60850340484
4206772;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;12;05;1013,01708633195
4206772;1;4;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;12;05;1013,01708633195
4206773;1;1;1;80;05;1;4;9;CAMBIO DE PAIS;2; ; ;10; ;3; ;2; ;1;12;05;1302,27730953961
4206773;1;2;1;80;05;1;1;8; ;1; ;1;4; ;1;2;2; ;1;12;05;1302,27730953961
4206773;1;3;1;80;05;1;4;9;CAMBIO DE PAIS;2; ; ;8; ;2; ;2; ;1;12;05;1302,27730953961
4206774;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;12;05;1176,94427775376
4206774;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;12;05;1176,94427775376
4206776;1;3;1;80;05;2; ; ; ; ;1;1;12;POR LA FALTA DE LA CEDULA;2; ;2; ;1;12;05;935,657051275101
4206779;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;12;05;1142,65665484126
4206779;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;12;05;1142,65665484126
4206782;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;12;05;1123,51979572401
4206784;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;12;05;877,230753496779
4206784;1;6;1;80;05;1;1;6; ;2; ; ;8; ;2; ;1;50000;1;12;05;877,230753496779
4206785;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;12;05;1033,77293163717
