DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4206769;1;1;1;10;1;1;2;1986;30;1;2;1; ; ;1;1;27700;2;1;2; ;5;11;2; ;05;11;12;05;1205,4530536493
4206769;1;2;1;10;2;2;4;1985;31;2;2;1; ; ;1;5; ;2;1;2; ;3;3; ; ;05;3;12;05;1205,4530536493
4206769;1;3;1;10;3;1;2;2008;8;3; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;05;2;12;05;1205,4530536493
4206770;1;1;1;10;1;1;6;1950;66;1;2;1; ; ;1;2;345928;2;1;2; ;6;2;3; ;05;13;12;05;1072,17088974916
4206770;1;2;1;10;2;2;3;1966;50;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;12;05;1072,17088974916
4206770;1;3;1;10;3;2;4;1992;24;3;6;1; ; ;1;1;57600;2;1;2; ;6;5;4; ;05;16;12;05;1072,17088974916
4206770;1;4;1;10;3;2;8;2015;1;4; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;05; ;12;05;1072,17088974916
4206770;1;5;1;10;5;2;1;1996;20;3;6;1; ; ;1;5; ;2;1;1;2;6;3;2;2;05;14;12;05;1072,17088974916
4206770;1;6;1;10;6;1;3;1989;27;7;6;1; ; ;1;1;36000;2;1;2; ;5;11;2; ;05;11;12;05;1072,17088974916
4206770;1;7;1;10;7;2;8;1998;18;7;6;1; ; ;2;5; ;2;1;1;1;5;10;1; ;05;10;12;05;1072,17088974916
4206771;1;1;1;10;1;1;7;1940;76;1;2;1; ; ;1;2;300000;2;1;2; ;3;5; ; ;05;5;12;05;1070,60850340484
4206771;1;2;1;10;2;2;11;1970;46;2;2;1; ; ;1;5; ;2;1;2; ;3;3; ; ;05;3;12;05;1070,60850340484
4206771;1;3;1;10;3;1;9;1988;28;3;6;1; ; ;1;1;56000;2;1;2; ;6;1;3; ;05;12;12;05;1070,60850340484
4206771;1;4;1;10;4;2;4;1997;19;3;6;1; ; ;1;5; ;2;1;1;1;5;10;1; ;05;10;12;05;1070,60850340484
4206771;1;5;1;10;5;2;3;1993;23;9;6;1; ; ;1;1;27578;2;1;2; ;6;3;3; ;05;14;12;05;1070,60850340484
4206772;1;1;1;10;1;2;7;1991;25;1;6;1; ; ;1;1;60000;2;1;1;1;6;5;4; ;05;16;12;05;1013,01708633195
4206772;1;2;1;10;1;2;2;1954;62;5;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1013,01708633195
4206772;1;3;1;10;3;2;7;1991;25;5;6;1; ; ;1;3;42000;2;1;1;1;6;6;4; ;05;17;12;05;1013,01708633195
4206772;1;4;1;10;4;2;10;1925;91;5;5;1; ; ;1;2;82734;2;1;2; ;3;4; ; ;05;4;12;05;1013,01708633195
4206773;1;1;1;10;1;1;10;1933;83;1;5;1; ; ;2;2;156000;2;1;2; ;3;5; ; ;05;5;12;05;1302,27730953961
4206773;1;2;1;10;2;1;9;1964;52;3;6;1; ; ;1;3;86200;2;1;2; ;6;5;4; ;05;16;12;05;1302,27730953961
