DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1745964;1;1;1;70;2;24;48;1; ;2;55;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;64;1;2;6421;63;411,424960334886
1745966;1;3;1;70;2;3;48;3; ;2;3;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;54;54;95;1;1;9500;63;507,359415731556
1745980;1;4;1;70;2;50;50;4; ;2;1;8; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;260000;2;61;62;01;1;2;0111;63;1065,45014207115
1745982;1;1;1;70;2;4;50;8; ;2;4;8; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0111;63;558,907357914324
1745998;1;3;1;70;2;4;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;63;621,018296646165
1746001;1;5;1;70;2;50;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;63;596,303869705238
1746002;1;5;1;70;2;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0116;63;804,563305502766
1746628;1;2;1;70;2;14;48;1; ;2;14;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;73;876,059470066958
1746634;1;2;1;70;2;4;56;8; ;2;4;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0121;73;2189,32700568708
1746635;1;2;1;70;2;2;60;5; ;2;4;3; ;1;1; ; ; ; ;1; ; ; ; ; ; ;1;300000;2;38;54;95;1;1;9500;73;2486,3791055781
1746638;1;2;1;70;2;1;40;8; ;2;1;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;62;62;01;1;1;0140;73;2856,19225566054
1746666;1;2;1;70;2;4;48;3; ;2;4;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;54;54;95;1;1;9500;73;2517,78479937333
1746669;1;1;1;70;2;18;40;4; ;2;18;1; ;6;2; ; ; ; ; ;1; ; ; ; ; ;2; ;2;50;50;55;1;2;5511;73;566,034278190786
1746679;1;3;1;70;2;4;60;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;496900;2;59;59;85;1;1;8511;73;560,268985553238
1746707;1;1;1;70;2;6;48;4; ;2;30;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;64;1;1;6421;73;1910,98003167136
1755278;1;2;1;70;2;4;48;3; ;2;3;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;54;54;95;1;1;9500;23;1170,70248116172
1755291;1;1;1;70;2;8;48;8; ;2;8;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0115;23;2532,88610236081
1755293;1;4;1;70;2;52;48;2; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;23;1036,96988143787
1755294;1;2;1;70;2;52;48;4; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;23;1737,94155706752
1755294;1;3;1;70;2;2;14;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;61; ; ;1;1; ;23;1737,94155706752
1755371;1;1;1;70;2;8;36;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;56;59;93;1;1;9303;23;1652,18912270976
