DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
1722176;1;8;1;70;1;24;24;3; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;47;47;109,160351747348
1722177;1;2;1;70;1;8;48;3; ;2;156;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;47;47;143,936664907833
1722181;1;4;1;70;1;99;48;1; ;2;520;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;65;1;2;6512;47;47;109,20517659461
1722185;1;4;1;70;1;52;48;1; ;2;84;1; ;9;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;53;45;52;1;2;5235;47;47;79,5649478715546
1722185;1;6;1;70;1;48;24;1; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;13;80;1;2;8060;47;47;79,5649478715546
1722186;1;6;1;70;1;12;60;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;180000;2;95;95;45;1;1;4521;47;47;216,524892601571
1722188;1;2;1;70;1;48;48;1; ;2;48;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;47;47;156,47869300652
1722192;1;2;1;70;1;3;60;4; ;2;3;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;98;98;60;1;1;6031;47;47;184,660427952378
1722193;1;2;1;70;1;24;48;1; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;47;47;226,366660480292
1722194;1;2;1;70;1;4;48;1; ;2;4;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;59;09;85;1;1;8512;47;47;139,056739275462
1722197;1;2;1;70;1;96;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;47;47;99,1900309807587
1722197;1;5;1;70;1;120;48;1; ;2;108;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;39;45;1;2;4543;47;47;99,1900309807587
1722218;1;5;1;70;1;70;40;1; ;2;70;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;75;1;2;7530;47;47;117,374812344565
1722219;1;2;1;70;1;32;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;47;47;117,511572506763
1722219;1;3;1;70;1;1;40;1; ;2;1;1; ;9;1;ESTA   RECIEN   SALIDO  DEL  TRABAJO  P; ; ; ; ; ; ; ; ;1; ;1;795000;2;45;45;75;1;1;7530;47;47;117,511572506763
1722222;1;2;1;70;1;12;40;4; ;2;12;1; ;5;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;39;39;63;1;1;6390;47;47;327,6593782363
