DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1723281;1;1;1;1;2;1;1;1;4;3; ; ; ; ;200000;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;1;1;2;1;4;1;2;1;1;1;3;3;1;01;11;11;1;2530,58028008943
1723692;1;4;1;1;1;1;1;1;3;1; ; ;250000000;1000000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;5;2;1;01;05;05;1;953,963442396734
1723693;1;4;3;1;1;1;1;1;3;1; ; ;160000000;1000000; ;1;1;1;2;1;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;5;2;1;01;05;05;1;817,493421395909
1723775;1;5;4;1;1;1;1;1;4;3; ; ; ; ;1000000;1;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;2;1;01;05;05;1;843,957474694832
1723777;1;2;2;1;1;1;1;1;4;3; ; ; ; ;150000;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;896,257572624986
1723778;1;7;2;1;1;1;1;1;1;1; ; ;250000000;1000000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;2;1;01;05;05;1;809,332996727835
1723779;1;4;1;1;1;1;1;1;4;3; ; ; ; ;1000000;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;2;1;2;1;4;1;2;1;1;1;5;2;1;01;05;05;1;865,998400112622
1723780;1;3;2;1;1;1;1;1;3;1; ; ;30000000;200000; ;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1038,98672730476
1723781;1;3;1;1;1;1;1;1;3;3; ; ; ; ;275000;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1087,22662492826
1723782;1;4;1;1;1;1;1;1;3;1; ; ;35000000;300000; ;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;05;05;1;948,621110863596
1723783;1;3;2;1;1;1;1;1;3;3; ; ; ; ;990000;1;1;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;5;1;1;1;1;1;5;2;1;01;05;05;1;1025,38258307536
1723784;1;3;1;1;1;1;1;1;3;1; ; ;140000000;800000; ;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;2;1;5;1;1;1;1;1;5;2;1;01;05;05;1;948,621110863596
1723785;1;5;3;1;1;1;1;1;4;3; ; ; ; ;800000;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;2;1;4;1;2;1;1;1;4;2;1;01;05;05;1;732,804340450541
1723786;1;3;1;1;1;1;1;1;3;1; ; ;35000000;300000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;2;1;01;05;05;1;948,621110863596
1723787;1;3;1;1;1;1;1;1;1;3; ; ; ; ;220000;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;05;1;779,934648817631
1723788;1;5;2;1;1;1;1;1;4;4; ; ; ;750000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;2;1;01;05;05;1;1093,2515565325
1723876;1;4;2;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;816,343828331478
1723877;1;4;2;1;1;1;1;1;3;1; ; ;70000000;500000; ;1;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;2;1;2;1;5;1;1;1;1;1;3;2;1;01;05;05;1;995,181232989494
1723879;1;3;1;1;1;1;1;1;1;1; ; ;60000000;400000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1044,3290588379
1723880;1;4;2;1;1;1;1;1;3;3; ; ; ; ;911000;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;5;2;1;01;05;05;1;848,028950428583
1723881;1;5;3;1;1;1;1;1;3;3; ; ; ; ;1200000;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;5;2;1;01;05;05;1;919,569353842163
1723882;1;6;4;1;1;1;1;1;3;1; ; ;220000000;850000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;5;2;1;01;05;05;1;1030,56122154347
1723884;1;4;1;1;1;1;1;1;3;1; ; ;130000000;1000000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;5;2;1;01;05;05;1;1010,62884578152
1723885;1;6;3;1;1;1;1;1;3;1; ; ;45000000;300000; ;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1098,29765683856
1723886;1;5;1;1;1;1;1;1;1;1; ; ;60000000;300000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1010,62884578152
1723888;1;3;2;1;1;1;1;1;3;1; ; ;28000000;250000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;995,181232989494
1723889;1;4;3;1;1;1;1;1;3;1; ; ;48000000;200000; ;1;1;1;2;1;2;2;2;1;1;1;1;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;849,697450499088
1723890;1;4;3;1;1;1;1;1;3;1; ; ;55000000;350000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;1;1;2;1;1;1;1;1;2;2;1;01;05;05;1;919,526923512097
1723891;1;4;1;1;1;1;1;1;1;3; ; ; ; ;600000;1;2;1;2;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;4;2;1;01;05;05;1;948,621110863596
1723892;1;4;2;1;1;1;1;1;4;3; ; ; ; ;580000;1;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;05;1;776,782376735884
1723893;1;4;2;1;1;1;1;1;3;1; ; ;150000000;600000; ;1;1;1;1;2;1;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;790,386520965291
1723894;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1004,72517691224
1723895;1;4;2;1;1;1;1;1;1;3; ; ; ; ;280000;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1121,60943805574
1723896;1;6;4;1;1;1;1;1;3;1; ; ;120000000;650000; ;1;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;05;1;1363,7992295932
1723897;1;5;1;1;1;1;1;1;3;1; ; ;100000000;500000; ;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;1038,98672730476
1723898;1;3;2;1;1;1;1;1;4;3; ; ; ; ;400000;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;824,717169211406
1723900;1;4;3;1;1;1;1;1;1;1; ; ;150000000;1100000; ;1;1;1;1;1;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;5;2;1;01;05;05;1;901,499651401557
1723901;1;5;2;1;1;1;1;1;3;1; ; ;200000000;1000000; ;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;5;2;1;01;05;05;1;803,990665194697
1723902;1;4;2;1;1;1;1;1;3;1; ; ;110000000;400000; ;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;790,386520965291
1723903;1;4;3;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;626,999960122397
1723905;1;4;1;1;1;1;1;1;3;2; ;120000;80000000;300000; ;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;948,621110863596
1723906;1;1;1;1;1;1;1;1;4;3; ; ; ; ;213000;1;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1100,99446222269
