DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1723692;1;2;1;80;05;1;4;3; ;1;2;2; ; ;4; ;1;1;1;05;953,963442396734
1723693;1;2;1;80;05;1;4;2; ;2; ;2; ; ; ; ;2;2;1;05;817,493421395909
1723693;1;3;1;80;05;1;1;8; ;2; ;1;300000; ; ; ;2;2;1;05;817,493421395909
1723693;1;4;1;80;05;1;1;8; ;2; ;2; ; ; ; ;2;2;1;05;817,493421395909
1723693;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;817,493421395909
1723775;1;3;1;80;05;1;2;8; ;2; ;2; ; ;1; ;2;1;1;05;843,957474694832
1723775;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;843,957474694832
1723777;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;896,257572624986
1723777;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;896,257572624986
1723777;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;896,257572624986
1723778;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;809,332996727835
1723779;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;865,998400112622
1723780;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;1038,98672730476
1723781;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1087,22662492826
1723782;1;1;1;80;05;1;4;5; ;3; ;2; ; ;1; ;1;1;1;05;948,621110863596
1723782;1;2;1;80;05;1;4;7; ;2; ;2; ; ; ; ;1;2;1;05;948,621110863596
1723784;1;1;1;80;05;2; ; ; ;3; ;2; ;1;4; ;10; ;1;05;948,621110863596
1723784;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;948,621110863596
1723785;1;2;1;80;05;2; ; ; ;2; ;2; ;1;1; ;2; ;1;05;732,804340450541
1723785;1;3;1;80;05;1;2;9;CAMBIO DE DOMICILIO;2; ;2; ; ;1; ;2;1;1;05;732,804340450541
1723785;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;732,804340450541
1723785;1;5;1;80;05;1;3;5; ;3; ;2; ; ; ; ;4;2;1;05;732,804340450541
1723785;1;6;1;80;05;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;732,804340450541
1723788;1;1;1;80;05;1;3;8; ;2; ;2; ; ; ; ;4;2;1;05;1093,2515565325
1723788;1;2;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;1093,2515565325
1723876;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;816,343828331478
1723876;1;4;1;80;05;2; ; ; ;2; ;2; ;1;4; ;11; ;1;05;816,343828331478
