DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4854487;1;1;1;70;05;9;48;4; ;2;9;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;79;79;18;1;1;1810;03;05;995,875933632035
4854488;1;3;1;70;05;52;48;1; ;2;6;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;11;11;24;1;2;2411;03;05;1220,10282525311
4854493;1;5;1;70;05;10;48;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;39;03;74;1;1;7421;03;05;1436,49145337451
4854513;1;3;1;70;05;2;48;1; ;2;96;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;53;54;55;1;1;5511;03;05;925,680629990808
4854513;1;4;1;70;05;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;39; ; ;1;2; ;03;05;925,680629990808
4854513;1;5;1;70;05;120;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;38; ; ;1;2; ;03;05;925,680629990808
4854518;1;2;1;70;05;12;40;1; ;2;20;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;8000000;2; ;21;21;24;1;1;2423;03;05;1268,98383767525
4854521;1;2;1;70;05;3;40;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;39;72;1;1;7230;03;05;1138,11306576782
4854529;1;2;1;70;05;2;48;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;45;45;52;1;1;5241;03;05;1074,15221641831
4854529;1;3;1;70;05;12;48;1; ;2;72;4; ;9;2;1; ; ; ; ; ; ; ; ;1;PENSIONADA POR INVALIDEZ; ;2; ;1000000;3; ;13;05;75;1;1;7512;03;05;1074,15221641831
4854534;1;1;1;70;05;8;48;1; ;2;10;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;13;94;36;1;1;3699;03;05;1116,55767272346
4854538;1;4;1;70;05;8;24;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;38;84;51;1;1;5170;03;05;1024,75939110499
