DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4854486;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;828116;2;1;03;05;1337,224919755
4854486;1;3;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;05;1337,224919755
4854486;1;4;1;80;05;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;03;05;1337,224919755
4854488;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1220,10282525311
4854489;1;1;1;80;05;1;4;9;POR PROBLEMAS CON EL SOCIO;2; ; ;11; ;2; ;2; ; ; ; ;2;1;03;05;1158,90979970866
4854490;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1088,5267235621
4854490;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1088,5267235621
4854491;1;3;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1109,90260032491
4854492;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854492;1;2;1;80;05;1;4;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1194,26881329861
4854495;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1117,44251878859
4854496;1;1;1;80;05;1;4;7; ;2; ; ;4; ;2; ;2; ;1;48;828116;2;1;03;05;1088,34720728055
4854497;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1003,41585209572
4854498;1;4;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1276,13238582229
4854499;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1124,09759118714
4854501;1;4;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1240,77337223234
4854502;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1202,34818980134
4854502;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1202,34818980134
4854503;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1145,77917119311
4854504;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1201,80873176229
4854504;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1201,80873176229
4854505;1;1;1;80;05;1;3;3; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;03;05;1158,90979970866
4854507;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1165,93216089409
4854507;1;2;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ;2; ;800000;2;1;03;05;1165,93216089409
4854508;1;2;1;80;05;1;1;9;VIAJE;2; ; ;9; ;2; ;2; ;2; ;800000;2;1;03;05;1268,98383767525
4854509;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1158,90979970866
4854510;1;3;1;80;05;1;1;8; ;1; ;1;2; ;1; ;2; ; ; ; ;2;1;03;05;1031,23494722199
4854511;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1371,64414413977
4854511;1;5;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1371,64414413977
4854512;1;1;1;80;05;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854512;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1194,26881329861
4854513;1;2;1;80;05;2; ; ; ; ;1;4;5; ;2; ;2; ;2; ;800000;2;1;03;05;925,680629990808
4854513;1;6;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;925,680629990808
4854516;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1372,03712827651
4854517;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854517;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1194,26881329861
4854519;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854519;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854523;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1151,91668631341
4854526;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;03;05;1162,10571912942
4854527;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1137,72169545118
4854528;1;2;1;80;05;1;3;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1287,10577309169
4854529;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1074,15221641831
4854530;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;03;05;1166,44971817234
4854532;1;3;1;80;05;2; ; ; ; ;1;1;2; ;2; ;2; ; ; ;1000000;2;1;03;05;1124,09759118714
4854534;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1116,55767272346
4854535;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1337,04540347345
4854540;1;2;1;80;05;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1059,57159962651
4854541;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854541;1;2;1;80;05;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;05;1194,26881329861
4854544;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854547;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;48;828000;2;1;03;05;1151,91668631341
4854548;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854548;1;2;1;80;05;1;4;6; ;1; ;4;8; ;2; ;2; ; ; ; ;2;1;03;05;1194,26881329861
4854550;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1166,44971817234
4854552;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1254,96836309457
4854553;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1180,25333871793
4854553;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1180,25333871793
4854554;1;1;1;80;05;1;1;8; ;2; ; ;9; ;2; ;2; ;1;24;900000;2;1;03;05;1592,39867206489
4854555;1;1;1;80;05;1;2;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854555;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1194,26881329861
4854557;1;2;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;2; ;828116;2;1;03;05;1446,36078233651
4854557;1;5;1;80;05;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;05;1446,36078233651
4854559;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1251,1419213299
4854559;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1251,1419213299
4854559;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1251,1419213299
4854562;1;1;1;80;05;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;03;05;1195,33317564529
4854562;1;2;1;80;05;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;03;05;1195,33317564529
4854563;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1116,55767272346
4854564;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;03;05;1176,68633592123
4854564;1;2;1;80;05;1;1;9;VIAJE;1; ;1;5; ;1; ;2; ; ; ; ;2;1;03;05;1176,68633592123
4854565;1;1;1;80;05;1;2;9;MUTUO ACUERDO CON LA EMPRESA PREJUBILADO;2; ; ;11; ;1;2;1;4600000; ; ; ;1;1;03;05;1180,25333871793
4854565;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;03;05;1180,25333871793
4854566;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1067,11151809019
4854571;1;2;1;80;05;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;826116;2;1;03;05;1399,85460958268
4854572;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1158,90979970866
4854573;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;882,781697937174
4854574;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1003,41585209572
4854576;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1039,29242296392
4854577;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;828116;2;1;03;05;1393,59252132088
4854578;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1134,28662400315
4854580;1;1;1;80;05;1;1;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;03;05;1209,00326219989
4854581;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;03;05;1113,45180792171
4854581;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;03;05;1113,45180792171
4854581;1;5;1;80;05;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;03;05;1113,45180792171
4854581;1;8;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1113,45180792171
4854582;1;2;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;28;800000;2;1;03;05;1110,08211660646
4854582;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;828000;2;1;03;05;1110,08211660646
4854582;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1110,08211660646
4854583;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;03;05;1482,11116624311
