Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3551512;1;2;1;70;1;48;52;1; ;2;52;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;61;01;1;2;0121;09;47;277,806409024346;47
3551519;1;5;1;70;1;32;48;1; ;2;192;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;55;1;2;5522;09;47;153,4548791493;47
3551531;1;2;1;70;1;5;48;1; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;39;74;1;1;7411;09;47;179,276449712194;47
3551550;1;1;1;70;1;4;40;1; ;2;5;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;03;52;1;1;5272;09;17;191,570233883197;17
3551572;1;1;1;70;1;3;50;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;09;18;213,04902071935;18
3551573;1;2;1;70;1;3;40;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ;1; ;PENSION;2; ;2;53;53;55;1;1;5529;09;15;98,7172006286889;15
3551573;1;3;1;70;1;36;40;2; ;2;36;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;09;21;65;1;2;6512;09;15;98,7172006286889;15
3551575;1;3;1;70;1;8;48;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;09;18;83,7668079743226;18
3551578;1;2;1;70;1;4;40;1; ;2;12;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;16;74;1;1;7499;09;15;83,0873324648894;15
3551583;1;4;1;70;1;1;40;1; ;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;45;45;52;1;1;5239;09;73;268,808056995406;73
3551584;1;1;1;70;1;1;48;1; ;2;1;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;84;84;26;1;1;2694;09;73;224,195011766809;73
3551584;1;2;1;70;1;48;48;4; ;2;144;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;09;73;224,195011766809;73
3551587;1;1;1;70;1;12;40;1; ;2;12;8; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;62;01;1;1;0111;09;73;288,289810029377;73
3551593;1;2;1;70;1;32;50;1; ;2;53;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;79;17;1;2;1720;09;73;190,374583244579;73
3551595;1;2;1;70;1;112;48;1; ;2;56;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;45;52;1;2;5262;09;73;233,782485123392;73
3551596;1;3;1;70;1;16;48;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;09;73;546,683020459312;73
3551625;1;2;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;09;76;2267,34543676477;76
