Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;Oficio;Rama2d;Oci;P6430;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3556552;1;2;1;60;2;1;2;1; ;1;1;1;1;1;2; ;1; ;250000;2; ; ;2; ;2; ;2; ;2; ;72000; ; ; ;2; ;1;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;2; ; ;2;2; ; ; ;2; ; ; ; ; ;63;48; ;.;48; ; ;9;5; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;1;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;1;1;2;2;1;2;2;2;2; ;2;1;2;2;1;2;3; ;2;2;44;66;1;1;6602; ; ;250000;09;63;1460,63585520238
3556553;1;1;1;60;2;1;2;1; ;1;1;1;1;1;36; ;1; ;680000;1;200000;2;2; ;2; ;2; ;2; ;72000;21000; ;2;2; ;1;1; ;2;2;2; ; ;1; ;350000;350000;350000;2;1;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;48; ;.;48; ; ;9;9; ;1;1;1;10;1;1; ; ; ; ; ; ; ; ;1;1;84;1; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1; ;1;1;97;45;1;1;4560; ; ;680000;09;63;1717,71317287565
3556553;1;2;1;60;2;2; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;40000;1;200000;1; ;7; ; ; ; ; ; ; ; ; ; ; ;2; ;63;5;1; ;3;6; ;1;2; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ;1;48;2;1;1;1;1;1;2;1;2;1;1;2;2; ;2;1;2;2;2;2;3; ;2;1;57;93;1;4;9302; ; ;40000;09;63;1717,71317287565
3556914;1;1;1;60;2;1;1; ; ;1;1;1;1;1;36; ;1; ;520000;2; ; ;2; ;1;200000;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ;589000; ;2;1;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;84; ;.;84; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;6;4; ;2; ; ; ; ;0;2; ;6; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2; ;1;1;62;01;1;1;0121; ; ;720000;09;63;1844,79160866
3556915;1;1;1;60;2;1;2;1; ;1;1;1;1;1;136; ;1; ;616000;2; ; ;2; ;1;200000;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ;300000;308000;2;1;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;72; ;.;72; ; ;2;1; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;48;1; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2; ;1;1;56;92;1;1;9249; ; ;816000;09;63;1661,38659570284
3556915;1;2;1;60;2;1;2;1; ;1;1;2;2;2;36; ;1; ;170000;2; ; ;2; ;1;200000;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;25;1; ;25; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;4; ;2; ; ; ; ;99;2; ;3; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;55;92;1;1;9249; ; ;370000;09;63;1661,38659570284
3556916;1;1;1;60;2;2; ; ; ; ; ; ; ; ;132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;280000;1;0;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;55; ;.;55; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;4; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;1;1;1;1;1;2;2;1;1;1;2; ;2;1;1;2;1;2;3; ;2;1;61;01;1;4;0113; ; ;280000;09;63;1478,19530499794
3556916;1;2;1;60;2;2; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;20000;1;0;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;63;84; ;.;84; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;1;1;1;2;2;2;2;2;2; ;2;1;1;2;2;2;3; ;1;1;41;52;1;4;5211; ; ;20000;09;63;1478,19530499794
3556917;1;1;1;60;2;2; ; ; ; ; ; ; ; ;780; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;0;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ;63;50; ;.;50; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;3; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;61;01;1;5;0113; ; ;0;09;63;1927,55137754117
3556918;1;1;1;60;2;2; ; ; ; ; ; ; ; ;696; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;0;1;700000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;42; ;.;42; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;96;6; ;2; ; ; ; ;96;2; ;3; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;10;DE  ARRIENDO;1;1;61;01;1;5;0113; ; ;0;09;63;1462,1467878073
