DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5518780;1;1;1;80;11;1;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;11;3028,28099318403
5518781;1;2;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;411,232571705829
5518781;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;411,232571705829
5518781;1;4;1;80;13;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;411,232571705829
5518782;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;403,8097390687
5518782;1;4;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;403,8097390687
5518782;1;5;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;403,8097390687
5518784;1;3;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;3;13;538,145262081809
5518788;1;2;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;480,842569235674
5518788;1;8;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;480,842569235674
5518789;1;2;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;590,644451005912
5518789;1;3;1;80;13;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;590,644451005912
5518792;1;1;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;524,413310120753
5518792;1;3;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;3;13;524,413310120753
5518794;1;1;1;80;13;1;1;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;08;4;13;470,127681186782
5518795;1;2;1;80;13;1;1;6; ;2; ; ;9; ;2; ;2; ;2; ;908526;2;1;08;4;13;585,924435134492
5518795;1;3;1;80;13;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;585,924435134492
5518796;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;452,624710548106
5518797;1;1;1;80;13;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;3;13;605,556138294809
5518799;1;1;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;361,825864556527
5518799;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;361,825864556527
5518799;1;4;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;361,825864556527
5518801;1;1;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;441,063681210119
5518801;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;441,063681210119
5518801;1;4;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;441,063681210119
5518801;1;5;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;441,063681210119
5518802;1;1;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;908526;2;1;08;3;13;552,982194338081
5518802;1;3;1;80;13;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;552,982194338081
5518803;1;3;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;358,69389853936
5518804;1;1;1;80;13;1;1;6; ;2; ; ;8; ;2; ;2; ;1;40;908526;2;1;08;3;13;527,105732946972
5518806;1;2;1;80;13;1;1;7; ;2; ; ;12;SEGURIDAD PANDEMIA;2; ;2; ;1;30;1000000;2;1;08;2;13;454,869334605547
5518807;1;1;1;80;13;1;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;3;13;452,206002082204
5518807;1;3;1;80;13;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;452,206002082204
5518807;1;4;1;80;13;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;452,206002082204
5518808;1;1;1;80;13;1;1;6; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;13;454,869334605547
5518810;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;443,073145389335
5518811;1;2;1;80;13;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;908526;2;1;08;2;13;480,419493989208
5518811;1;4;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;480,419493989208
5518811;1;6;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;480,419493989208
5518813;1;2;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ;2; ;908526;2;1;08; ;13;462,375840683144
5518813;1;3;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;462,375840683144
5518813;1;4;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;462,375840683144
5518813;1;6;1;80;13;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;08;4;13;462,375840683144
5518814;1;1;1;80;13;1;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;08;4;13;339,062195379043
5518814;1;4;1;80;13;1;1;8; ;2; ; ;2; ;2; ;2; ;2; ;1000000;2;1;08;1,3;13;339,062195379043
5518815;1;2;1;80;13;1;1;6; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;08;4;13;449,074036065037
5518816;1;6;1;80;13;1;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;13;495,230041801665
5518819;1;4;1;80;13;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;419,890767745949
5518820;1;2;1;80;13;1;1;9;PANDEMIA;2; ; ;12;PANDEMIA;2; ;2; ;1;48;900000;2;1;08;2;13;377,289803272955
