DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5523929;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;68;2038,53808183676
5523931;1;2;1;80;2;1;8; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;4;68;772,55968197282
5523933;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;68;768,268900262145
5523933;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;68;768,268900262145
5523933;1;7;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;68;768,268900262145
5523935;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;68;1030,98694595023
5523935;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;68;1030,98694595023
5523935;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;68;1030,98694595023
5524730;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;1950,609479944
5524731;1;2;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;1573,25862131105
5524732;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;2;13;1955,19358546888
5524732;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;1955,19358546888
5524732;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;1955,19358546888
5524733;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;3;13;1274,0309680242
5525117;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;2; ;600000;2;1;08;4;23;1288,66532836779
5525117;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;23;1288,66532836779
5525118;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;23;1802,5536053105
5525118;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;23;1802,5536053105
5525119;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;2;23;1077,67548077708
5525119;1;4;1;80;2;1;6; ;1; ;2;1; ;2; ;2; ;1;48;600000;2;1;08;3;23;1077,67548077708
5525121;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;23;1142,41455667714
5525122;1;2;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;23;1918,32156491181
5525122;1;3;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;08;2;23;1918,32156491181
5525123;1;3;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ;1;48;400000;2;1;08;1,3;23;1982,85812613862
5525123;1;5;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;2;23;1982,85812613862
5525124;1;2;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;1,4;23;1142,41455667714
5525125;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;2; ;400000;2;1;08;1,4;23;2098,4433194356
5525125;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;23;2098,4433194356
5525125;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;23;2098,4433194356
5525125;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;23;2098,4433194356
5525126;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;2;23;851,632547660461
5525126;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;23;851,632547660461
5525126;1;4;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;23;851,632547660461
5525126;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;23;851,632547660461
5525135;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;2333,56041068874
5525137;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;1,4;13;2159,7032336142
5525141;1;5;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;13;1930,69808095117
5525143;1;2;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;2;13;1629,44353863497
5525152;1;1;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;13;1620,92254798964
5525155;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;2;13;1765,0251269653
5525155;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;1765,0251269653
5525155;1;7;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;13;1765,0251269653
5525156;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;2;13;2257,65344330756
5525159;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;4;13;1530,78864837298
5525160;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;1420,34978496478
5525161;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;1371,07946853691
5525161;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;1371,07946853691
5525167;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;1815,6751120181
5525191;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;08;4;70;1699,81798009768
5525193;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;2032,14036918105
5525194;1;2;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ;1;42;400000;2;1;08;3;70;1412,12929137766
5525195;1;2;1;80;2;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;08;1,2;70;2410,53935034807
5525196;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;08;4;70;2531,03128868556
5525196;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;70;2531,03128868556
5525197;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;70;1831,9868076006
5525198;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;450000;2;1;08; ;70;1888,29925222157
5525198;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1888,29925222157
5525200;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;4;70;1304,26063479282
5525200;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1304,26063479282
5525202;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;4;70;1304,26063479282
5525202;1;2;1;80;2;1;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;08;4;70;1304,26063479282
5525203;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1471,23077992035
5525203;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;70;1471,23077992035
5525205;1;1;1;80;2;1;6; ;2; ; ;1; ;2; ;2; ;1;48;500000;2;1;08;3;70;1981,79398888143
5525205;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1981,79398888143
5525206;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;4;70;1104,85193885153
5525207;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;70;2228,76002120063
5525208;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;4;70;972,283485648698
5525208;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;972,283485648698
5525208;1;6;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;972,283485648698
5525208;1;8;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;972,283485648698
5525209;1;1;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;3;70;1831,9868076006
5525210;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1679,5227213965
5525210;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1679,5227213965
5525215;1;1;1;80;2;1;4; ;2; ; ;12;POR ACCIDENTE DE TRANSITO;2; ;2; ;2; ;700000;2;1;08;3;70;1524,70945507446
5525217;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;08;3;70;1923,90836863391
5525218;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;08;3;70;2676,08827394022
5525219;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;70;1679,5227213965
5525220;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;1950,05304597867
5525221;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;70;2282,37543506204
5525223;1;1;1;80;2;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;70;1831,9868076006
5525224;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;2;70;2584,64670254697
5525235;1;1;1;80;2;1;1; ;2; ; ;1; ;2; ;2; ;1;48;908526;2;1;08;4;15;814,644475987835
5525235;1;2;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;15;814,644475987835
5525236;1;2;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;08;3;15;550,062195035059
