DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2271743;1;2;1;70;2;8;40;1; ;2;200;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;04;54;1165,60098203722
2271750;1;3;1;70;2;12;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;04;54;1622,69572577991
2271751;1;5;1;70;2;4;50;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;56;93;1;1;9301;04;54;1397,132502223
2290481;1;3;1;70;2;8;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;15;1;1;1571;04;19;7668,06699092806
2290520;1;2;1;70;2;5;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;19;7960,34107563353
2290624;1;2;1;70;2;28;48;2; ;2;96;2; ;9;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;07;07;85;1;2;8511;04;13;1566,72716076597
2290680;1;2;1;70;2;1;48;3; ;2;138;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;1;8532;04;20;1620,35921754851
2290705;1;3;1;70;2;24;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;04;13;1679,90887792196
2290709;1;1;1;70;2;8;40;1; ;2;16;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;13;80;1;1;8046;04;13;1540,36875723989
2290716;1;3;1;70;2;36;8;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;04;13;1697,99130373151
2290728;1;2;1;70;2;4;8;1; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;04;13;1674,79778200898
2291095;1;3;1;70;2;20;60;2; ;2;24;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;04;41;1155,16061167233
2291126;1;2;1;70;2;4;25;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;56;93;1;1;9301;04;41;986,411200032194
2291160;1;2;1;70;2;16;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;56; ; ;1;2; ;04;41;532,602507060333
2291160;1;5;1;70;2;8;40;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;04;41;532,602507060333
2291170;1;2;1;70;2;4;40;1; ;2;16;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;03;74;1;1;7491;04;41;1382,21024767006
2291177;1;2;1;70;2;8;40;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;53;53;80;1;1;8021;04;41;1152,95234906542
2291188;1;5;1;70;2;8;40;3; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;1;5211;04;41;1352,90358791076
2291203;1;1;1;70;2;8;40;4; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;99;11;1;1;1110;04;41;1152,95234906542
2291203;1;2;1;70;2;12;40;4; ;2;12;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;55;74;1;1;7493;04;41;1152,95234906542
2291219;1;3;1;70;2;60;40;1; ;2;60;2; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;17;75;1;2;7512;04;41;1073,36479722044
2291219;1;4;1;70;2;50;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;04;41;1073,36479722044
2291299;1;3;1;70;2;4;40;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;74;1;1;7493;04;41;1215,97755183023
2294903;1;3;1;70;2;32;48;3; ;2;32;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;04;13;2038,8146102695
2295053;1;2;1;70;2;12;40;3; ;2;16;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;53;55;1;1;5521;04;19;573,800237710297
2295057;1;1;1;70;2;24;40;1; ;2;104;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;75;1;2;7513;04;19;999,035080586935
