DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2271740;1;3;3;4;1;4;8;1;4;1; ; ;1000000;500000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;1;1;1;1;2;1;2;2;2;2;1; ; ;01;2;04;54;1;1288,9123533335
2271741;1;4;1;6; ;3;8;1;5;1; ; ;10000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2; ;4;1;1;1;1;1;2;2;2;2;1; ; ;01;2;04;54;1;1183,17023942054
2271742;1;3;2;2;1;4;1;1;5;3; ; ; ; ;98;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2; ;6;1;1;1;2;1;2;2;2;1;0; ;2;01;2;04;54;1;1500,97480121028
2271743;1;3;2;2;1;4;1;1;4;1; ; ;15000000;200000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;2;01;2;04;54;1;1165,60098203722
2271744;1;2;1;2;1;4;2;1;4;3; ; ; ; ;100000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;4;1;1;1;4;1;2;2;2;2;1; ; ;01;2;04;54;1;884,607034736413
2271745;1;3;2;2;2;4;8;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;04;54;1;884,607034736413
2271746;1;2;2;2;1;4;1;1;5;1; ; ;4000000;20000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;1;0; ;2;01;2;04;54;1;629,615470802063
2271747;1;4;1;2;1;4;1;1;4;1; ; ;10000000;50000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;2;01;2;04;54;1;629,615470802063
2271748;1;3;2;2;1;4;8;1;4;1; ; ;12000000;100000; ;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;1;2;2;2; ;2;2; ;5;1;1;1;2;1;2;2;2;2;1; ; ;01;2;04;54;1;981,0670596122
2271749;1;3;2;3;1;4;8;1;4;1; ; ;13000000;60000; ;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2; ;2;2; ;4;1;1;3;4;1;2;2;2;2;1; ; ;01;2;04;54;1;789,309986260261
2271750;1;5;4;2;1;4;1;1;4;1; ; ;15000000;80000; ;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;2;1;1; ;2;01;2;04;54;1;1622,69572577991
2271751;1;4;3;2;1;4;1;1;4;1; ; ;10000000;70000; ;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;6;1;1;1;2;1;2;2;2;1;1; ;2;01;2;04;54;1;1397,132502223
2290413;1;7;1;1;1;3;1;1;4;1; ; ;15000000;1000000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;1;2;1;1; ;2;01;2;04;19;1;5142,6690399229
2290437;1;3;2;2;1;4;1;1;4;1; ; ;25000000;150000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;2;1;2;1;1; ;2;01;2;04;19;1;5133,82698969466
2290481;1;3;2;2;1;4;1;1;5;1; ; ;5000000;50000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;1;4;4;1;2;2;2;1;1; ;1;01;2;04;19;1;7668,06699092806
2290483;1;4;3;4;1;4;1;1;5;1; ; ;5000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;4;2;1;2;2;2;1;1; ;1;01;2;04;19;1;6257,93367550535
2290487;1;3;1;6; ;4;1;1;5;1; ; ;1000000;20000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;4;1;1;2;2;2;1;1; ;1;01;2;04;19;1;7412,87323844713
2290500;1;3;1;1;1;4;1;1;4;1; ; ;50000000;500000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;2;1;1; ;1;01;2;04;19;1;5720,1388213938
2290520;1;3;3;1;1;4;1;1;4;4; ; ; ;300000; ;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;4;1;2;1;4;1;2;1;2;1;1; ;1;01;2;04;19;1;7960,34107563353
2290554;1;3;2;2;1;4;4;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;04;19;1;7785,75500502651
