DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4324326;1;5;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;39; ;1; ;2;737717;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;2;1;26200;2;2; ; ;2; ; ;1;150000;2;1;689454;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;40;2; ;9;7; ;1; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;1;24;36;1; ;2; ; ; ; ; ; ; ;1;20;2;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1;2;1;1;2;1;1;1; ;39;01;1;1;0123; ; ;737717;05;76;2457,11696169956
4324326;2;1;2;60;2;76;1;2;1; ;1; ; ;1;1;2;1;60; ;3; ;2;737717;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;2;1;26000;2;2; ; ;2; ; ;2; ; ;1;860000;2; ;2; ;2; ;2; ;1;9; ; ; ; ; ; ; ; ; ; ; ;12;48; ;.;49; ; ;9;7; ;1; ;1;1;1;9;1; ; ; ; ; ; ; ; ;1;1;1;1;12;48;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;97;01;1;1;0123; ; ;737717;05;76;2457,11696169956
4324327;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;2; ;2;1500000;1;1500000;3; ;12;60; ;.;70; ; ;2;7; ;12;CON DINERO DEL TRABAJO PAGA MEDICO PARTICULAR  Y COMPRA MEDICAMENTOS;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;1;0;11;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;51;55;1;5;5530; ; ;1500000;05;76;1355,07102801583
4324327;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;84; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;500000;1;6000000;3; ;12;30;1; ;24;2; ;1;8; ;1; ;1;2;2;23;1;1; ; ; ; ; ; ; ; ;2;2;1;0;36;1; ;1;76;5;6; ; ;2;7;1;30;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;61;01;1;4;0124; ; ;500000;05;76;1355,07102801583
4324328;1;1;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;48; ;2; ;2;1000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;72; ;.;72; ; ;2;7; ;12;RECURSOS DE SU TRABAJO;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;6;84;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;2;1;1;2;2;2;1;2;2; ;1;1;2;2;2;2;1;2;8; ;39;63;1;1;6320; ; ;1000000;05;76;1952,40307205048
4324328;1;4;1;60;2;76;1;2;1; ;1; ; ;1;1;1;1;48; ;2; ;2;1350000;1;200000;1;2; ;2; ;2; ;2; ;1;150000;1;1;83140;1;1;29000;2;2; ; ;2; ; ;1;150000;2;1;1200000;1;841000;2; ;1;841000;2; ;1;15; ; ; ; ; ; ; ; ; ; ; ;12;48; ;.;63; ; ;9;4; ;1; ;1;1;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;24;144;6; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;3; ;98;51;1;1;5127; ; ;1350000;05;76;1952,40307205048
4324329;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;75; ;1; ;2;780000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;68000;2;1;26500;2;2; ; ;2; ; ;2; ; ;1;1000000;2; ;2; ;2; ;1;368000;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;40;2; ;9;4; ;1; ;1;2;1;32;1;1; ; ; ; ; ; ; ; ;1;1;1;2;120;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;9; ;62;01;1;1;0114; ; ;780000;05;76;1850,90148155916
4324329;1;2;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;104; ;7;LE OFRECIERON EL TRABAJO;2;737717;2; ; ;1;140000;2; ;2; ;2; ;2; ; ;1;83140;2;1;26200;2;2; ; ;2; ; ;2; ; ;1;689454;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;45; ;.;36;2; ;9;7; ;1; ;1;2;1;14;1;1; ; ; ; ; ; ; ; ;1;1;1;0;3;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;4; ;97;22;1;1;2231; ; ;877717;05;76;1850,90148155916
4324330;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;1000000;1;98;3; ;12;50; ;.;41;2; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;4; ;1;76;3;4; ; ;2;4;2; ; ; ;1;1;2;1;2;2;2;2;2;1;2; ;2;1;1;2;1;2;1;1;5; ;83;28;1;5;2811; ; ;1000000;05;76;1976,06955995301
4324330;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;35;2; ;30;2; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;22;6; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;39;71;1;6;7122; ; ; ;05;76;1976,06955995301
4324331;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;54; ;1; ;2;737717;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;2;1;26000;2;2; ; ;2; ; ;1;180000;2;1;900000;2; ;2; ;2; ;2; ;1;12; ; ; ; ; ; ; ; ; ; ; ;12;48; ;.;60; ; ;9;7; ;1; ;1;1;1;4;1;1; ; ; ; ; ; ; ; ;1;1;1;0;8;4; ;2; ; ; ; ; ; ; ;1;10;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;97;01;1;1;0123; ; ;737717;05;76;1570,42532071922
4324332;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;750000;1;98;3; ;12;56; ;.;56; ; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;48;48;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;2;1;1;2;2;1;1;2;2; ;2;1;2;2;2;2;2;1;8; ;41;52;1;4;5211; ; ;750000;05;76;1105,52824280893
4324332;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;42; ;.;42; ; ;2;1; ;1; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;DE LA PENSION POR SUSTITUCION QUE RECIBE;45;52;1;6;5211; ; ; ;05;76;1105,52824280893
4324333;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;192; ;1; ;2;1200000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;1;2; ; ;2; ; ;2; ; ;2; ; ;1;1100000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;40;2; ;7;7; ;1; ;1;1;1;16;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;39;24;1;1;2422; ; ;1200000;05;76;1962,93141194157
4324333;1;3;1;60;2;76;1;2;1; ;1; ; ;2;1;2;1;1; ;7;LE OFRECIERON EL TRABAJO;2;750000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;2;1;25500;2;2; ; ;2; ; ;2; ; ;1;98;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;11;45; ;.;36;2; ;6;7; ;1; ;1;1;1;98;1; ; ; ; ; ; ; ; ;1;1;1;1;1;2;1; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;1;2;1;1;2;2;1;4; ;87;28;1;1;2811; ; ;750000;05;76;1962,93141194157
4324334;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;10; ;3; ;2;1200000;1;100000;1;2; ;2; ;2; ;2; ;2; ; ;1;83140;1;2; ; ;2; ; ;2; ; ;1;140000;2;1;1000000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;10;56; ;.;56; ; ;9;7; ;1; ;1;2;1;0;1;1; ; ; ; ; ; ; ; ;1;1;1;2;0;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;77;01;1;1;0123; ; ;1200000;05;76;2187,10200715479
4324335;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;22; ;2; ;2;1000000;1;98;1;2; ;2; ;2; ;2; ;2; ; ;1;98;1;2; ; ;2; ; ;2; ; ;1;80000;1;1;900000;1;350000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;40;2; ;9;7; ;1; ;1;2;1;4;1; ; ; ; ; ; ; ; ;1;1;1;1;0;30;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;97;01;1;1;0123; ; ;1000000;05;76;1905,58145345931
4324335;1;5;1;60;2;76;1;2;1; ;1; ; ;1;1;1;1;54; ;5; ;2;1714883;2; ; ;2; ;2; ;2; ;2; ;1;50618;1;2; ; ;1;27917;1;2; ; ;1;270598;1;2; ; ;1;98;1;98;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;56; ;.;16;1; ;9;4; ;1; ;1;3;1;6;1; ; ; ; ; ; ; ; ;1;1;9;1;12;23;2; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;58;75;1;2;7524; ; ;1714883;05;76;1905,58145345931
4324336;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;192; ;7;LE OFRECIERON EL TRABAJO;2;400000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;2;1;26000;2;2; ; ;2; ; ;2; ; ;1;750000;2; ;2; ;1;200000;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;20;2; ;16;2; ;5;5; ;1; ;1;1;1;20;1;1; ; ; ; ; ; ; ; ;1;1;1;0;180;1; ;1;76;20;1; ;483140;3;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;37;01;1;1;0114; ; ;883140;05;76;1762,39974265614
4324336;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;180; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;3; ;1;98;3; ;12;4;2; ;4; ; ;1;5; ;1; ;3; ; ; ; ;.; ; ; ; ; ; ; ; ;2;2;1;0;84;3; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;10;DE LA PENSION DE LA RECIBE;45;52;1;4;5261; ; ; ;05;76;1762,39974265614
4324337;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;800000;1;9600000;3; ;12;45; ;.;45; ; ;2;4; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;72;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;9; ;45;52;1;4;5269; ; ;800000;05;76;2146,80669656738
4324337;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;100000;1;98;3; ;12;14;2; ;14; ; ;3;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;24;24;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;41;52;1;4;5225; ; ;100000;05;76;2146,80669656738
4324337;1;3;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;6;2; ;6; ; ;3;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;45;52;1;6;5225; ; ; ;05;76;2146,80669656738
4324337;1;4;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;4;2; ;4; ; ;2;5; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;6; ;1;76;3;6; ; ;2;1;1;24;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;33;52;1;6;5237; ; ; ;05;76;2146,80669656738
4324337;1;5;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ;3;800000;1;7200000;3; ;12;18;1; ;18; ; ;1;5; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;60;4; ;2; ; ; ; ; ; ; ;1;36;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;5; ;33;65;1;4;6599; ; ;800000;05;76;2146,80669656738
4324337;1;7;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12;3;2; ;3; ; ;3;1; ;2; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;45;52;1;6;5225; ; ; ;05;76;2146,80669656738
