DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4324323;1;1;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;76;1671,40884074076
4324323;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ;1;05;76;1671,40884074076
4324323;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;76;1671,40884074076
4324325;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;76;1418,26771052109
4324325;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;1418,26771052109
4324325;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;1418,26771052109
4324326;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;2457,11696169956
4324326;2;3;2;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;2457,11696169956
4324328;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;76;1952,40307205048
4324328;1;3;1;80;2;1;3;3; ;1; ;1;9; ;2; ;2; ;1;05;76;1952,40307205048
4324330;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;1976,06955995301
4324331;1;2;1;80;2;2; ; ; ; ;1;3;2; ;2; ;2; ;1;05;76;1570,42532071922
4324331;1;3;1;80;2;1;2;2; ;2; ; ;2; ;2; ;2; ;1;05;76;1570,42532071922
4324333;1;2;1;80;2;1;2;7; ;2; ; ;11; ;2; ;2; ;1;05;76;1962,93141194157
4324334;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;05;76;2187,10200715479
4324335;1;4;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;05;76;1905,58145345931
4324336;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;76;1762,39974265614
4324337;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;2146,80669656738
4324338;1;6;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;76;1396,61285190455
4324339;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;05;76;1502,44760392251
4324341;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;1559,92454280287
4324341;1;3;1;80;2;1;1;2; ;1; ;1;2; ;2; ;2; ;1;05;76;1559,92454280287
4324342;1;1;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;05;76;1371,90528071976
4325089;1;4;1;80;2;1;4;7; ;2; ; ;4; ;2; ;2; ;1;05;76;4467,41794961789
4325092;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;05;76;3844,32369726705
4325093;1;2;1;80;2;1;1;7; ;1; ;1;3; ;2; ;2; ;1;05;76;4216,92577248943
4325093;1;3;1;80;2;1;1;8; ;2; ; ;8; ;2; ;2; ;1;05;76;4216,92577248943
4325095;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;76;3326,85302588202
4325096;1;1;1;80;2;1;1;7; ;2; ; ;9; ;2; ;2; ;1;05;76;4584,12108754509
4325096;1;3;1;80;2;1;1;7; ;1; ;1;2; ;2; ;2; ;1;05;76;4584,12108754509
4325096;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;76;4584,12108754509
4329298;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;76;1105,52824280893
4329298;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;1;50000;1;05;76;1105,52824280893
4329334;1;3;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;05;19;1439,98247058003
4329335;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1009,05198119417
4329337;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;1837,38054889215
4329337;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1837,38054889215
4329338;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;19;1055,11748048763
4329341;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;1113,47480143954
4329343;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1624,67105235315
4329343;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1624,67105235315
4329343;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1624,67105235315
4329343;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1624,67105235315
4329344;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;1978,9076851618
4329344;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;1978,9076851618
4329345;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;2234,54985222656
4329345;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;2234,54985222656
4329348;2;1;2;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;05;19;1327,90255543635
4329348;2;3;2;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;1327,90255543635
4329348;2;4;2;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;19;1327,90255543635
4329348;4;2;4;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;19;1327,90255543635
