DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2573999;1;1;1;70;1;2;48;4; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;89;98;60;1;1;6031;12;52;52;215,408908286368
2574001;1;2;1;70;1;21;30;1; ;2;204;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5261;12;52;52;175,113154064681
2574030;1;2;1;70;1;20;50;1; ;2;104;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5234;12;73;73;292,025082338178
2574034;1;2;1;70;1;6;48;1; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;95;1;1;9500;12;73;73;209,56392417322
2574037;1;2;1;70;1;52;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;12;73;73;213,784940962391
2574037;1;3;1;70;1;52;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;93; ; ;1;2; ;12;73;73;213,784940962391
2574045;1;3;1;70;1;8;60;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;63;1;1;6331;12;73;73;299,296023014137
2574047;1;2;1;70;1;3;12;4; ;2;36;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;12;73;73;202,620654382373
2574053;1;2;1;70;1;156;48;1; ;2;156;1; ;4;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;45;45;85;1;2;8520;12;73;73;179,574476818472
2574053;1;3;1;70;1;258;50;1; ;2;258;1; ;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;32;32;74;1;2;7411;12;73;73;179,574476818472
2574062;1;1;1;70;1;24;48;4; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;93;93;45;1;2;4552;12;73;73;263,743820724798
2574063;1;2;1;70;1;4;4;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;57;57;93;1;1;9302;12;73;73;262,188281595936
2574069;1;7;1;70;1;54;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;12;73;73;158,843697790144
2574071;1;1;1;70;1;24;48;4; ;2;24;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;2;4521;12;73;73;230,470356927955
2574074;1;4;1;70;1;8;60;1; ;2;48;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;1;1530;12;73;73;241,86517831231
2574078;1;2;1;70;1;104;60;3; ;2;104;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;2;5521;12;73;73;307,962747882638
2574078;1;3;1;70;1;2;48;1; ;2;2;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;515000;2;33;33;72;1;1;7220;12;73;73;307,962747882638
2574080;1;5;1;70;1;1;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5522;12;73;73;185,75639998865
2574086;1;2;1;70;1;30;48;1; ;2;30;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;26;1;2;2693;12;73;73;181,561575015132
2574089;1;2;1;70;1;48;48;1; ;2;48;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;12;73;73;183,801393851432
2574098;1;2;1;70;1;1;56;1; ;2;23;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;1;6421;12;27;27;152,964634748279
2574100;1;2;1;70;1;2;28;4; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;77;77;15;1;1;1551;12;27;27;25,9262092793692
2574104;1;3;1;70;1;24;40;4; ;2;24;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;63;1;2;6310;12;27;27;152,964634748279
2574105;1;4;1;70;1;2;44;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;27;27;25,9262092793692
2574107;1;4;1;70;1;6;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;85; ; ;1;1; ;12;50;50;203,870598297187
2574127;1;3;1;70;1;2;20;1; ;2;30;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;75;1;1;7512;12;50;50;176,36505883109
2574127;1;4;1;70;1;2;20;1; ;2;30;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;75;1;1;7512;12;50;50;176,36505883109
2574134;1;2;1;70;1;24;48;1; ;2;24;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;52;1;2;5211;12;50;50;152,585617071432
2574134;1;3;1;70;1;20;48;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8512;12;50;50;152,585617071432
2574151;1;1;1;70;1;24;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;12;50;50;134,546018228176
2574151;2;1;2;70;1;3;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;53;53;55;1;1;5521;12;50;50;134,546018228176
2574163;1;2;1;70;1;35;48;1; ;2;35;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;57;93;1;2;9302;12;63;63;135,849893111386
2574164;1;3;1;70;1;4;48;1; ;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;515000;2;45;55;74;1;1;7493;12;63;63;118,920524724638
2574169;1;1;1;70;1;12;48;4; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;12;63;63;127,716924840106
2574169;1;2;1;70;1;3;50;1; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;12;63;63;127,716924840106
2574171;1;1;1;70;1;36;48;1; ;2;36;1; ;3;9;LA  PENSION; ; ; ; ; ; ; ;1; ;YA  ES  PENSIONADOO;2; ;2;58;45;50;1;2;5030;12;63;63;146,508937385617
2574175;1;2;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;12;63;63;91,80835802308
2574186;1;2;1;70;1;2;48;4; ;2;1;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;93;45;1;1;4552;12;63;63;186,599900931498
2574196;1;3;1;70;1;3;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;84; ; ;1;1; ;12;63;63;132,161091904389
2574197;1;2;1;70;1;28;40;1; ;2;28;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5231;12;63;63;64,2025979945323
2574202;1;1;1;70;1;24;48;1; ;2;96;1; ;9;9;PENSION; ; ; ; ; ; ; ; ;1; ;2; ;2;13;03;41;1;2;4100;12;63;63;158,727455253518
2574212;1;1;1;70;1;38;40;4; ;2;65;4; ;1;9;PENSION; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6021;12;63;63;136,889291985672
2574213;1;3;1;70;1;12;40;1; ;2;24;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;12;63;63;123,418340739818
2574215;1;1;1;70;1;8;24;4; ;2;20;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;55;95;1;1;9500;12;63;63;135,70431014739
2574216;1;2;1;70;1;1;40;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;1600000;2;95;93;45;1;1;4552;12;63;63;227,62772051009
2574216;1;3;1;70;1;8;40;1; ;2;8;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;95;1;1;9500;12;63;63;227,62772051009
2574217;1;2;1;70;1;8;40;4; ;2;6;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;54;85;1;1;8532;12;63;63;146,143187006965
2574219;1;4;1;70;1;1;40;4; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;41;93;52;1;1;5272;12;63;63;148,064393235762
2574228;1;8;1;70;1;65;40;4; ;2;165;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;2;7492;12;63;63;134,394210075015
2574229;1;8;1;70;1;2;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;12;63;63;209,864498010388
2574232;1;7;1;70;1;4;40;3; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;55;55;95;1;1;9500;12;63;63;225,118205432034
2574234;1;2;1;70;1;48;24;3; ;2;48;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;95;1;2;9500;12;63;63;135,849893111386
2574234;1;4;1;70;1;12;48;1; ;2;105;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;12;63;63;135,849893111386
2574239;1;2;1;70;1;105;44;1; ;2;105;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;80;1;2;8045;12;63;63;129,630102782302
2574246;1;2;1;70;1;2;30;1; ;2;2;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;950000;2;13;13;80;1;1;8045;12;63;63;111,342290668448
2574257;1;2;1;70;1;2;48;1; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;85;13;80;1;1;8060;12;63;63;83,3242620264722
2574260;1;4;1;70;1;8;48;1; ;2;8;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;75;17;1;1;1730;12;63;63;168,631133670464
2574271;1;1;1;70;1;8;48;1; ;2;8;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;41;52;1;1;5221;12;50;50;156,23189482681
2574287;1;4;1;70;1;20;40;1; ;2;24;1; ;2;9;SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;52;1;2;5272;12;50;50;248,101587589961
2574287;1;5;1;70;1;24;48;1; ;2;52;4; ;1;9;SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;12;50;50;248,101587589961
2574290;1;6;1;70;1;4;40;2; ;2;24;1; ;2;9;SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;55;38;64;1;1;6421;12;50;50;180,411727091441
2574291;1;1;1;70;1;104;40;4; ;2;4;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;36;1;2;3612;12;50;50;225,827880560454
2574292;1;2;1;70;1;2;40;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;12;50;50;179,772773008694
2574300;1;3;1;70;1;102;48;1; ;2;60;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;75;1;2;7512;12;50;50;232,64442203849
2574302;1;3;1;70;1;2;40;1; ;2;2;4; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;18;18;80;1;1;8043;12;50;50;202,874832809443
2574305;1;3;1;70;1;36;48;1; ;2;5;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5530;12;50;50;260,192871499466
2574310;1;3;1;70;1;12;48;1; ;2;12;4; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;1;4530;12;50;50;202,874832809443
2574311;1;3;1;70;1;24;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;95;45;1;2;4521;12;50;50;143,144845429561
2574319;1;1;1;70;1;32;60;1; ;2;32;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;2;0115;12;50;50;199,467118631839
2574320;1;1;1;70;1;126;48;1; ;2;124;1; ;3;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;95;37;64;1;2;6412;12;50;50;203,870598297187
2574326;1;3;1;70;1;20;48;1; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;93;45;1;2;4552;12;05;05;1034,24496251098
2574334;1;1;1;70;1;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;79;79;52;1;1;5272;12;05;05;1354,27509395866
2574337;1;2;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;12;05;05;946,801499193953
2574337;1;6;1;70;1;24;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6021;12;05;05;946,801499193953
2574360;1;5;1;70;1;12;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;70;1;1;7020;12;05;05;1290,15312466665
2574371;1;1;1;70;1;24;48;1; ;2;2;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;97;37;64;1;2;6412;12;05;05;1161,87942534673
2574375;1;2;1;70;1;8;48;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;12;66;66;965,997388563534
2574376;1;1;1;70;1;2;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;95;95;45;1;1;4521;12;66;66;774,367088492857
2574377;1;1;1;70;1;2;60;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;12;66;66;808,630903995611
2574384;1;3;1;70;1;48;48;1; ;2;52;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6021;12;66;66;116,485295086619
2574387;1;3;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;66;66;100,854296409962
