DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
4830055;1;1;1;90;2; ;2; ;2; ;2; ;1;28;2; ;2; ;2; ;2; ;2; ;05;02;05;1114,22776000419
4830055;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1114,22776000419
4830055;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1114,22776000419
4830056;1;1;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1171,63087914728
4830056;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1171,63087914728
4830056;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1171,63087914728
4830056;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1171,63087914728
4830057;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;953,940578077614
4830057;1;2;1;90;2; ;1;28;2; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;05;02;05;953,940578077614
4830057;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;953,940578077614
4830058;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1009,82273179832
4830059;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1057,77432197049
4830059;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1057,77432197049
4830059;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1057,77432197049
4830059;1;4;1;90;2; ;1;7;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;05;02;05;1057,77432197049
4830059;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;02;05;1057,77432197049
4830059;1;6;1;90;2; ;1;36;2; ;2; ;1;18;2; ;2; ;2; ;2; ;2; ;05;02;05;1057,77432197049
