Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3251173;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;737,216535823473
3251177;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;933,069094487492
3251178;1;1;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;07;73;595,81825549155
3251180;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;919,911674139642
3251181;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;07;73;628,295393324207
3251185;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;73;937,857155558987
3251186;1;1;1;80;2;1;2;8; ;2; ;2; ; ; ; ;9;2;1;07;73;1557,38676448577
3251186;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1557,38676448577
3251187;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;960,542872239238
3251188;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;669,689753293475
3251189;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;614,534494528158
3251191;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;708,290479944979
3251191;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;708,290479944979
3251191;1;4;1;80;2;1;4;4; ;3; ;2; ; ; ; ;10;2;1;07;73;708,290479944979
3251192;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;73;649,489270944366
3251192;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;649,489270944366
3251192;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;649,489270944366
3251198;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;73;932,752247138044
3251198;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;07;73;932,752247138044
3251199;1;2;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;07;73;823,583840443609
3251199;1;3;1;80;2;1;1;8; ; ; ;2; ; ; ; ;2;2;1;07;73;823,583840443609
3251208;1;1;1;80;2;1;2;2; ;2; ;2; ; ; ; ;2;2;1;07;73;1189,41375153727
3251211;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;4;2;1;07;73;718,500296786865
3251212;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;742,321444244416
3251214;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;737,216535823473
3251220;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;554,081763045979
3251222;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;73;897,797470721836
3251223;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;1102,25799992061
3251223;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1102,25799992061
3251224;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;737,216535823473
3251225;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;9;2;1;07;73;1082,50383209172
3251225;1;2;1;80;2;1;1;4; ;3; ;2; ; ; ; ;4;2;1;07;73;1082,50383209172
3251225;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1082,50383209172
3251225;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1082,50383209172
3251226;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;9;2;1;07;73;756,399190389913
3251231;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;07;73;969,273760842173
3251231;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;969,273760842173
3251237;1;4;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;73;571,530692504168
3251238;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;1224,5677723083
3251238;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1224,5677723083
3251239;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;1310,23928061246
3251239;1;3;1;80;2;2; ; ; ;2; ;2; ;1;1; ;2; ;1;07;73;1310,23928061246
3251239;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1310,23928061246
3251241;1;2;1;80;2;1;3;8; ;2; ;2; ; ; ; ;9;2;1;07;73;1206,42304653413
3251241;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1206,42304653413
3251244;1;2;1;80;2;1;4;9;LOS HIJOS NO LA DEJARON TRABAJAR MAS;2; ;2; ; ; ;LOS HIJOS NO LA DEJAN;12;2;1;07;73;860,215424468237
3251246;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;4;2;1;07;73;1125,83719825654
3251246;1;6;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;73;1125,83719825654
3251247;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1061,62680182101
3251250;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;07;73;1291,52304157585
3251250;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1291,52304157585
3251253;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;772,370556594499
3251256;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;73;1099,31388273377
3251257;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;07;73;897,797470721836
3251265;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;73;694,679149329313
3251266;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1329,65131596504
3251272;1;2;1;80;2;1;2;7; ;2; ;2; ; ; ; ;9;2;1;07;73;920,029277134272
3251272;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;920,029277134272
3251273;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;1066,73171024196
