Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
2934621;1;3;2;1;1;1;1;1;3;3; ; ; ; ;180000;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;2;1;1;1;1;1;2;2;1;01;2;04;73;1698,89537702657
2934622;1;3;2;1;1;1;1;1;3;1; ; ;30000000;80000; ;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;1;1;1;1;2;2;1;01;2;04;73;2418,71146261888
2934635;1;3;2;2;1;4;1;1;4;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;2; ;1;01;2;04;73;1545,95510695326
2934636;1;2;2;2;1;4;1;1;4;1; ; ;15000000;300000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;2;1;2; ;2;01;2;04;73;1560,16287531791
2934637;1;4;3;2;1;4;1;1;4;1; ; ;20000000;500000; ;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;1;1;3;2;2; ;4;1;1;1;5;1;2;2;2;1;2; ;1;01;2;04;73;1900,27707514731
2934638;1;4;2;2;1;4;1;1;4;1; ; ;50000000;200000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;2;01;2;04;73;1409,09912692625
2934639;1;2;2;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;1;2;2;1;5;2;2; ;6;1;1;1;2;1;2;2;2;1;2; ;2;01;2;04;73;1050,81036797824
2934640;1;3;2;6; ;4;1;3;4;4; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;2;01;2;04;73;1532,41519817638
2934641;1;1;1;6; ;5;6;6; ;4; ; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;6;6;1;2;2;2;2;2; ; ; ;01;2;04;73;1106,40566844041
2934643;1;2;2;2;1;4;1;1;4;4; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2; ;2;2; ;3;1;1;1;2;1;2;2;2;1;2; ;2;01;2;04;73;1951,21199712737
2934644;1;2;2;2;2;4;1;1;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;6;1;1;1;2;1;2;2;2;1;1; ;1;01;2;04;73;2035,28917247473
2934645;1;4;2;2;1;5;1;1;5;4; ; ; ;50000; ;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;4;2;1;2;2;2;1;2; ;1;01;2;04;73;1904,97806364493
2934646;1;2;2;2;1;4;1;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;04;73;1167,45440349859
2934668;1;3;3;2;1;4;1;5;5;1; ; ;20000000;150000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;11;1;1;1;2;1;2;2;2;1;1; ;2;01;2;04;73;848,610602591024
2934669;1;2;2;2;1;4;4;1;4;3; ; ; ; ;90000;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;04;73;1917,51166016506
2934670;1;2;1;2;1;4;1;1;4;3; ; ; ; ;100000;2;2;1;1;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;1;2; ;1;01;2;04;73;1698,89537702657
2934681;1;3;2;1;1;1;1;1;3;1; ; ;45000000;300000; ;2;2;1;1;1;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;2;04;73;848,610602591024
2934682;1;1;1;1;2;1;1;1;4;4; ; ; ;50000; ;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2; ;2;2; ;3;1;4;1;2;1;2;1;1;1;2;2;1;01;2;04;73;1707,9955055132
2934684;1;2;2;1;2;1;1;6; ;1; ; ;25000000;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;4;1;2;1;2;1;1;1;1;3;2;01;2;04;73;1409,09912692625
2934685;1;1;1;1;2;1;1;5;5;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;3;1;4;1;2;1;2;1;1;1;0;3;2;01;2;04;73;2353,28183592642
