Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Fex_c_2011;Mes;Dpto
2924969;1;1;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ;17;147,710110513385;04;17
2924969;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;147,710110513385;04;17
2924970;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;9; ; ; ; ; ; ; ; ;17;176,056103364274;04;17
2924970;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;17;176,056103364274;04;17
2924971;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;176,670451371364;04;17
2924972;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;155,746718632984;04;17
2924973;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;177,048566750306;04;17
2924973;1;2;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ;17;177,048566750306;04;17
2924974;1;1;1;90; ;2;2;2;2;1;2;2;2;2;2; ; ; ; ;20; ; ; ; ; ;17;137,036722893819;04;17
2924974;1;2;1;90; ;2;1;2;2;2;2;2;2;2;1; ;28; ; ; ; ; ; ; ;3;17;137,036722893819;04;17
2924974;1;3;1;90; ;2;1;2;2;2;2;2;2;2;1; ;7; ; ; ; ; ; ; ;6;17;137,036722893819;04;17
2924975;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;145,895489070386;04;17
2924975;1;2;1;90; ;2;1;2;2;2;2;2;2;2;1; ;7; ; ; ; ; ; ; ;4;17;145,895489070386;04;17
2924976;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;160,950454276805;04;17
2924977;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;147,710110513385;04;17
2924977;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;147,710110513385;04;17
2924979;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;172,64421935781;04;17
2924979;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;28; ; ; ; ; ; ;17;172,64421935781;04;17
2924979;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;35; ; ; ; ; ; ;17;172,64421935781;04;17
2924979;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;172,64421935781;04;17
2924980;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;159,244512273573;04;17
2924980;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;159,244512273573;04;17
2924981;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;171,20079939562;04;17
2924981;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;171,20079939562;04;17
2924982;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;164,714164249318;04;17
2924983;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;28; ; ; ; ; ; ;17;183,693540209794;04;17
2924983;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;35; ; ; ; ; ; ;17;183,693540209794;04;17
2924983;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;183,693540209794;04;17
2924984;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;28; ; ; ; ; ; ;17;198,400073741046;04;17
2924984;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;35; ; ; ; ; ; ;17;198,400073741046;04;17
2924985;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;28; ; ; ; ; ; ;17;198,558412054231;04;17
2924985;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;21; ; ; ; ; ; ;17;198,558412054231;04;17
2924986;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;145,895489070386;04;17
2924986;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;6; ; ;28; ; ; ; ; ;17;145,895489070386;04;17
2924987;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;17;157,538570270342;04;17
2924987;1;2;1;90; ;2;1;1;2;2;2;2;2;2;2; ;4;9; ; ; ; ; ; ; ;17;157,538570270342;04;17
2924987;1;3;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ;17;157,538570270342;04;17
2924988;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;17;144,807414681495;04;17
2924988;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;17;144,807414681495;04;17
2924988;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;144,807414681495;04;17
2924989;1;1;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ;17;157,561340075983;04;17
2924991;1;1;1;90; ;2;1;2;2;2;2;2;1;2;2; ;35; ; ; ; ; ;14; ; ;17;164,584428914413;04;17
2924991;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;164,584428914413;04;17
2924991;1;4;1;90; ;2;1;2;2;2;2;2;1;2;2; ;28; ; ; ; ; ;28; ; ;17;164,584428914413;04;17
2924992;1;1;1;90; ;2;1;2;2;2;2;2;1;2;2; ;28; ; ; ; ; ;8; ; ;17;175,342624747074;04;17
2924992;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;48; ;42; ; ; ; ; ; ;17;175,342624747074;04;17
2924992;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;21; ; ; ; ; ; ;17;175,342624747074;04;17
2924993;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;152,091688100239;04;17
2924993;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;17;152,091688100239;04;17
2924994;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;145,895489070386;04;17
2924994;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;145,895489070386;04;17
2924995;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;254,950753995918;04;73
2924995;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;24; ; ; ; ; ; ;73;254,950753995918;04;73
2924997;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;259,446059833722;04;73
2924997;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;12; ; ;5; ; ; ; ; ;73;259,446059833722;04;73
2924997;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;73;259,446059833722;04;73
2924998;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;40; ; ; ; ; ; ;73;289,236599701318;04;73
2924998;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;289,236599701318;04;73
2925000;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;73;151,744238948039;04;73
2925001;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;282,378738716006;04;73
2925002;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;25; ; ; ; ; ; ;73;229,779091218146;04;73
2925002;1;2;1;90; ;2;1;2;1;2;2;1;2;2;2; ;20; ;30; ; ;8; ; ; ;73;229,779091218146;04;73
2925003;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;73;293,731905539122;04;73
2925003;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;38; ; ; ; ; ; ; ; ;73;293,731905539122;04;73
2925003;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;73;293,731905539122;04;73
2925004;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;302,773322385797;04;73
