Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
2925091;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;11;2;1;04;66;243,413877012136
2925091;1;5;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;66;243,413877012136
2925092;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;11;2;1;04;66;210,030527933753
2925092;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;66;210,030527933753
2925094;1;1;1;80;66;1;4;1; ;3; ;2; ; ; ; ;8;2;1;04;66;226,666589381797
2925094;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;9;2;1;04;66;226,666589381797
2925095;1;1;1;80;66;1;4;7; ;2; ;2; ; ;4; ;5;1;1;04;66;229,458823670906
2925096;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;4;2;1;04;66;183,775091185395
2925096;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;66;183,775091185395
2925096;1;3;1;80;66;1;3;7; ;2; ;2; ; ; ; ;8;2;1;04;66;183,775091185395
2925147;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;8;2;1;04;52;102,087281536895
2925147;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;102,087281536895
2925153;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;52;131,794082664655
2925153;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;131,794082664655
2925154;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;181,852479703007
2925156;1;3;1;80;52;1;1;2; ;2; ;2; ; ; ; ;2;2;1;04;52;178,530952327627
2925156;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;178,530952327627
2925158;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;290,810175423497
2925162;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;159,785018551468
2925163;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;345,816958250329
2925163;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;345,816958250329
2925167;1;1;1;80;52;1;4;5; ;3; ;2; ; ;3; ;8;1;1;04;52;161,232388751084
2925167;1;2;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;04;52;161,232388751084
2925168;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;327,86102835748
2925170;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;172,908479125164
