Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Area;Fex_c_2011
345139;2;2;70;26;48;1; ;1;1;2;4;1; ;3;2;12;TRABAJO TEMPORAL;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;430000;2; ;1;95;95;4522;45;05;05;857,876762464818
345140;2;2;70;20;48;1; ;1;1;2;24;1; ;6;1; ;.;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;79;79;1810;18;05;05;691,863557430718
345141;2;1;70;52;48;1; ;1;1;2;120;1; ;4;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5233;52;05;05;998,376184664086
345145;2;4;70;12;48;1; ;1;1;2;206;1; ;3;1; ;.;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;45;32;7411;74;05;05;668,929495169099
345156;2;6;70;2;24;1; ;1;1;2;24;1; ;4;2;4; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;1;53;45;5233;52;05;05;687,89130255868
345161;2;2;70;26;48;1; ;2;2;2;26;1; ;4;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3740000;1;45;45;5243;52;05;05;934,062228964132
345173;2;5;70;24;48;1; ;2;1;2;24;1; ;4;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;45;45;5233;52;05;05;926,320307057457
345185;2;5;70;4;48;1; ;1;1;2;72;1; ;3;2;5; ;7; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;5233;52;05;05;1020,95484138938
345188;2;3;70;16;48;1; ;1;1;2;16;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;816000;1;19;19;9249;92;05;05;753,642618249301
345189;2;1;70;24;48;1; ;1;1;2;200;1; ;4;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;54;5512;55;05;05;998,376184664086
345190;2;3;70;10;48;1; ;2;2;2;8;1; ;3;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;45;45;5233;52;05;05;799,066626190376
345191;2;4;70;1;48;1; ;2;2;2;1;1; ;2;2;4; ;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;1;3000000;1;45;45;5239;52;05;05;711,468378282419
345194;2;5;70;4;24;1; ;1;1;2;4;1; ;4;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;1;1500000;1;37;45;5233;52;05;05;832,057575375444
345196;2;2;70;20;48;1; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;59; ; ; ;05;05;862,425372934865
345218;2;3;70;156;24;4; ;2;2;2;104;1; ;9;1; ;.;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;34;32;7491;74;05;05;1065,41950469841
345232;2;4;70;1;48;1; ;1;1;2;94;1; ;9;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;16;45;5233;52;05;05;1483,49273270757
345232;2;5;70;1;48;1; ;1;1;2;24;1; ;6;2;2; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;45;86;9249;92;05;05;1483,49273270757
345237;2;3;70;8;48;1; ;1;2;2;96;1; ;7;1; ;.;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;1;02;00;9249;92;05;05;1003,91496443792
