Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Area;Fex_c_2011
345127;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1056,23978313122
345128;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;835,440372650066
345129;2;1;50;2;6;ENFERMA;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;874,783043653897
345129;2;2;50;2;6;LEER;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;874,783043653897
345130;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1056,23978313122
345132;2;1;50;1;6;DESCANSAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;779,597281010408
345132;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;779,597281010408
345132;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;779,597281010408
345132;2;4;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;779,597281010408
345133;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;874,783043653897
345133;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;874,783043653897
345134;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;862,425372934865
345134;2;2;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;862,425372934865
345135;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1067,749551457
345135;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;1067,749551457
345135;3;1;50;1;3; ;2;2;2;2; ; ;1;12; ; ; ; ; ; ;1;05;05;1067,749551457
345136;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1014,46952380824
345136;2;2;50;2;6;DESCANSAR;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1014,46952380824
345136;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1014,46952380824
345136;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1014,46952380824
345136;2;5;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1014,46952380824
345137;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1089,71010099716
345137;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1089,71010099716
345137;2;3;50;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1089,71010099716
345138;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1119,32081347008
345138;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1119,32081347008
345139;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;857,876762464818
345139;2;2;50;2;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;05;05;857,876762464818
345140;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;691,863557430718
345140;2;2;50;2;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;05;05;691,863557430718
345141;2;1;50;1;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;05;05;998,376184664086
345142;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1056,23978313122
345143;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;835,440372650066
345144;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;809,485709888959
345145;2;1;50;3;6;VISITAR A LA ESPOSA QUE SE ENUENTRA HOSPITALIZADA;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;668,929495169099
345145;2;2;50;3;6;ESTA HOSPITALIZADA;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;668,929495169099
345145;2;3;50;3;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;668,929495169099
345145;2;4;50;4;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;05;05;668,929495169099
345145;2;6;50;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;668,929495169099
345145;2;7;50;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;668,929495169099
345145;2;8;50;8;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;668,929495169099
345146;2;1;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1051,79168798459
345146;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1051,79168798459
345146;2;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;1051,79168798459
345147;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1059,08641920438
345147;2;2;50;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1059,08641920438
345148;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;869,72010415466
345149;2;1;50;1;6;PENSIONADO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;848,828380892789
345149;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;05;05;848,828380892789
345150;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;733,769292425438
