Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
350744;2;1;70;16;84;1; ;1;1;2;16;8; ;4;1; ;.;6; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5400000;2;62;60;0121;01;50;2216,88281458086
350744;2;3;70;16;56;1; ;1;1;2;20;8; ;4;1; ;.;6; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3469000;2;62;62;0118;01;50;2216,88281458086
350744;2;4;70;4;105;8; ;2;2;2;48;8; ;4;1; ;.;3; ;1; ;.; ; ; ;1; ; ; ; ; ; ;2; ;2; ;2;62;62;0118;01;50;2216,88281458086
350744;2;5;70;2;105;1; ;2;2;2;2;8; ;4;1; ;.;6; ;1; ;.; ; ; ;1; ; ; ; ; ; ;1;520000;1;6000000;2;97;62;0118;01;50;2216,88281458086
350853;2;2;70;1;35;4; ;1;1;2;12;3; ;1;2;4; ;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;2;51;54;9500;95;50;991,964922531902
350854;2;1;70;4;48;8; ;1;1;2;4;8; ;4;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;430000;1;5160000;2;62;62;0121;01;50;908,162428893588
350856;2;2;70;4;8;3; ;2;2;2;24;3; ;4;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3200000;2;54;54;9500;95;50;865,576739648943
350857;2;1;70;2;48;8; ;1;1;2;3;8; ;3;2;8; ;1; ;2;11;DESCONOCIMIENTO SOBRE ESTE TEMA Y NO SE PREOCUPO POR ESTO; ; ; ; ; ; ; ; ;1; ;1;400000;1;600000;2;62;62;0121;01;50;486,904894916055
364428;2;1;70;102;44;3; ;1;1;2;153;3; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;44;1473,16898004409
364438;2;2;70;8;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;44;1693,5504956999
364456;2;3;70;16;48;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;44;1134,94485372616
364515;2;1;70;16;60;1; ;1;1;2;16;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;2;97;95;4530;45;50;1085,13670754971
364520;2;3;70;12;60;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;50;1532,49794174733
364524;2;1;70;1;72;8; ;2;1;2;16;8; ;1;2;2; ;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;62;60;0121;01;50;923,207402569614
364533;2;3;70;4;48;1; ;1;1;2;24;1; ;1;2;8; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;2;95;95;4521;45;50;898,110524852665
364629;2;1;70;52;48;1; ;1;1;2;52;1; ;2;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;98;98;6031;60;25;2905,05070695434
364642;2;4;70;1;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;25;1633,90211050586
364664;2;1;70;2;48;8; ;1;1;2;2;8; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;96000;2; ;2;62;62;0117;01;50;683,173465526567
