Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7452;P7454;P7456;P7458;P7458s1;P7460;P7470;P7472;P7472s1;Ini;Mes;Dpto;Fex_c_2011;Area
4048843;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;831,644263081089;05
4048844;1;2;1;80;1;1;1;4; ;2; ; ;8; ;2; ;1;40000;1;05;05;1060,70857922866;05
4048845;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;880,213337453449;05
4048845;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;880,213337453449;05
4048848;1;1;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1258,85091582043;05
4048849;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1245,37961817836;05
4048850;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;05;05;893,830680058273;05
4048850;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;893,830680058273;05
4048852;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1095,66031099619;05
4048854;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;887,965855802537;05
4048854;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;887,965855802537;05
4048854;1;3;1;80;1;1;1;4; ;2; ; ;9; ;2; ;1;10000;1;05;05;887,965855802537;05
4048854;1;7;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;887,965855802537;05
4048856;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1032,98453175731;05
4048856;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1032,98453175731;05
4048858;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;824,562623747655;05
4048858;1;3;1;80;1;1;1;6; ;2; ; ;6; ;2; ;2; ;1;05;05;824,562623747655;05
4048858;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;824,562623747655;05
4048859;1;1;1;80;1;1;3;1; ;2; ; ;8; ;2; ;2; ;1;05;05;1001,48114434827;05
4048861;1;3;1;80;1;1;1;6; ;2; ; ;8; ;2; ;2; ;1;05;05;1049,18396182883;05
4048861;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1049,18396182883;05
4048861;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1049,18396182883;05
4048862;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1123,47640405909;05
4048864;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;937,261567072946;05
4048864;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;937,261567072946;05
4048864;1;5;1;80;1;2; ; ; ; ;1;1;8; ;2; ;2; ;1;05;05;937,261567072946;05
4048864;1;6;1;80;1;1;1;2; ;1; ;1;6; ;2; ;2; ;1;05;05;937,261567072946;05
4048865;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1001,48114434827;05
4048866;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1001,48114434827;05
4048867;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1179,951025131;05
4048869;1;2;1;80;1;1;4;9;TRABAJABA EN SU CARRO EN UNA FUNERARIA SE LO ROBARON Y SE RETIRO;2; ; ;8; ;2; ;2; ;1;05;05;1151,20045153044;05
4048870;1;3;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1062,77136393921;05
4048870;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1062,77136393921;05
4048870;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1062,77136393921;05
4048870;1;6;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1062,77136393921;05
4048871;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1151,20045153044;05
4048872;1;3;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1409,11340200916;05
4048872;1;4;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1409,11340200916;05
4048873;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1189,48086841512;05
4048874;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1001,48114434827;05
4048880;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;875,776621341226;05
4048880;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;875,776621341226;05
4048881;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,164819805187;05
4048881;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,164819805187;05
4048882;1;3;1;80;1;1;2;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1267,3806335822;05
4048883;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1085,7949756649;05
4048884;1;2;1;80;1;1;1;8; ;2; ; ;9; ;2; ;2; ;1;05;05;1043,31117522527;05
4048887;1;2;1;80;1;2; ; ; ; ;1;4;9; ;2; ;2; ;1;05;05;1074,96132905794;05
4048888;1;1;1;80;1;2; ; ; ; ;1;2;2; ;2; ;2; ;1;05;05;973,611051914168;05
4048889;1;1;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;1088,43262670001;05
4048890;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1081,40756116692;05
4048891;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;05;05;1181,5472379866;05
4048891;1;2;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1181,5472379866;05
4048891;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1181,5472379866;05
4048894;1;2;1;80;1;1;1;4; ;2; ; ;4; ;2; ;1;800000;1;05;05;1181,44861770995;05
4048895;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1258,85091582043;05
4048896;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;831,790308043841;05
4048896;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;831,790308043841;05
