Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P9460;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s7a1;P7420s8;P7422;P7422s1;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
4058586;1;3;1;70;2;8;48;1; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;54;95;1;1;9500;05;05;4120,55431510738
4058591;1;1;1;70;2;6;48;1; ;2;6;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;55;1;1;5529;05;05;2858,17161095427
4058601;1;2;1;70;2;23;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;05;05;3757,74007966473
4059642;1;2;1;70;2;106;60;1; ;2;104;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;05;63;831,708437643352
4059643;1;3;1;70;2;2;30;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;05;63;1435,8840102174
4062592;1;1;1;70;2;2;20;4; ;2;84;1; ;9;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONADA; ;2; ;13;39;85;1;1;8512;05;63;807,795044928779
4062605;1;3;1;70;2;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;55;55;74;1;1;7493;05;63;703,172433081669
4062608;1;2;1;70;2;12;40;4; ;2;75;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;45;52;1;1;5229;05;63;1489,79562213489
4063040;1;3;1;70;2;12;15;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;30000;62;62;01;1;1;0115;05;73;2376,96803514462
4063055;1;3;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;21; ; ;1;2; ;05;73;685,654155315296
4063070;1;3;1;70;2;12;48;2; ;2;99;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;59;44;64;1;1;6421;05;73;642,971321554816
4063074;1;1;1;70;2;16;25;8; ;2;2;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;2;0123;05;73;1086,98196593941
4063077;1;1;1;70;2;4;14;4; ;2;12;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0123;05;73;1624,06707186792
4063079;1;4;1;70;2;1;40;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;100000;45;45;15;1;1;1551;05;73;642,971321554816
4063084;1;2;1;70;2;8;40;1; ;2;286;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;13;39;64;1;1;6412;05;73;1811,90689763483
