DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011;AREA
4071210;1;2;1;80;1;1;2;8; ;1; ;1;8; ;2; ;2; ;1;06;05;953,06326242654;05
4071211;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1230,17719050253;05
4071211;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;1230,17719050253;05
4071212;1;4;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;06;05;963,727118521171;05
4071213;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ;1;06;05;1317,58321965973;05
4071214;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;06;05;1114,55782117595;05
4071214;1;3;1;80;1;1;2;6; ;2; ; ;2; ;2; ;2; ;1;06;05;1114,55782117595;05
4071216;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;1124,61660638304;05
4071217;1;1;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;1;06;05;1027,01221041361;05
4071219;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;06;05;549,688212333612;05
4071219;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;549,688212333612;05
4071219;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;549,688212333612;05
4071219;1;6;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;549,688212333612;05
4071219;1;7;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ;1;06;05;549,688212333612;05
4071221;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;729,990065575309;05
4071221;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;729,990065575309;05
4071221;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;729,990065575309;05
4071223;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;821,757465552218;05
4071223;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;821,757465552218;05
4071225;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;2; ;1;06;05;1225,03411569012;05
4071225;1;3;1;80;1;2; ; ; ; ;1;1;2; ; ; ;2; ;1;06;05;1225,03411569012;05
4071225;1;5;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;06;05;1225,03411569012;05
4071226;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1290,42072662007;05
4071227;1;3;1;80;1;1;4;8; ;2; ; ;8; ;2; ;2; ;1;06;05;1235,09290089721;05
4071228;1;2;1;80;1;1;4;7; ;2; ; ;9; ;3; ;2; ;1;06;05;1174,80135729349;05
4071228;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;1174,80135729349;05
4071229;1;1;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ;1;06;05;772,703862575748;05
4071229;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;772,703862575748;05
4071229;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;772,703862575748;05
4071232;1;1;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;1;06;05;1250,77932844495;05
4071234;1;1;1;80;1;1;1;8; ;2; ; ;9; ;2; ;1;20000;1;06;05;1174,80135729349;05
4071234;1;3;1;80;1;1;1;8; ;2; ; ;2; ;2; ;2; ;1;06;05;1174,80135729349;05
4071236;1;1;1;80;1;1;4;1; ;1; ;4;8; ;3; ;2; ;1;06;05;1235,09290089721;05
4071236;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;06;05;1235,09290089721;05
4071237;1;2;1;80;1;1;4;3; ;1; ;1;8; ;2; ;2; ;1;06;05;775,545095137425;05
4071237;1;3;1;80;1;2; ; ; ; ;1;2;5; ;2; ;2; ;1;06;05;775,545095137425;05
4071237;1;4;1;80;1;2; ; ; ; ;1;2;8; ;2; ;2; ;1;06;05;775,545095137425;05
4071238;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1008,3910881494;05
4071238;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;1008,3910881494;05
4071242;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1136,43939198984;05
4071242;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1136,43939198984;05
4071243;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;775,545095137425;05
4071246;1;2;1;80;1;1;2;8; ;1; ;1;2; ;2; ;2; ;1;06;05;991,236331675716;05
4071247;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1102,03156472658;05
4071248;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;06;05;1219,5133344079;05
