DIRECTORIO;SECUENCIA_P;ORDEN;CLASE;AREA;MES;PERIODO;DPTO;HOGAR;P3038;P3039;FEX_C18;PER;REGIS
5000000;1;1;1;;1;20220104;8;1;2;1;14.324.633.227;2022;18
5000000;1;2;1;;1;20220104;8;1;1;2;14.324.633.227;2022;18
5000000;1;6;1;;1;20220104;8;1;1;2;14.324.633.227;2022;18
5000001;1;1;1;;1;20220104;8;1;2;1;10.887.962.663;2022;18
5000001;1;2;1;;1;20220104;8;1;1;2;10.887.962.663;2022;18
5000001;1;3;1;;1;20220104;8;1;2;1;10.887.962.663;2022;18
5000002;1;1;1;;1;20220104;8;1;1;2;2.066.712.422;2022;18
5000003;1;1;1;;1;20220104;8;1;2;1;18.343.104.538;2022;18
5000003;1;2;1;;1;20220104;8;1;1;2;18.343.104.538;2022;18
5000004;1;1;1;;1;20220104;8;1;1;2;19.200.804.079;2022;18
5000005;1;1;1;;1;20220104;8;1;2;1;93.105.697.511;2022;18
5000005;1;2;1;;1;20220104;8;1;1;2;93.105.697.511;2022;18
5000005;1;3;1;;1;20220104;8;1;2;1;93.105.697.511;2022;18
5000006;1;1;1;;1;20220104;8;1;2;1;14.144.304.632;2022;18
5000006;1;2;1;;1;20220104;8;1;1;2;14.144.304.632;2022;18
5000006;1;3;1;;1;20220104;8;1;1;2;14.144.304.632;2022;18
5000006;1;4;1;;1;20220104;8;1;2;1;14.144.304.632;2022;18
5000007;1;1;1;;1;20220104;8;1;1;2;19.924.798.841;2022;18
5000008;1;1;1;;1;20220104;8;1;2;1;15.652.171.245;2022;18
5000008;1;2;1;;1;20220104;8;1;1;2;15.652.171.245;2022;18
5000009;1;1;1;;1;20220104;8;1;2;1;16.158.203.028;2022;18
5000009;1;2;1;;1;20220104;8;1;1;2;16.158.203.028;2022;18
5000010;1;1;1;;1;20220104;8;1;1;2;11.605.460.626;2022;18
5000010;1;2;1;;1;20220104;8;1;2;1;11.605.460.626;2022;18
5000010;1;3;1;;1;20220104;8;1;2;1;11.605.460.626;2022;18
5000010;1;4;1;;1;20220104;8;1;1;2;11.605.460.626;2022;18
5000010;1;7;1;;1;20220104;8;1;2;1;11.605.460.626;2022;18
5000010;1;8;1;;1;20220104;8;1;1;2;11.605.460.626;2022;18
5000011;1;1;1;;1;20220104;8;1;1;2;11.756.128.245;2022;18
5000011;1;2;1;;1;20220104;8;1;2;1;11.756.128.245;2022;18
5000011;1;4;1;;1;20220104;8;1;1;2;11.756.128.245;2022;18
5000011;1;5;1;;1;20220104;8;1;1;2;11.756.128.245;2022;18
5000012;1;1;1;;1;20220104;8;1;2;1;17.225.372.692;2022;18
5000012;1;2;1;;1;20220104;8;1;1;2;17.225.372.692;2022;18
5000012;1;3;1;;1;20220104;8;1;1;2;17.225.372.692;2022;18
5000013;1;1;1;;1;20220104;8;1;1;2;17.731.649.471;2022;18
5000014;1;1;1;;1;20220104;8;1;2;1;11.573.282.327;2022;18
5000014;1;2;1;;1;20220104;8;1;1;2;11.573.282.327;2022;18
