DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,fex_c_2011
638639,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,220.144.255.922.087
638639,1,3,80,1,1,6,,2,,2,,,,,11,2,2,1,25,220.144.255.922.087
638639,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,220.144.255.922.087
638644,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,22.797.938.713.896
638644,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,22.797.938.713.896
638644,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,22.797.938.713.896
638646,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,212.309.124.705.214
638649,1,2,80,1,3,2,,2,,2,,,2,,5,1,2,1,25,18.661.985.711.476
638649,1,4,80,1,3,2,,2,,2,,,,,9,2,2,1,25,18.661.985.711.476
638655,1,2,80,1,1,8,EMBARAZO,2,,2,,,,EMBARAZO,12,2,2,1,25,35.734.514.326.043
638666,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,222.891.595.026.181
638668,1,2,80,1,4,2,,2,,2,,,,,1,2,2,1,25,145.084.827.523.685
638668,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,145.084.827.523.685
638668,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,145.084.827.523.685
638675,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,25,136.257.488.170.178
638677,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,254.530.793.883.121
638679,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,136.872.501.237.091
638681,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,184.411.730.986.055
638695,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,25,119.507.791.076.443
638702,1,2,80,1,1,0,,2,,2,,,,ESTA EMBARAZADA,12,2,2,1,25,278.489.912.226.698
638705,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,22.797.938.713.896
638705,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,22.797.938.713.896
638717,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,332.114.092.808.916
638753,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,238.752.836.859.572
638753,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,238.752.836.859.572
638762,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,227.555.353.471.691
638764,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,203.635.511.844.727
645737,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,181.650.530.119.448
645739,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,147.454.971.558.058
645741,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,240.157.570.227.964
645741,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,240.157.570.227.964
645751,1,2,80,2,,,,2,,2,,1,2,,1,,2,1,25,249.759.340.847.808
645751,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,249.759.340.847.808
645752,1,4,80,2,,,,2,,2,,1,1,,2,,2,1,25,314.804.473.394.608
645754,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,189.485.661.336.321
645754,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,189.485.661.336.321
645758,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,31.867.216.562.849
645758,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,31.867.216.562.849
646419,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,195.343.254.767.719
646420,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,370.767.586.522.765
646421,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,687.588.290.267.059
