DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
638644,1,3,70,2,20,1,,2,14,1,,5,8,,,,,,,,,,1,,2,,2,2,1,32,45,1530,15,25,22.797.938.713.896
638668,1,4,70,54,48,1,,2,54,4,,2,1,,,,,,,,,,1,,2,,2,2,1,32,84,5272,52,25,145.084.827.523.685
638713,1,3,70,52,10,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,57,,,,25,222.148.016.226.531
638764,1,2,70,32,48,1,,2,32,1,,5,2,,,,,,,,,,1,,2,,2,2,1,32,32,6426,64,25,203.635.511.844.727
645751,1,3,70,24,48,1,,2,104,1,,4,1,,,,,,,,,,1,,2,,2,2,1,59,95,4521,45,25,249.759.340.847.808
645751,1,4,70,20,48,1,,2,16,1,,4,1,,,,,,,,,,1,,2,,2,2,1,59,59,5519,55,25,249.759.340.847.808
645752,1,2,70,12,36,1,,2,156,1,,4,1,,,,,,,,,,1,,2,,2,2,1,53,55,8046,80,25,314.804.473.394.608
646421,1,6,70,20,84,1,,2,20,1,,4,1,,,,,,,,,,1,,2,,2,2,1,58,58,8011,80,25,687.588.290.267.059
646429,1,2,70,4,40,4,,2,4,4,,1,2,,,,,,,,,,1,,1,200000,2,2,1,56,56,9301,93,25,348.726.326.366.654
646429,1,3,70,4,40,1,,2,4,1,,3,1,,,,,,,,,,1,,1,200000,2,2,1,45,45,5234,52,25,348.726.326.366.654
646450,1,2,70,2,48,8,,2,3,1,,5,2,,,,,,,,,,1,,1,100000,2,2,1,62,62,121,1,25,347.198.836.458.666
646478,1,3,70,24,48,1,,2,24,1,,9,4,,,,,,,,,,1,,2,,2,2,1,60,45,112,1,25,186.157.607.264.699
646479,1,1,70,8,48,8,,2,8,8,,2,3,,,,,,,,,,1,,1,60000,2,2,1,62,62,115,1,25,389.757.564.489.165
646499,1,8,70,44,48,1,,2,44,1,,3,7,,,,,,,,,,1,,2,,2,2,1,5,5,7414,74,25,298.282.758.394.975
649713,1,3,70,12,40,1,,2,12,1,,3,3,,,,,,,,,,1,,2,,2,2,1,95,62,7020,70,50,321.576.907.421.191
649749,1,1,70,48,45,1,,2,48,4,,1,8,,,,,,,,,,1,,2,,2,2,1,62,62,121,1,50,521.062.015.831.415
655010,1,3,70,4,40,1,,2,10,1,,2,8,,,,,,,,,,1,,2,,2,2,1,58,53,5521,55,50,887.414.637.497.429
655645,1,2,70,8,40,3,,2,12,1,,2,1,,,,,,,,,,1,,2,,2,2,1,54,38,6421,64,66,145.756.126.021.306
655650,1,3,70,12,40,1,,2,12,1,,3,6,,,,,,,,,,1,,2,,2,2,1,45,45,5234,52,66,883.842.921.173.392
655655,1,2,70,1,48,3,,2,48,3,,1,1,,,,,,,,,,1,,2,,2,2,1,55,55,9500,95,66,128.806.673.092.467
655655,1,4,70,8,48,3,,2,20,3,,1,1,,,,,,,,,,1,,2,,2,2,1,55,55,9500,95,66,128.806.673.092.467
655655,1,5,70,4,48,3,,2,16,3,,1,1,,,,,,,,,,1,,2,,2,2,1,55,55,9500,95,66,128.806.673.092.467
655663,1,2,70,24,48,1,,2,24,1,,5,4,,,,,,,,,,1,,2,,2,2,1,45,33,5211,52,66,120.240.781.176.537
665140,1,3,70,72,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,3,,,,19,430.601.245.484.626
665253,1,3,70,1,50,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,19,206.225.920.698.385
665264,1,2,70,52,25,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,19,37.749.145.997.186
666752,1,2,70,3,50,8,,2,4,8,,3,6,,,,,,,,,,1,,1,200000,2,2,1,62,62,111,1,73,176.561.353.703.498
666752,1,3,70,2,40,1,,2,2,3,,1,1,,,,,,,,,,1,,1,300000,2,2,1,45,54,9500,95,73,176.561.353.703.498
666752,1,4,70,3,40,1,,2,104,1,,3,1,,,,,,,,,,1,,2,,2,2,1,45,45,5219,52,73,176.561.353.703.498
666756,1,2,70,2,48,8,,2,4,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,73,160.669.799.772.598
666756,1,3,70,6,50,8,,2,8,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,73,160.669.799.772.598
666794,1,1,70,4,48,8,,2,4,8,,3,1,,,,,,,,,,1,,1,300000,2,2,1,62,62,111,1,73,179.162.148.900.342
666795,1,2,70,4,40,8,,2,16,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,73,190.969.125.353.736
666808,1,3,70,4,40,8,,2,16,8,,3,7,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,73,207.422.479.582.303
666814,1,2,70,6,48,8,,2,8,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,73,181.902.864.900.883
666821,1,4,70,20,40,3,,2,52,3,,2,4,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,73,199.732.025.683.167
666830,1,1,70,4,48,8,,2,5,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,73,210.054.252.432.561
666833,1,2,70,4,48,1,,2,50,1,,2,1,,,,,,,,,,1,,2,,2,2,1,45,45,5233,52,73,219.120.512.885.413
666889,1,3,70,6,30,8,,2,8,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,117,1,73,207.422.479.582.303
666920,1,2,70,1,60,8,,2,1,8,,3,1,,,,,1,,,,,,,1,50000,2,2,1,62,62,111,1,73,221.061.234.122.684
666921,1,1,70,1,60,8,,2,1,1,,2,7,,,,,,,,,,1,,1,450000,2,2,1,62,97,6041,60,73,182.792.309.459.878
