DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,AREA,fex_c_2011
636090,1,1,80,1,4,3,,3,,2,,,,,10,2,1,1,5,5,771.196.458.547.473
636092,1,2,80,1,3,2,,2,,2,,,,,9,2,1,1,5,5,730.787.704.198.798
636094,1,1,80,1,4,4,,3,,2,,,,,4,2,1,1,5,5,831.576.289.614.753
636094,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,831.576.289.614.753
636095,1,2,80,1,4,0,,2,,2,,,3,,5,1,1,1,5,5,826.888.476.521.864
636095,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,826.888.476.521.864
636098,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,743.849.355.838.023
636098,1,3,80,2,,,,2,,2,,1,1,,8,,1,1,5,5,743.849.355.838.023
636100,1,1,80,2,,,,3,,1,80000,2,,.,,,1,1,5,5,67.450.784.699.617
636102,1,1,80,2,,,,3,,2,,2,,.,,,1,1,5,5,701.087.689.588.612
636104,1,2,80,2,,,,2,,2,,1,4,,8,,1,1,5,5,763.929.513.027.738
636106,1,1,80,1,1,6,,1,2,1,200000,,,,8,2,1,1,5,5,72.174.844.503.426
636106,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,72.174.844.503.426
636106,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,72.174.844.503.426
636110,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,708.055.350.835.748
636112,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,899.788.964.300.752
636113,1,1,80,2,,,,2,,2,,2,,.,,,1,1,5,5,858.181.138.448.469
636113,1,3,80,1,4,7,,2,,2,,,,,9,2,1,1,5,5,858.181.138.448.469
636115,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,730.553.152.239.135
636116,1,2,80,2,,,,3,,2,,2,,.,,,1,1,5,5,736.740.978.928.912
636117,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,821.337.960.841.186
636118,1,1,80,1,4,4,,3,,2,,,,,10,2,1,1,5,5,755.015.354.671.768
636122,1,2,80,1,1,1,,2,,2,,,,,2,2,1,1,5,5,76.663.674.803.977
636124,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,843.300.422.843.748
636125,1,1,80,1,4,2,,2,,2,,,,RESPONSABILIDADES FAMILIARES,12,2,1,1,5,5,739.780.041.252.613
636125,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,739.780.041.252.613
636128,1,1,80,1,4,3,,3,,2,,,,,4,2,1,1,5,5,762.220.489.403.283
636128,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,762.220.489.403.283
636129,1,1,80,1,4,3,,3,,2,,,4,,4,1,1,1,5,5,811.662.314.276.714
636129,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,811.662.314.276.714
636129,1,5,80,2,,,,2,,2,,2,,.,,,1,1,5,5,811.662.314.276.714
636132,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,742.423.544.510.327
636135,1,1,80,1,2,7,,2,,2,,,,,8,2,1,1,5,5,853.750.519.003.787
636135,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,853.750.519.003.787
636138,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,692.927.717.639.348
636139,1,1,80,1,4,4,,3,,2,,,,,4,2,1,1,5,5,106.645.862.593.026
636139,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,106.645.862.593.026
636143,1,3,80,1,1,7,,2,,1,464000,,,,1,2,1,1,5,5,719.532.615.186.923
636143,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,719.532.615.186.923
636144,1,1,80,1,4,6,,2,,2,,,,,8,2,1,1,5,5,746.844.309.907.857
636144,1,2,80,1,4,3,,3,,2,,,,,8,2,1,1,5,5,746.844.309.907.857
636144,1,3,80,1,4,3,,2,,2,,,4,,4,1,1,1,5,5,746.844.309.907.857
636145,1,1,80,2,,,,2,,2,,2,,.,,,1,1,5,5,701.087.689.588.612
636147,1,5,80,2,,,,2,,2,,2,,.,,,1,1,5,5,89.532.727.031.199
636147,1,6,80,2,,,,2,,2,,2,,.,,,1,1,5,5,89.532.727.031.199
636149,1,1,80,1,4,4,,3,,2,,,,,8,2,1,1,5,5,792.126.996.300.796
636149,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,792.126.996.300.796
636149,1,3,80,1,4,3,,2,,2,,,,,4,2,1,1,5,5,792.126.996.300.796
636149,1,7,80,2,,,,2,,2,,2,,.,,,1,1,5,5,792.126.996.300.796
636151,1,1,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,719.532.615.186.923
636151,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,719.532.615.186.923
636155,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,72.174.844.503.426
636157,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,760.457.312.857.028
636160,1,3,80,1,1,2,,2,,1,3800000,,1,,9,1,1,1,5,5,73.689.303.417.247
636169,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,673.313.358.091.433
636171,1,1,80,1,3,4,,3,,2,,,,,10,2,1,1,5,5,761.020.541.843.172
636172,1,2,80,2,,,,2,,1,120000,2,,.,,,1,1,5,5,736.140.572.205.928
636172,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,736.140.572.205.928
636172,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,736.140.572.205.928
636173,1,2,80,1,3,2,,2,,2,,,,,9,2,1,1,5,5,808.733.351.566.672
636175,1,1,80,1,4,4,,3,,2,,,,,8,2,1,1,5,5,901.284.659.027.025
636175,1,2,80,1,4,6,,2,,2,,,,,1,2,1,1,5,5,901.284.659.027.025
636180,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,812.528.690.176.526
636181,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,843.300.422.843.748
636182,1,1,80,2,,,,2,,2,,2,,.,,,1,1,5,5,763.270.865.372.966
636184,1,6,80,1,4,5,,2,,2,,,,,7,2,1,1,5,5,754.424.193.524.329
636186,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,737.092.339.295.958
636188,1,1,80,2,,,,2,,2,,1,4,,8,,1,1,5,5,699.865.222.709.122
636190,1,1,80,1,4,3,,2,,2,,,,,4,2,1,1,5,5,776.136.835.457.988
636190,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,776.136.835.457.988
636191,1,1,80,2,,,,2,,2,,2,,.,,,1,1,5,5,747.797.799.281.034
636191,1,3,80,2,,,,2,,1,50000,2,,.,,,1,1,5,5,747.797.799.281.034
636191,2,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,747.797.799.281.034
636191,3,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,747.797.799.281.034
636194,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,687.623.996.834.989
636197,1,1,80,1,4,4,,3,,2,,,,,8,2,1,1,5,5,860.274.387.694.674
636197,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,860.274.387.694.674
636198,1,1,80,1,4,4,,3,,2,,,,,8,2,1,1,5,5,762.673.142.704.366
636198,1,2,80,1,4,7,,2,,2,,,3,,1,1,1,1,5,5,762.673.142.704.366
636198,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,762.673.142.704.366
636200,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,730.836.851.401.569
636200,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,730.836.851.401.569
636201,1,3,80,1,1,7,,2,,1,50000,,,,2,2,1,1,5,5,771.761.549.071.674
636202,1,3,80,1,1,7,,2,,1,365000,,,,11,2,1,1,5,5,861.202.822.112.718
636204,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,68.311.190.426.063
636204,1,5,80,2,,,,2,,2,,2,,.,,,1,1,5,5,68.311.190.426.063
636205,1,2,80,1,4,5,,2,,2,,,,,11,2,1,1,5,5,705.140.488.015.256
636206,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,720.408.329.565.306
636207,1,5,80,2,,,,2,,2,,2,,.,,,1,1,5,5,655.494.827.149.428
636214,1,2,80,1,1,2,,2,,2,,,,,9,2,1,1,5,5,10.057.743.191.746
636219,1,1,80,2,,,,2,,2,,2,,.,,,1,1,5,5,780.537.470.046.743
636222,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,674.358.830.863.297
636228,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,841.818.118.814.803
636229,1,2,80,1,1,3,,2,,2,,,,,4,2,1,1,5,5,836.427.701.760.135
636230,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,744.923.704.491.249
636231,1,1,80,1,4,3,,3,,2,,,,,4,2,1,1,5,5,831.972.375.544.906
636233,1,1,80,2,,,,2,,2,,2,,.,,,1,1,5,5,758.606.822.113.733
636236,1,1,80,1,4,3,,3,,2,,,,,8,2,1,1,5,5,746.844.309.907.857
636236,1,2,80,1,4,2,,2,,2,,,,,9,2,1,1,5,5,746.844.309.907.857
636236,1,3,80,1,4,3,,2,,2,,,,,4,2,1,1,5,5,746.844.309.907.857
636237,1,1,80,1,4,3,,2,,2,,,,,8,2,1,1,5,5,701.087.689.588.612
636239,1,2,80,1,1,3,,2,,2,,,,,9,2,1,1,5,5,87.643.115.639.651
636241,1,1,80,1,4,2,,3,,2,,,,,9,2,1,1,5,5,788.697.441.996.007
636242,1,4,80,1,4,7,,3,,2,,,,,9,2,1,1,5,5,737.344.222.489.639
636243,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,841.122.664.923.003
636245,1,3,80,2,,,,3,,2,,2,,.,,,1,1,5,5,725.712.050.369.665
636249,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,544.449.496.414.973
636249,1,9,80,2,,,,2,,2,,2,,.,,,1,1,5,5,544.449.496.414.973
636253,1,2,80,2,,,,2,,2,,2,,.,,,1,1,5,5,595.495.095.791.388
636253,1,3,80,2,,,,2,,2,,2,,.,,,1,1,5,5,595.495.095.791.388
636253,1,5,80,1,2,2,,2,,2,,,,,9,2,1,1,5,5,595.495.095.791.388
636254,1,4,80,2,,,,2,,2,,2,,.,,,1,1,5,5,684.608.432.927.105
636254,1,5,80,2,,,,2,,2,,2,,.,,,1,1,5,5,684.608.432.927.105
636259,1,3,80,1,2,1,,2,,2,,,,,2,2,1,1,5,5,716.444.724.229.902
636259,1,4,80,1,1,1,,2,,2,,,,,2,2,1,1,5,5,716.444.724.229.902
636261,1,1,80,1,4,8,NO QUIZO SEGUIR TRABAJANDO,2,,2,,,,,11,2,1,1,5,5,862.373.399.245.726
636261,1,2,80,1,4,8,NO QUIZO SEGUIR TRABAJANDO,2,,2,,,,,11,2,1,1,5,5,862.373.399.245.726
636262,1,1,80,1,4,4,,3,,2,,,,,10,2,1,1,5,5,894.920.617.309.732
