DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
4953521;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1032,04600319239; 
4953521;1;2;1;90;2; ;1;10;2; ;2; ;1;24;2; ;2; ;2; ;2; ;2; ;1;07;68;1032,04600319239; 
4953521;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1032,04600319239; 
4953521;1;4;1;90;2; ;1;8;2; ;2; ;1;18;2; ;2; ;2; ;2; ;2; ;1;07;68;1032,04600319239; 
4953521;1;5;1;90;2; ;1;10;2; ;2; ;1;18;2; ;2; ;2; ;2; ;2; ;1;07;68;1032,04600319239; 
4953522;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1571,68003783005; 
4953523;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1500,44111782257; 
4953523;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1500,44111782257; 
4953523;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1500,44111782257; 
4953524;1;1;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2356,21771308711; 
4953524;1;2;1;90;2; ;1;20;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2356,21771308711; 
4953525;1;1;1;90;2; ;2; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2750,02788485669; 
4953525;1;2;1;90;2; ;1;28;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2750,02788485669; 
4953525;1;3;1;90;2; ;1;7;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2750,02788485669; 
4953526;1;1;1;90;2; ;1;21;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2661,97381905167; 
4953526;1;2;1;90;2; ;1;4;2; ;1;7;2; ;2; ;2; ;2; ;2; ;1;3;1;07;68;2661,97381905167; 
4953526;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2661,97381905167; 
4953526;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2661,97381905167; 
4953526;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2661,97381905167; 
4953527;1;1;1;90;2; ;2; ;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2489,12762079674; 
4953527;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2489,12762079674; 
4953527;1;5;1;90;2; ;1;21;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2489,12762079674; 
4953527;1;8;1;90;2; ;1;7;2; ;1;48;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2489,12762079674; 
4953528;1;1;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;4;1;07;68;1672,05972300437; 
4953528;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1672,05972300437; 
4953530;1;1;1;90;2; ;2; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2111,55306295079; 
4953530;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2111,55306295079; 
4953530;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2111,55306295079; 
4953531;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;1;07;68;2166,07505627354; 
4953531;1;2;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;1;07;68;2166,07505627354; 
4953533;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1897,23227589485; 
4953533;1;2;1;90;2; ;1;12;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1897,23227589485; 
4953534;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2109,94969823635; 
4953534;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;1;07;68;2109,94969823635; 
4953535;1;1;1;90;2; ;1;35;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2445,87514360657; 
4953537;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2424,65017046661; 
4953537;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2424,65017046661; 
4953537;1;3;1;90;2; ;1;7;2; ;1;60;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2424,65017046661; 
4953537;1;4;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;2424,65017046661; 
4953549;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;07;68;1243,74943313846; 
