DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4958808;1;1;1;10;1;2;2;1975;44;1;2;1;5;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;07;23;665,394199638871
4958808;1;2;1;10;2;1;12;1972;46;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;07;23;665,394199638871
4958808;1;3;1;10;3;2;2;2002;17;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;07;23;665,394199638871
4958808;1;4;1;10;1;2;7;2004;15;3;6;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;07;23;665,394199638871
4958808;1;5;1;10;5;1;1;1955;64;5;4;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;07;23;665,394199638871
4958809;1;1;1;10;1;1;2;1953;66;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;07;23;665,394199638871
4958809;1;2;1;10;2;2;10;1963;55;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;07;23;665,394199638871
4958809;1;3;1;10;3;2;10;1999;19;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;2;6;1;2;2;2;12;07;23;665,394199638871
4958809;1;4;1;10;4;2;8;2003;15;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;07;23;665,394199638871
4958809;1;5;1;10;5;1;12;1987;31;3;2;1;1;1;2;1;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;07;23;665,394199638871
4958809;1;6;1;10;6;2;4;1990;29;5;2;2; ;2; ;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;07;23;665,394199638871
4958809;1;7;1;10;7;2;5;1990;29;3;4;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;07;23;665,394199638871
4958809;1;8;1;10;7;2;11;2012;6;4; ;2; ;1;7; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;07;23;665,394199638871
