DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4953521;1;1;1;80; ;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;68;1032,04600319239
4953521;1;3;1;80; ;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;68;1032,04600319239
4953521;1;5;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;1032,04600319239
4953522;1;1;1;80; ;1;1;4;4; ;1; ;4;4; ;2; ;2; ;1;24;828116;2;1;07;68;1571,68003783005
4953523;1;3;1;80; ;1;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;07;68;1500,44111782257
4953525;1;2;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;2750,02788485669
4953525;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;2750,02788485669
4953526;1;1;1;80; ;1;1;4;8; ;1; ;4;8; ;1; ;2; ; ; ; ;2;1;07;68;2661,97381905167
4953526;1;3;1;80; ;1;1;1;4; ;1; ;1;4; ;2; ;2; ;1;48;828116;2;1;07;68;2661,97381905167
4953526;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;2661,97381905167
4953527;1;8;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;828116;2;1;07;68;2489,12762079674
4953530;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;2111,55306295079
4953535;1;1;1;80; ;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;68;2445,87514360657
4953537;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;2424,65017046661
4953549;1;4;1;80; ;1;1;1;8; ;2; ; ;2; ;2; ;2; ;2; ;828116;2;1;07;68;1243,74943313846
4953550;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;1863,70020341258
4953552;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;2211,93274812511
4953552;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;2211,93274812511
4953553;1;2;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;2345,66998210697
4953557;1;1;1;80; ;1;1;4;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;68;1550,88316069128
4953557;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;1550,88316069128
4953558;1;2;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;1032,04600319239
4953558;1;3;1;80; ;1;1;1;3; ;2; ; ;9; ;2; ;1;80000;1;48;828116;2;1;07;68;1032,04600319239
4953558;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;1032,04600319239
4953559;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;2649,82272335709
4953559;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;2649,82272335709
4953560;1;1;1;80; ;1;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;828116;2;1;07;68;2379,33730112492
4953560;1;2;1;80; ;1;1;1;2; ;2; ; ;1; ;2; ;2; ;2; ;828116;2;1;07;68;2379,33730112492
4953560;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;07;68;2379,33730112492
4953564;1;1;1;80; ;1;1;4;8; ;1; ;4;8; ;1; ;2; ; ; ; ;2;1;07;68;1310,4040021288
4953564;1;2;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;07;68;1310,4040021288
4953565;1;5;1;80; ;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;68;1819,72594106997
