Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3310576;1;4;3;1;1;1;1;1;3;1; ; ;60000000;180000; ;1;1;1;2;1;1;2;2;2;1;2;2;1;2;2;1;1;1;1;1;2;1;4;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;17;10;17;188,055295473917
3310577;1;1;1;1;1;1;1;1;4;3; ; ; ; ;130000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;4;1;2;5;2;1;2;1;1;1;2;2;1;01;17;10;17;202,285747750444
3310578;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;2;1;3;1;1;1;1;1;2;2;1;01;17;10;17;168,609424050447
3310579;1;4;1;1;1;1;1;1;3;1; ; ;30000000;150000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;3;1;1;1;1;1;2;2;1;01;17;10;17;184,074993976875
3310580;1;5;3;1;1;1;1;1;3;1; ; ;300000000;300000; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;1;1;1;1;2;2;1;01;17;10;17;184,618711658389
3310581;1;2;1;1;1;1;1;1;3;1; ; ;20000000;150000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;4;3;1;1;1;1;1;2;2;1;01;17;10;17;212,10528266115
3310582;1;2;1;1;1;1;1;1;3;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;4;1;2;4;2;1;1;1;1;1;1;2;1;01;17;10;17;159,167311324612
3310583;1;1;1;1;1;1;1;6; ;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;4;1;2;1;2;1;1;1;1;2;1;01;17;10;17;184,048635249073
3310584;1;4;1;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;2;1;01;17;10;17;185,305642329958
3310585;1;4;2;1;2;1;1;1;3;3; ; ; ; ;300000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;1;2;1;01;17;10;17;169,269995994214
3310586;1;2;1;1;1;1;1;6; ;3; ; ; ; ;90000;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;4;1;2;1;2;1;1;1;1;2;1;01;17;10;17;183,904457030177
3310587;1;2;2;1;1;1;1;1;4;4; ; ; ;200000; ;2;1;1;2;2;1;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;2;1;2;1;1;1;2;2;1;01;17;10;17;165,833412178686
3310589;1;1;1;1;1;1;1;1;4;3; ; ; ; ;180000;2;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;2;2;1;01;17;10;17;184,074993976875
3310590;1;4;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;2;1;2;2;2; ;3;1;2;1;2;1;1;1;1;1;2;2;1;01;17;10;17;164,665652383688
3310591;1;4;3;1;1;1;1;1;3;1; ; ;35000000;300000; ;1;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2; ;4;1;1;1;3;1;1;1;1;1;2;2;1;01;17;10;17;195,781279887613
3310592;1;5;3;1;1;1;1;1;3;1; ; ;85000000;400000; ;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;2;1;01;17;10;17;162,60389514014
3310593;1;2;2;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;2;2;1;01;17;10;17;196,612388778078
3310594;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;17;10;17;165,922659464573
3310595;1;3;2;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;1;1;2;2;2; ;4;1;1;1;3;1;1;1;1;1;2;2;1;01;17;10;17;157,999551529614
3310596;1;4;3;1;1;1;1;1;3;1; ; ;30000000;130000; ;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;10;1;1;1;4;1;1;1;1;1;2;2;1;01;17;10;17;172,037066561972
