Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3032231;1;2;1;70;52;52;48;1; ;2;52;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;70;1;2;7010;09;52;158,215401575994
3032232;1;1;1;70;52;6;48;4; ;2;6;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;09;52;170,126434364079
3032232;1;2;1;70;52;204;48;1; ;2;52;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;41;52;1;2;5237;09;52;170,126434364079
3032235;1;2;1;70;52;8;40;2; ;2;2;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;45;52;1;1;5211;09;52;142,099955846344
3032238;1;1;1;70;52;34;48;1; ;2;30;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;45;81;36;1;2;3611;09;52;156,770661160856
3032240;1;2;1;70;52;52;40;1; ;2;208;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;40;52;1;2;5234;09;52;212,715363366244
3032350;1;1;1;70;17;52;48;3; ;2;70;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;39;55;1;2;5511;09;17;152,281356073596
3032352;1;1;1;70;17;2;48;1; ;2;2;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;1;575000;2;95;95;45;1;1;4530;09;17;199,692895064446
3032352;1;2;1;70;17;75;48;1; ;2;104;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;80;1;2;8043;09;17;199,692895064446
3032353;1;1;1;70;17;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;566700;2;38;44;65;1;1;6512;09;17;186,385510708626
3032354;1;2;1;70;17;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;09;17;127,103393913562
3032355;1;1;1;70;17;4;18;3; ;2;250;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;09;17;116,50305982887
3032361;1;1;1;70;17;12;48;1; ;2;18;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;40;1;1;4010;09;17;150,407952793254
3032423;1;2;1;70;66;5;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;09;66;311,359906191145
3032436;1;3;1;70;66;12;72;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;09;66;292,926383495728
3032439;1;1;1;70;66;12;40;1; ;2;12;1; ;9;2; ; ;1; ; ; ; ; ; ; ; ;2; ;2;95;95;45;1;1;4530;09;66;195,601592169503
3032478;1;4;1;70;54;1;30;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;53;55;1;1;5530;09;54;404,381398775897
3032483;1;2;1;70;54;4;36;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;41;52;1;1;5233;09;54;189,268952197002
3032484;1;2;1;70;54;32;48;1; ;2;32;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;19;85;1;2;8512;09;54;348,357380750725
3032485;1;2;1;70;54;6;50;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;1;7492;09;54;261,16641530909
3032585;1;2;1;70;68;8;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;38;74;1;1;7499;09;68;447,281182684462
3032600;1;1;1;70;68;4;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;90000;2;45;45;52;1;1;5221;09;68;481,667901596601
3032602;1;3;1;70;68;12;48;1; ;2;12;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;52;1;1;5243;09;68;396,660503817796
3032605;1;2;1;70;68;32;24;1; ;2;200;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;50;1;2;5051;09;68;577,339620352273
3032606;1;2;1;70;68;8;24;1; ;2;8;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8512;09;68;504,533213779825
3032640;1;1;1;70;11;1;48;2; ;2;2;4; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;8100000;2;09;09;85;1;1;8532;09;11;2470,43014563073
3032679;1;3;1;70;73;8;40;1; ;2;8;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;1;1551;09;73;165,984500826661
3032679;1;6;1;70;73;104;40;1; ;2;208;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;2;5125;09;73;165,984500826661
3032686;1;3;1;70;73;30;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;09;73;123,173632463695
3032696;1;4;1;70;73;52;60;1; ;2;104;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;2;6421;09;73;347,822023817391
3032699;1;1;1;70;73;156;48;2; ;2;156;1; ;9;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;13;33;17;1;2;1720;09;73;134,748450702731
3032704;1;2;1;70;76;1;10;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;09;76;669,771543429415
3032705;1;1;1;70;76;4;48;1; ;2;16;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5219;09;76;1403,62203674808
3032707;1;2;1;70;76;3;40;1; ;2;3;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;360000;1;45;45;52;1;1;5211;09;76;954,12478321368
3032712;1;3;1;70;76;12;48;1; ;2;12;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;12;75;1;1;7512;09;76;789,079295172899
3032713;1;3;1;70;76;4;54;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;98;2;58;58;26;1;1;2695;09;76;873,26253731677
3032721;1;3;1;70;76;33;48;1; ;2;48;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;24;1;2;2423;09;76;563,911244786724
3032722;1;2;1;70;76;2;48;5; ;2;2;5; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4522;09;76;955,470718166492
3032730;1;1;1;70;76;52;40;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;93;37;64;1;2;6412;09;76;893,667341099429
3032736;1;4;1;70;52;156;48;1; ;2;12;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;93;45;1;2;4552;09;52;227,435752928931
3032736;1;5;1;70;52;104;48;1; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8519;09;52;227,435752928931
3032737;1;2;1;70;52;20;48;2; ;2;20;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7522;09;52;134,947542872526
3032753;1;3;1;70;52;8;48;1; ;2;8;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;54;95;1;1;9500;09;52;189,652084049624
3032755;1;2;1;70;52;156;24;1; ;2;34;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;45;52;1;2;5234;09;52;137,438036063464
3032757;1;2;1;70;52;156;48;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5261;09;52;177,647638348042
3032757;1;3;1;70;52;104;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;09;52;177,647638348042
3032758;1;2;1;70;52;13;24;3; ;2;64;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5211;09;52;168,526798810268
3032758;1;3;1;70;52;52;48;1; ;2;52;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;74;1;2;7493;09;52;168,526798810268
3032763;1;2;1;70;52;98;24;3; ;2;98;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;09;52;137,243627810975
3032765;1;2;1;70;52;208;40;1; ;2;17;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;02;02;85;1;2;8532;09;52;143,246379866445
3032769;1;2;1;70;52;2;45;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;45;45;52;1;1;5233;09;52;120,172929415466
3032776;1;1;1;70;05;2;48;4; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;54;45;52;1;1;5234;09;05;776,696714057568
3032777;1;1;1;70;05;4;48;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;44;70;1;1;7020;09;05;1040,92704510181
3032782;1;1;1;70;05;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;09;05;978,746459531313
3032782;1;2;1;70;05;12;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;18;1;1;1810;09;05;978,746459531313
3032783;1;1;1;70;05;12;48;1; ;2;12;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6041;09;05;1028,28103720738
3032785;1;2;1;70;05;12;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;09;05;1022,42957117907
3032796;1;2;1;70;05;4;35;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;09;05;718,21395028168
3032800;1;1;1;70;05;4;50;4; ;2;4;4; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;79;79;18;1;1;1810;09;05;1150,36020297482
3032800;1;2;1;70;05;4;40;1; ;2;4;6; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;97;97;18;1;1;1810;09;05;1150,36020297482
3032800;1;3;1;70;05;4;40;6; ;2;4;6; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;79;79;18;1;1;1810;09;05;1150,36020297482
3032802;1;2;1;70;05;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;52;1;1;5211;09;05;773,997828997832
3032806;1;3;1;70;05;8;40;1; ;2;48;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;51;1;1;5125;09;05;880,079488396382
3032809;1;2;1;70;05;152;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;09;05;832,312942820227
3032821;1;2;1;70;05;28;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;79; ; ;1;2; ;09;05;972,696075997116
3032823;1;2;1;70;05;78;48;1; ;2;2;1; ;6;5; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;79;58;45;1;2;4522;09;05;861,582014473645
