Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3418095;1;3;1;70;52;21;40;1; ;2;21;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;58;55;1;2;5521;03;52;127,205782302665
3418096;1;1;1;70;52;6;45;5; ;2;4;4; ;1;5; ; ; ; ; ; ; ;1; ; ; ;2; ;2;41;98;60;1;1;6031;03;52;231,441075097175
3418096;1;2;1;70;52;20;45;1; ;2;16;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;07;07;52;1;2;5231;03;52;231,441075097175
3418138;1;3;1;70;76;16;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;58;70;1;2;7020;03;76;798,644633024323
3418139;1;2;1;70;76;16;40;1; ;2;16;4; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;70;79;18;1;2;1810;03;76;1063,6095439032
3418139;1;3;1;70;76;12;48;1; ;2;12;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;34;22;1;1;2212;03;76;1063,6095439032
3418151;1;3;1;70;76;2;48;1; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;95;1;1;9500;03;76;857,111392664549
3418152;1;3;1;70;76;52;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;03;76;741,510457084791
3418154;1;1;1;70;76;4;48;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;76;887,03344692098
3418156;1;5;1;70;23;8;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;03;23;115,951469168788
3418157;1;3;1;70;23;16;40;1; ;2;18;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;03;23;164,411103280505
3418160;1;3;1;70;23;1;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;03;23;107,850895704844
3418168;1;3;1;70;76;8;48;1; ;2;12;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;1;7492;03;76;663,823507786729
3418168;1;4;1;70;76;52;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;03;76;663,823507786729
3418171;1;2;1;70;23;2;48;1; ;2;3;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;32;91;1;1;9192;03;23;122,993297484079
3418175;1;2;1;70;23;96;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;40; ; ;1;2; ;03;23;95,749989977842
