Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3866258;1;1;1;10;1;1;1;11;1957;57;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;68;746,279816459072
3866258;1;2;1;10;2;2;1;3;1951;64;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;746,279816459072
3866258;1;3;1;10;3;1;1;2;1988;27;3;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;11;68;746,279816459072
3866259;1;1;1;10;1;1;1;4;1977;38;1;3;1; ; ;2;1;64000;2;1;2; ;6;6;3;2;17;11;68;1273,86470555037
3866259;1;2;1;10;2;2;1;12;1958;56;2;3;1; ; ;2;5; ;2;1;2; ;5;11;2;2;11;11;68;1273,86470555037
3866259;1;3;1;10;3;1;1;10;1988;27;3;3;1; ; ;2;1;64000;2;1;2; ;5;11;2;2;11;11;68;1273,86470555037
3866259;1;4;1;10;4;2;1;12;1984;30;5;3;1; ; ;2;1;64000;2;1;2; ;5;11;2;2;11;11;68;1273,86470555037
3866259;1;5;1;10;4;1;1;6;2014;1;4; ;1; ; ;2;5; ;2; ; ; ; ; ; ;2; ;11;68;1273,86470555037
3866259;1;6;1;10;6;2;1;11;2004;10;4;6;2;1;2; ; ; ;2;1;1;1;3;3; ;2;3;11;68;1273,86470555037
3866260;1;1;1;10;1;1;1;7;1981;34;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1804,71392656288
3866260;1;2;1;10;2;2;1;8;1985;30;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1804,71392656288
3866260;1;3;1;10;2;1;1;12;2007;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;11;68;1804,71392656288
3866260;1;4;1;10;2;2;1;2;2010;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;11;68;1804,71392656288
3866261;1;1;1;10;1;1;1;2;1977;38;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;11;68;1981,13832391856
3866261;1;2;1;10;2;2;1;11;1978;36;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;11;68;1981,13832391856
3866261;1;3;1;10;3;2;1;2;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;11;68;1981,13832391856
3866261;1;4;1;10;2;2;1;11;2011;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;68;1981,13832391856
3866262;1;1;1;10;1;1;1;1;1952;63;1;3;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;11;68;746,279816459072
3866262;1;2;1;10;2;2;1;8;1960;55;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;11;68;746,279816459072
3866262;1;3;1;10;3;1;1;8;1977;38;3;6;1; ; ;1;3;80543;2;1;2; ;3;4; ;2;4;11;68;746,279816459072
3866263;1;1;1;10;1;1;1;12;1985;29;1;3;1; ; ;1;3;84000;2;1;2; ;6;2;3;2;13;11;68;1804,71392656288
3866263;1;2;1;10;2;2;1;5;1990;25;2;3;1; ; ;1;5; ;1;1;2; ;6;2;3;2;13;11;68;1804,71392656288
3866263;1;3;1;10;2;2;1;9;2008;7;3; ;1; ; ;1;5; ;2;1;1;1;3;1; ;2;1;11;68;1804,71392656288
3866263;1;4;1;10;2;1;1;5;2011;4;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;11;68;1804,71392656288
3866264;1;1;1;10;1;2;1;7;1975;40;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;11;68;1857,3322517368
3866264;1;2;1;10;2;1;1;1;1992;23;2;2;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;11;68;1857,3322517368
3866264;1;3;1;10;3;1;1;6;1995;20;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;11;68;1857,3322517368
3866264;1;4;1;10;4;2;1;5;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;11;68;1857,3322517368
3866264;1;5;1;10;5;2;1;7;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;11;68;1857,3322517368
3866264;1;6;1;10;6;1;1;11;2004;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;11;68;1857,3322517368
3866265;1;1;1;10;1;1;1;6;1956;59;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1361,61237913699
3866265;1;2;1;10;2;2;1;5;1963;52;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;11;68;1361,61237913699
3866265;1;3;1;10;3;1;1;3;1984;31;3;4;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;11;68;1361,61237913699
3866265;1;4;1;10;4;1;1;5;1988;27;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1361,61237913699
3866265;1;5;1;10;5;2;1;9;1991;24;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;11;68;1361,61237913699
3866265;1;6;1;10;6;1;1;4;1996;19;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;11;68;1361,61237913699
3866265;1;7;1;10;7;2;1;1;1982;33;3;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1361,61237913699
3866265;1;8;1;10;7;1;1;12;2008;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;11;68;1361,61237913699
3866266;1;1;1;10;1;1;1;12;1953;61;1;4;1; ; ;3; ; ;2;1;1;2;3;3; ;2;3;11;68;1148,76175437988
3866267;1;1;1;10;1;1;1;10;1941;74;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;68;746,279816459072
3866267;1;2;1;10;2;2;1;4;1942;73;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;68;746,279816459072
3866267;1;3;1;10;3;1;1;5;1964;51;3;4;2;9; ; ; ; ;2;2;2; ;1;0; ;2;0;11;68;746,279816459072
3866269;1;1;1;10;1;1;1;7;1964;51;1;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;4498,71685806606
3866269;1;2;1;10;2;1;1;4;1997;18;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;11;68;4498,71685806606
3866269;1;3;1;10;3;1;1;12;2002;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;11;68;4498,71685806606
3866269;1;4;1;10;1;1;1;7;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;11;68;4498,71685806606
3866269;1;5;1;10;1;2;1;8;2009;6;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;11;68;4498,71685806606
3866270;1;1;1;10;1;1;1;2;1970;45;1;3;1; ; ;3; ; ;1;1;2; ;3;3; ;2;3;11;68;1178,30693486848
3866270;1;2;1;10;2;2;1;4;1975;40;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1178,30693486848
3866270;1;3;1;10;3;2;1;5;1997;18;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;11;68;1178,30693486848
3866270;1;4;1;10;4;1;1;1;2000;15;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;11;68;1178,30693486848
3866270;1;5;1;10;5;2;1;3;1948;67;5;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;68;1178,30693486848
