DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1035916;1;3;1;70;2;3;48;3; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;23;3410,6958613566
1035916;1;4;1;70;2;2;36;8; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;62;61;01;1;1;0115;23;3410,6958613566
1035917;1;3;1;70;2;12;60;8; ;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;1;0115;23;3067,3473847901
1038302;2;2;2;70;2;4;40;1; ;2;99;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;80;1;1;8012;15;1517,33287128185
1038347;1;1;1;70;2;1;40;1; ;2;1;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;15;2268,10722295877
1038347;1;3;1;70;2;6;48;1; ;2;104;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;45;52;1;1;5211;15;2268,10722295877
1038391;1;3;1;70;2;12;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;65;1;1;6599;15;2020,2116190712
1038446;1;3;1;70;2;1;40;3; ;2;30;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;15;4683,98561256943
1040184;1;3;1;70;2;52;48;8; ;2;52;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;2;0121;05;4315,46140133568
1043393;1;3;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;18;272,53825543307
1043393;1;7;1;70;2;10;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;18;272,53825543307
