DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4310689;1;1;1;70;2;8;40;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;99;55;74;1;1;7493;04;54;1001,45924514921
4310689;1;2;1;70;2;1;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;54;1001,45924514921
4310835;1;3;1;70;2;12;40;4; ;2;12;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;75;1;1;7512;04;05;4352,33300309369
4311979;1;10;1;70;2;24;44;1; ;2;36;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;50;92;1;2;9241;04;20;1670,48137806153
4311986;1;3;1;70;2;8;48;1; ;2;60;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;60;01;1;1;0115;04;20;1362,51294519656
4312108;1;3;1;70;2;6;48;8; ;2;6;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0121;04;23;5073,72877336673
4312160;1;1;1;70;2;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;04;25;714,923607216383
4312232;1;2;1;70;2;36;48;1; ;2;384;3; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;53;54;95;1;2;9500;04;25;1155,07778182924
4312468;1;2;1;70;2;8;25;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;85;1;1;8532;04;27;1256,77164013381
4312477;1;2;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;04;27;698,591444778095
4312548;1;2;1;70;2;52;40;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;04;27;976,366992211243
4312583;1;3;1;70;2;8;30;1; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;45;61;01;1;1;0113;04;27;1266,3947192804
4312595;1;2;1;70;2;90;90;2; ;2;90;2; ;7;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;03;03;75;1;2;7513;04;27;857,208529846843
4312598;1;6;1;70;2;4;25;1; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;44;55;95;1;1;9500;04;27;1307,61262906574
4312718;1;2;1;70;2;12;56;8; ;2;260;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;60;60;01;1;1;0121;04;41;834,914906494997
4312719;1;6;1;70;2;8;40;3; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;95;1;1;9500;04;41;2531,73618276296
4312722;1;3;1;70;2;3;56;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;04;41;1949,52217060039
4312723;1;1;1;70;2;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;71;71;11;1;1;1110;04;41;2742,82624110386
4312724;1;3;1;70;2;104;40;1; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;09;11;74;1;2;7412;04;41;834,914906494997
4312738;1;2;1;70;2;24;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;04;41;1400,6572172469
4312765;1;3;1;70;2;2;48;1; ;2;2;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;53;53;15;1;1;1551;04;41;834,914906494997
4312893;1;2;1;70;2;8;48;4; ;2;8;4; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;04;44;599,703315692438
4312902;1;1;1;70;2;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;97;63;1;1;6310;04;44;1414,10271729378
4313036;1;2;1;70;2;13;48;1; ;2;14;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;41;52;1;1;5224;04;47;2118,91360095681
4313243;1;4;1;70;2;16;48;1; ;2;16;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;62;01;1;2;0117;04;50;2654,21945474015
4313248;1;1;1;70;2;20;50;1; ;2;20;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;23;1;2;2322;04;50;2603,81461636473
4313251;1;4;1;70;2;4;48;1; ;2;4;5; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;04;50;1983,67416728555
4313275;1;3;1;70;2;52;48;1; ;2;2;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;39;93;45;1;2;4552;04;50;765,996610078459
4313288;1;3;1;70;2;4;28;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;53;53;55;1;1;5521;04;52;742,073784698457
4313473;1;3;1;70;2;4;48;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;95;95;45;1;1;4521;04;66;2275,67264230918
4313741;1;1;1;70;2;12;48;4; ;2;16;4; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4530;04;70;1431,9033966186
4313741;1;3;1;70;2;6;48;4; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;45;52;1;1;5211;04;70;1431,9033966186
4313750;1;1;1;70;2;2;48;3; ;2;624;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;04;70;1437,85838613663
4313751;1;3;1;70;2;3;48;4; ;2;12;4; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4530;04;70;1388,13985080227
4313777;1;4;1;70;2;4;20;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8043;04;70;1413,99435028127
4313777;1;5;1;70;2;4;40;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;74;1;1;7411;04;70;1413,99435028127
4313790;1;2;1;70;2;6;48;4; ;2;16;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;04;70;1156,33942871736
4313796;1;2;1;70;2;3;20;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5529;04;70;1130,07594924322
4313947;1;2;1;70;2;12;25;4; ;2;156;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;59;85;1;1;8511;04;73;1625,53410449077
