DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4296029;1;3;1;70;05;16;24;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;79;18;1;2;1810;04;05;859,860960342092
4296033;1;2;1;70;05;16;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;03;59;85;1;2;8520;04;05;1287,2802656971
4296038;1;2;1;70;05;24;48;1; ;2;24;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;02;21;51;1;2;5155;04;05;1295,29259314558
4296045;1;2;1;70;05;2;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;97;55;1;1;5529;04;05;1397,73969350046
4296047;1;3;1;70;05;12;48;1; ;2;12;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;04;05;1151,88313538227
4296047;1;4;1;70;05;4;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4552;04;05;1151,88313538227
4296070;1;1;1;70;05;54;48;1; ;2;120;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;41;50;1;2;5030;04;05;2142,63663559927
4296078;1;1;1;70;05;2;48;1; ;2;2;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1284000;03;19;45;1;1;4552;04;05;1630,66120369885
4296086;1;3;1;70;05;52;24;4; ;2;16;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;16;16;92;1;2;9214;04;05;1142,00771445771
4296086;1;4;1;70;05;12;40;1; ;2;12;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;19;19;75;1;1;7513;04;05;1142,00771445771
4296091;1;6;1;70;05;48;48;1; ;2;144;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5234;04;05;1246,33148941938
4296092;1;5;1;70;05;32;48;1; ;2;32;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;95;93;1;2;9302;04;05;1492,18804753757
4296098;1;2;1;70;05;5;48;1; ;2;3;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1200000;39;32;51;1;1;5139;04;05;1237,20969240494
4296113;1;2;1;70;05;25;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;21;39;85;1;2;8512;04;05;928,765643106178
4296125;1;2;1;70;05;24;24;1; ;2;24;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;86;98;60;1;2;6031;04;05;991,06838798851
