DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;MES;DPTO;fex_c_2011
2332481;1;1;1;10;1;1;1;5;1988;21;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;13;5;05;13;354,875658308861
2332481;1;2;1;10;2;2;1;4;1991;19;2;2;1; ; ;3; ; ;2;1;2; ;5;10;1;13;10;05;13;354,875658308861
2332481;1;3;1;10;2;1;1;7;2009;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;13; ;05;13;354,875658308861
2332482;1;1;1;10;1;1;1;7;1964;45;1;2;1; ; ;1;1;64400;2;1;2; ;4;8; ;13;8;05;13;340,377861374553
2332482;1;2;1;10;2;2;1;6;1971;38;2;2;1; ; ;1;5; ;2;1;2; ;4;8; ;13;8;05;13;340,377861374553
2332482;1;3;1;10;3;1;1;3;1993;17;3;6;1; ; ;1;5; ;2;1;2; ;5;11;2;13;11;05;13;340,377861374553
2332482;1;4;1;10;2;2;1;1;1995;15;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;13;9;05;13;340,377861374553
2332483;1;1;1;10;1;1;1;5;1966;44;1;6;2;1;24; ; ; ;2;1;2; ;3;5; ;13;5;05;13;359,966317950762
2332484;1;1;1;10;1;1;1;4;1982;28;1;2;1; ; ;1;1;64400;2;1;2; ;5;11;2;13;11;05;13;329,716766572054
2332484;1;2;1;10;2;2;1;1;1982;28;2;2;1; ; ;1;5; ;2;1;2; ;4;7; ;13;7;05;13;329,716766572054
2332484;1;3;1;10;2;2;1;2;2004;6;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ;13;0;05;13;329,716766572054
2332484;1;4;1;10;2;2;1;9;2006;3;3; ;1; ; ;1;5; ;2;2;1;2;2;0; ;13;0;05;13;329,716766572054
2332485;1;1;1;10;1;2;1;3;1966;44;1;6;1; ; ;3; ; ;2;1;2; ;4;8; ;13;8;05;13;324,626106930153
2332485;1;2;1;10;2;2;1;12;1986;23;3;2;1; ; ;3; ; ;2;1;2; ;4;8; ;13;8;05;13;324,626106930153
2332485;1;3;1;10;3;1;1;4;1988;22;5;2;1; ; ;3; ; ;2;1;2; ;5;10;2;13;10;05;13;324,626106930153
2332485;1;4;1;10;2;2;1;6;2003;6;4; ;1; ; ;3; ; ;2;2;1;1;3;0; ;13;0;05;13;324,626106930153
2332485;1;5;1;10;2;1;1;1;2008;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;13; ;05;13;324,626106930153
2332485;1;6;1;10;2;2;1;6;2009;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;13; ;05;13;324,626106930153
2337915;1;1;1;10;1;2;1;4;1947;63;1;4;1; ; ;2;2;98;2;1;2; ;4;7; ;13;7;05;13;332,206640332226
2337915;1;2;1;10;2;1;1;8;1967;42;3;4;2;1;120; ; ; ;1;1;2; ;5;11;2;13;11;05;13;332,206640332226
2337916;1;1;1;10;1;2;1;2;1983;27;1;2;1; ; ;1;1;98;2;1;2; ;6;3;3;13;14;05;13;304,268123503843
2337916;1;2;1;10;2;1;1;4;1983;27;2;2;1; ; ;1;1;98;2;1;2; ;6;3;3;13;14;05;13;304,268123503843
