DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2338848;1;3;2;3;1;4;2;1;5;1; ; ;5000000;50000; ;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;4;1;1;7;3;1;2;2;2;2;2; ; ;01;2;05;17;1;967,14620787303
2338851;1;4;1;3;1;1;1;1;4;1; ; ;25000000;100000; ;2;2;1;1;1;2;2;2;1;2;2;1;1;2;2;1;1;1;1;2;1;1;2;2;2; ;3;1;1;1;3;1;2;2;1;1;2;2;1;01;2;05;17;1;1436,80467827968
2338852;1;3;2;3;1;1;1;1;4;1; ; ;12000000;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;7;1;1;4;3;1;2;2;1;1;2;2;1;01;2;05;17;1;2164,49138696708
2338855;1;3;2;2;1;4;2;1;5;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2; ;5;1;1;7;3;1;2;2;2;2;2; ; ;01;2;05;17;1;1341,63167159143
2338858;1;2;1;3;1;1;1;1;4;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;2;2;1;1;2;2;1;01;2;05;17;1;928,643334010281
2338861;1;5;4;3;1;1;1;1;4;1; ; ;10000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;5;1;1;1;2;1;2;2;1;1;2;2;1;01;2;05;17;1;1188,4357542706
2338863;1;3;1;3;1;3;2;1;5;4; ; ; ;40000; ;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;1;1;1;4;2;1;2;2;2;2;2; ; ;01;2;05;17;1;1207,51513249668
2338867;1;2;1;2;2;4;2;1;4;1; ; ;8000000;50000; ;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;1;4;3;1;2;2;2;2;2; ; ;01;2;05;17;1;838,685712555619
2338867;2;4;3;2;2;4;2;1;4;4; ; ; ;60000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;6;2; ; ; ; ; ; ; ; ; ; ; ;01;2;05;17;1;838,685712555619
2338871;1;1;1;2;1;1;1;1;4;4; ; ; ;100000; ;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;4;1;2;1;2;2;1;1;2;2;1;01;2;05;17;1;928,643334010281
2338873;1;2;2;2;1;1;1;1;4;3; ; ; ; ;100000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;3;1;1;4;3;1;2;2;1;1;2;2;1;01;2;05;17;1;1000,17157413193
2348574;1;3;2;2;1;4;4;1;5;1; ; ;15000000;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;05;19;1;1275,54966186184
2348575;1;4;4;2;1;4;6;1;5;1; ; ;1500000;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;9;1;1;4;2;1;2;2;2;2;1; ; ;01;2;05;19;1;1191,52657445755
2348576;1;3;2;2;1;4;6;1;5;1; ; ;15000000;2000000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;05;19;1;1822,73627641592
