Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P9460;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s7a1;P7420s8;P7422;P7422s1;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
4079353;1;3;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;05; ; ;1;1; ;06;05;4310,35939581341
4080422;1;5;1;70;2;24;48;1; ;2;24;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;79;38;52;1;2;5236;06;63;6929,2552579796
4080426;1;2;1;70;2;1;24;4; ;2;1;4; ;1;2;5; ; ; ; ; ; ; ; ; ; ;1;1;25000;61;61;01;1;1;0111;06;63;3427,37432868457
4080439;1;3;1;70;2;2;48;1; ;2;2;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;95;45;1;1;4522;06;63;2270,00663801225
4080440;1;3;1;70;2;2;24;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;41; ; ;1;1; ;06;63;3944,81159772043
4080466;1;1;1;70;2;16;48;2; ;2;16;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;21;21;85;1;2;8512;06;63;4310,35939581341
4083447;1;3;1;70;2;7;40;2; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;79;18;1;1;1810;06;41;571,589141452527
4083466;1;3;1;70;2;24;40;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;41;52;1;2;5231;06;41;726,434571703287
4083470;1;2;1;70;2;3;20;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;53;61;01;1;1;0140;06;41;1533,67761646602
4083619;1;3;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;06;66;674,759138086918
4083639;1;4;1;70;2;4;48;1; ;2;4;8; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;95;62;01;1;1;0117;06;66;1308,3320708513
4083651;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;06;66;831,954473695689
4083672;1;2;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;45;45;52;1;1;5211;06;05;3864,63790878977
4083680;1;2;1;70;2;23;48;1; ;2;13;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;2;9500;06;05;1983,40297397011
4084160;1;4;1;70;2;6;48;4; ;2;8;6; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;07;62;01;1;1;0111;06;68;662,639328179026
4084210;1;3;1;70;2;6;36;1; ;2;6;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;13;80;1;1;8011;06;68;900,233975825898
4084219;1;1;1;70;2;3;48;1; ;2;3;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;689454;39;39;52;1;1;5241;06;68;1115,58176674498
4084796;1;4;1;70;2;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;06;20;1476,25475966987
4084798;1;3;1;70;2;24;40;1; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;95;95;45;1;2;4521;06;50;662,639328179026
4084927;1;4;1;70;2;12;40;1; ;2;48;1; ;9;2;2; ; ; ; ; ; ; ; ;1;BUSCAR TRABAJO; ;2; ;33;39;60;1;1;6042;06;13;4466,77386189766
4084930;1;3;1;70;2;5;48;1; ;2;6;1; ;9;2;1; ; ; ; ; ; ; ; ;1;BUSCAR TRABAJO; ;1;689454;32;33;52;1;1;5211;06;13;7211,76704002696
4084949;1;1;1;70;2;12;60;1; ;2;12;1; ;8;2;3; ; ; ; ; ; ; ;1; ; ; ;2; ;83;83;11;1;1;1120;06;13;1598,27462288031
4084949;1;2;1;70;2;24;48;1; ;2;124;1; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;97;97;25;1;2;2529;06;13;1598,27462288031
4084955;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;06;13;1462,46825702822
4085026;1;2;1;70;2;1;45;8; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;62;61;01;1;1;0140;06;18;2402,8779713396
4085026;1;3;1;70;2;24;48;3; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;06;18;2402,8779713396
4085026;1;5;1;70;2;4;48;8; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;61;01;1;1;0140;06;18;2402,8779713396
4085039;1;4;1;70;2;1;24;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;74;1;1;7412;06;18;1421,89687721455
4085045;1;3;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;18;1234,92047128023
4087080;1;3;1;70;2;8;40;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;95;45;1;1;4521;06;23;5545,69985162782
4087163;1;1;1;70;2;20;48;4; ;2;20;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6021;06;27;2148,91681141994
4087168;1;1;1;70;2;2;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;27;2307,99610451538
4087333;1;2;1;70;2;2;20;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5529;06;73;1117,42536219082
4087454;1;2;1;70;2;4;48;2; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;59;62;01;1;1;0111;06;73;911,828266956616
4087483;1;2;1;70;2;2;45;2; ;2;2;4; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;180000;99;38;64;1;1;6422;06;73;925,871350264037
4087483;1;3;1;70;2;4;50;8; ;2;4;8; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;62;62;01;1;1;0111;06;73;925,871350264037
4087492;1;2;1;70;2;12;28;4; ;2;12;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;62;01;1;1;0111;06;73;848,656188876029
4087563;1;1;1;70;2;1;48;1; ;2;1;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;95;95;45;1;1;4521;06;18;1390,78285242455
4088574;1;2;1;70;2;4;48;4; ;2;144;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;1;5521;06;47;1486,43183936029
4088622;1;5;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;06;47;3452,53400290199
4088643;1;1;1;70;2;8;47;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;85;45;1;1;4542;06;54;415,991782669626
4088653;1;1;1;70;2;4;40;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;98;98;74;1;1;7491;06;54;515,502480825857
4088666;1;3;1;70;2;4;50;4; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;84;74;1;1;7491;06;54;415,991782669626
4088747;1;2;1;70;2;4;50;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;99;45;1;1;4521;06;54;415,991782669626
4088747;1;3;1;70;2;8;48;4; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;59;85;1;1;8531;06;54;415,991782669626
4088749;1;8;1;70;2;24;50;4; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;06;54;415,991782669626
4088758;1;3;1;70;2;12;50;3; ;2;12;3; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;06;54;415,991782669626
4088763;1;3;1;70;2;4;50;1; ;2;8;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;74;1;1;7491;06;54;415,991782669626
4088768;1;3;1;70;2;3;50;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0111;06;54;415,991782669626
4088829;1;1;1;70;2;4;30;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;1;50000;53;45;92;1;1;9242;06;54;1201,83172351643
4089207;1;1;1;70;2;2;55;8; ;2;2;8; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;62;62;01;1;1;0117;06;17;5019,36214401693
4091771;1;7;1;70;2;1;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;19;2173,5090711699
