DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6410;P6640S1;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6585S4A2;P6773S1;P6775;P6772S1;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P9450;P6915S1;P6915;P6773;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011;P6643;P6643S1;P6643S2;P6644;P6644S1;P6644S2;P6643S3;P6644S3
2934621;1;2;1;60;2;1;1; ; ;1;1; ;1;2;1;60; ;1; ;566700;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ;26000; ;2;1;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;56; ;.;32;2; ;2; ; ; ; ; ; ; ; ;3;7; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;1; ; ; ;2; ; ; ;1;1;2;1;1;2;2;2;1;2;2; ;2;1; ;2;3;2;2;2;3;2;3;3;8; ;77;15;1;1; ;1551; ; ;566700;04;73;1698,89537702657; ; ; ; ; ; ; ; 
2934635;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;250000;1;3600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;54; ;.;54; ; ;1;8;16;2; ; ; ; ; ;1;2; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;2;1;2;2;2;1;1;2;2; ;2;1; ;3;3;2;3;2;2;2;3;2;8; ;55;74;1;4; ;7493; ; ;250000;04;73;1545,95510695326; ; ; ; ; ; ; ; 
2934636;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;120; ;1; ;264000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;20;1; ;12;2; ;2; ; ; ; ; ; ; ; ;3;8; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;1;20;2;1;1;1;2;1;2;2;2;2;1;2;2; ;2;1; ;2;2;2;2;2;2;2;2;3;3; ;62;01;1;8; ;0115; ; ;264000;04;73;1560,16287531791; ; ; ; ; ; ; ; 
2934636;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;80000;1;960000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;18;1; ;18; ; ;1;8;13;2; ; ; ; ; ;1;2; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;1;96;8; ;2; ; ; ; ;0;2; ;2; ; ; ;1;26;1;1;1;1;2;1;2;2;2;2;2;2;2; ;1;1; ;2;2;2;3;2;2;2;2;3;3; ;55;74;1;4; ;7493; ; ;80000;04;73;1560,16287531791; ; ; ; ; ; ; ; 
2934637;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;135; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;1000000;1;13000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;40; ;.;16;2; ;2; ; ; ; ; ; ; ; ;3;8; ;2; ; ; ;1; ; ; ;1;1;1; ; ; ;2;1;12;1; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;3;3;7; ;61;01;1;5; ;0115; ; ;1000000;04;73;1900,27707514731; ; ; ; ; ; ; ; 
2934639;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;2; ;1; ;1000000;2; ; ;2; ;1;500000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;70; ;.;70; ; ;2; ; ; ; ; ; ; ; ;2;7; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;1;288;1; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;10;CONCEPTO DE ARRIENDOS;21;92;1;1; ;9249; ; ;1500000;04;73;1050,81036797824; ; ; ; ; ; ; ; 
2934639;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49; ;.;49; ; ;2; ; ; ; ; ; ; ; ;2;7; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ;2; ; ; ;1;1;2;1;2;1;2;1;1;2;2; ;2;1; ;3;3;3;3;3;3;2;2;2;3; ;53;92;1;7; ;9249; ; ; ;04;73;1050,81036797824; ; ; ; ; ; ; ; 
2934639;1;6;1;60;2;2; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56; ;.;56; ; ;2; ; ; ; ; ; ; ; ;2;7; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;1;552;4; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;1;1; ;2;2;2;2;2;2;2;2;3;2; ;55;92;1;7; ;9249; ; ; ;04;73;1050,81036797824; ; ; ; ; ; ; ; 
2934641;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;80000;1;600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;24;2; ;24; ; ;2; ; ; ; ; ; ; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;480;4; ;1;8;4; ;120000;0;2; ;7; ;1;8;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;9; ;61;01;1;4; ;0113; ; ;200000;04;73;1106,40566844041; ; ; ; ; ; ; ; 
2934643;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;0; ;1; ;500000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;40; ;.;40; ; ;1;7;11;1;13;17;2; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;120;8; ;2; ; ; ; ;0;2; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;3;2; ;62;01;1;8; ;0115; ; ;500000;04;73;1951,21199712737; ; ; ; ; ; ; ; 
